Symbol,Name,상장연도,결산월,회계년,주기,ROE(세전계속사업이익)(%),총자본증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),부채비율(%),총자본회전율(회),현금흐름/총자본(%)
A095570,AJ네트웍스,2015,12,2015,Annual,11.23,40.5,-3.53,3.32,333.45,3.10,89.25
A095570,AJ네트웍스,2015,12,2016,Annual,6.94,7.41,-16.7,-41.09,386.87,3.04,80.01
A095570,AJ네트웍스,2015,12,2017,Annual,0.18,4.61,-63.73,20.89,426.47,1.93,83.63
A095570,AJ네트웍스,2015,12,2018,Annual,-10.52,9.98,적전,80.5,423.61,2.23,68.01
A095570,AJ네트웍스,2015,12,2019,Annual,25.51,-29.37,흑전,13.04,419.16,2.38,52.35
A095570,AJ네트웍스,2015,12,2020,Annual,-5.82,-17.08,34.76,적전,451.43,2.74,61.00
A095570,AJ네트웍스,2015,12,2021,Annual,6.85,25.87,127.95,흑전,273.79,3.02,73.76
A095570,AJ네트웍스,2015,12,2022,Annual,7.20,0.33,58.97,-88.71,307.86,3.29,46.11
A006840,AK홀딩스,1999,12,2012,Annual,3.85,45.53,31.06,340.93,107.91,0.99,45.63
A006840,AK홀딩스,1999,12,2013,Annual,23.66,24.32,302.51,-44,274,3.91,21.19
A006840,AK홀딩스,1999,12,2014,Annual,15.43,30.23,35.4,-12.94,235.32,3.93,17.84
A006840,AK홀딩스,1999,12,2015,Annual,-2.30,9.02,-27.93,적전,176.79,3.25,3.50
A006840,AK홀딩스,1999,12,2016,Annual,20.29,12.18,100.98,흑전,171.1,3.05,14.80
A006840,AK홀딩스,1999,12,2017,Annual,22.25,13.91,24.32,39.07,155.61,3.14,16.59
A006840,AK홀딩스,1999,12,2018,Annual,20.55,27.94,1.53,11.44,130.54,2.83,15.31
A006840,AK홀딩스,1999,12,2019,Annual,5.57,-2.98,-51.31,-72.23,202.67,2.59,20.24
A006840,AK홀딩스,1999,12,2020,Annual,-25.56,-11.7,적전,적전,228.84,1.95,9.48
A006840,AK홀딩스,1999,12,2021,Annual,-20.09,-4.78,적지,적지,278.32,2.57,10.40
A006840,AK홀딩스,1999,12,2022,Annual,-9.75,5.07,적지,적지,294.61,3.07,14.92
A282330,BGF리테일,2017,12,2017,Annual,,,,,228.67,,
A282330,BGF리테일,2017,12,2018,Annual,44.50,34.23,614.71,450.98,184.2,12.69,60.77
A282330,BGF리테일,2017,12,2019,Annual,35.15,19.35,3.75,-1.82,248.93,10.39,84.10
A282330,BGF리테일,2017,12,2020,Annual,24.72,11.92,-17.51,-18.94,240.28,9.37,72.06
A282330,BGF리테일,2017,12,2021,Annual,25.56,16.14,22.96,20.32,220.81,9.00,70.38
A282330,BGF리테일,2017,12,2022,Annual,28.68,18.94,26.56,31.09,206.06,8.60,69.36
A027410,BGF,2014,12,2014,Annual,35.16,181.87,18.17,44.85,133.96,8.69,53.31
A027410,BGF,2014,12,2015,Annual,29.20,35.25,47.93,50.63,109.59,6.44,38.56
A027410,BGF,2014,12,2016,Annual,2.32,21.77,-95.63,20.79,103.53,0.10,34.63
A027410,BGF,2014,12,2017,Annual,-0.51,-23.02,36.58,"1,794.64",18.32,0.15,431.73
A027410,BGF,2014,12,2018,Annual,4.66,109,169.13,-98.65,7.2,0.20,4.90
A027410,BGF,2014,12,2019,Annual,1.62,0.83,-10.58,-62.9,8.45,0.09,2.88
A027410,BGF,2014,12,2020,Annual,1.05,0.58,-44.45,2.09,7.88,0.10,2.64
A027410,BGF,2014,12,2021,Annual,2.66,12.73,158.91,101.2,14.36,0.09,4.63
A027410,BGF,2014,12,2022,Annual,2.24,0.22,61.46,-27.24,11.6,0.25,2.70
A001460,BYC,1975,12,2012,Annual,11.50,7.95,-7.61,-8.72,51.63,0.68,10.02
A001460,BYC,1975,12,2013,Annual,6.42,4.38,-24.8,-37.06,50.94,0.54,7.08
A001460,BYC,1975,12,2014,Annual,6.99,5.03,11.08,22.79,66.49,0.50,7.67
A001460,BYC,1975,12,2015,Annual,4.77,3.47,-24.27,-30.93,82.87,0.49,6.31
A001460,BYC,1975,12,2016,Annual,5.38,4.16,-23.55,33.33,86.12,0.55,7.54
A001460,BYC,1975,12,2017,Annual,2.43,1.39,6.52,-64.71,86.76,0.49,4.62
A001460,BYC,1975,12,2018,Annual,4.76,2.02,24.05,46.88,81.25,0.49,5.34
A001460,BYC,1975,12,2019,Annual,9.92,6.61,9.59,205.63,59.76,0.41,9.59
