iter	Passed	Remaining
0	42	42293
1	55	27689
2	69	22980
3	82	20565
4	95	19024
5	110	18237
6	124	17675
7	137	17062
8	152	16776
9	168	16642
10	182	16375
11	203	16795
12	224	17076
13	244	17200
14	280	18425
15	341	21011
16	381	22082
17	403	22033
18	421	21776
19	437	21416
20	451	21055
21	466	20740
22	480	20394
23	494	20104
24	507	19803
25	520	19499
26	534	19266
27	548	19026
28	561	18804
29	574	18576
30	586	18336
31	599	18149
32	613	17963
33	628	17851
34	643	17744
35	657	17605
36	674	17544
37	688	17425
38	702	17304
39	719	17270
40	734	17179
41	767	17510
42	794	17686
43	809	17581
44	822	17450
45	839	17415
46	854	17324
47	867	17212
48	882	17135
49	896	17028
50	909	16920
51	922	16820
52	934	16706
53	948	16616
54	962	16532
55	975	16444
56	990	16379
57	1012	16451
58	1075	17150
59	1136	17810
60	1192	18350
61	1215	18389
62	1235	18376
63	1264	18500
64	1318	18961
65	1370	19392
66	1411	19658
67	1447	19840
68	1479	19968
69	1512	20100
70	1545	20222
71	1575	20301
72	1609	20442
73	1655	20710
74	1708	21069
75	1745	21219
76	1781	21351
77	1806	21357
78	1822	21246
79	1835	21104
80	1852	21016
81	1866	20896
82	1879	20761
83	1897	20687
84	1913	20603
85	1938	20601
86	1956	20534
87	1980	20525
88	2020	20683
89	2059	20826
90	2080	20782
91	2106	20788
92	2121	20690
93	2133	20567
94	2146	20450
95	2158	20330
96	2172	20228
97	2184	20108
98	2197	20003
99	2211	19906
100	2224	19801
101	2236	19690
102	2257	19656
103	2270	19559
104	2281	19450
105	2297	19379
106	2311	19287
107	2327	19225
108	2359	19287
109	2401	19427
110	2432	19478
111	2455	19468
112	2481	19478
113	2501	19440
114	2531	19480
115	2546	19403
116	2567	19379
117	2582	19303
118	2595	19218
119	2611	19154
120	2625	19074
121	2638	18991
122	2653	18917
123	2668	18851
124	2682	18776
125	2696	18703
126	2712	18647
127	2730	18598
128	2744	18528
129	2758	18462
130	2773	18395
131	2786	18326
132	2801	18259
133	2815	18193
134	2832	18149
135	2851	18117
136	2887	18186
137	2919	18237
138	2953	18296
139	2995	18399
140	3026	18435
141	3045	18398
142	3062	18350
143	3078	18300
144	3110	18340
145	3126	18286
146	3140	18223
147	3155	18163
148	3169	18100
149	3183	18037
150	3196	17972
151	3209	17905
152	3225	17856
153	3244	17824
154	3261	17781
155	3277	17729
156	3292	17679
157	3309	17636
158	3328	17605
159	3341	17545
160	3366	17541
161	3379	17483
162	3393	17426
163	3407	17369
164	3426	17338
165	3445	17312
166	3489	17407
167	3520	17436
168	3553	17471
169	3576	17460
170	3600	17456
171	3619	17424
172	3637	17390
173	3653	17341
174	3669	17298
175	3694	17297
176	3708	17243
177	3729	17222
178	3752	17212
179	3766	17159
180	3788	17141
181	3802	17089
182	3817	17042
183	3834	17005
184	3852	16973
185	3867	16923
186	3881	16874
187	3895	16823
188	3908	16772
189	3937	16785
190	3951	16734
191	3965	16689
192	3984	16661
193	3998	16613
194	4012	16563
195	4025	16513
196	4038	16463
197	4051	16412
198	4065	16363
199	4097	16389
200	4116	16363
201	4138	16350
202	4177	16400
203	4211	16432
204	4245	16464
205	4267	16446
206	4289	16433
207	4304	16390
208	4318	16342
209	4331	16293
210	4347	16258
211	4361	16212
212	4376	16170
213	4389	16123
214	4403	16077
215	4416	16030
216	4430	15985
217	4450	15965
218	4465	15923
219	4479	15883
220	4494	15841
221	4507	15798
222	4521	15755
223	4536	15715
224	4551	15677
225	4569	15648
226	4582	15604
227	4599	15572
228	4617	15547
229	4632	15510
230	4646	15468
231	4660	15426
232	4673	15385
233	4687	15345
234	4702	15307
235	4715	15266
236	4728	15224
237	4742	15185
238	4756	15145
239	4771	15111
240	4786	15074
241	4801	15040
242	4822	15021
243	4841	15001
244	4860	14978
245	4885	14973
246	4926	15018
247	4964	15054
248	4987	15042
249	5008	15025
250	5027	15002
251	5049	14989
252	5063	14950
253	5077	14912
254	5091	14874
255	5109	14848
256	5122	14808
257	5135	14769
258	5147	14727
259	5165	14702
260	5181	14669
261	5195	14635
262	5208	14596
263	5222	14560
264	5236	14524
265	5319	14678
266	5382	14777
267	5419	14803
268	5432	14763
269	5446	14724
270	5459	14687
271	5476	14657
272	5490	14620
273	5501	14577
274	5514	14537
275	5527	14498
276	5539	14458
277	5551	14418
278	5563	14377
279	5576	14338
280	5588	14299
281	5600	14260
282	5614	14223
283	5627	14187
284	5650	14176
285	5667	14149
286	5684	14121
287	5712	14121
288	5737	14114
289	5764	14112
290	5789	14104
291	5808	14084
292	5826	14059
293	5843	14033
294	5856	13996
295	5872	13967
296	5884	13929
297	5901	13902
298	5917	13874
299	5935	13849
300	5965	13853
301	5988	13841
302	6017	13841
303	6073	13904
304	6101	13902
305	6147	13943
306	6189	13970
307	6230	13998
308	6291	14068
309	6339	14109
310	6379	14133
311	6404	14123
312	6422	14096
313	6439	14067
314	6452	14031
315	6465	13994
316	6477	13955
317	6491	13922
318	6507	13892
319	6524	13863
320	6541	13837
321	6560	13812
322	6574	13780
323	6589	13748
324	6607	13722
325	6623	13693
326	6643	13672
327	6666	13657
328	6687	13640
329	6720	13643
330	6748	13639
331	6769	13621
332	6797	13614
333	6819	13597
334	6843	13585
335	6858	13554
336	6870	13517
337	6884	13483
338	6897	13448
339	6909	13412
340	6921	13375
341	6934	13341
342	6948	13308
343	6960	13274
344	6973	13239
345	6987	13206
346	6999	13172
347	7011	13136
348	7024	13102
349	7037	13068
350	7050	13035
351	7062	13000
352	7074	12966
353	7086	12932
354	7100	12900
355	7112	12866
356	7124	12832
357	7136	12797
358	7152	12770
359	7170	12748
360	7188	12723
361	7212	12711
362	7249	12722
363	7273	12709
364	7298	12698
365	7320	12680
366	7335	12652
367	7362	12644
368	7386	12631
369	7429	12650
370	7461	12651
371	7492	12648
372	7521	12642
373	7543	12625
374	7561	12601
375	7574	12570
376	7591	12545
377	7607	12518
378	7620	12485
379	7634	12456
380	7648	12426
381	7662	12395
382	7681	12374
383	7694	12343
384	7707	12311
385	7719	12278
386	7736	12253
387	7753	12229
388	7771	12206
389	7799	12199
390	7840	12211
391	7866	12201
392	7891	12188
393	7909	12166
394	7927	12141
395	7941	12112
396	7953	12080
397	7966	12049
398	7979	12018
399	7994	11992
400	8007	11961
401	8019	11930
402	8033	11900
403	8046	11870
404	8059	11839
405	8071	11809
406	8092	11790
407	8106	11761
408	8122	11736
409	8138	11710
410	8151	11681
411	8168	11657
412	8201	11656
413	8245	11671
414	8285	11679
415	8328	11692
416	8362	11691
417	8411	11711
418	8487	11769
419	8581	11851
420	8628	11866
421	8654	11853
422	8688	11851
423	8726	11855
424	8761	11854
425	8794	11850
426	8820	11836
427	8881	11869
428	8914	11864
429	8946	11859
430	8983	11860
431	9033	11876
432	9082	11892
433	9168	11957
434	9229	11988
435	9271	11993
436	9306	11989
437	9335	11978
438	9375	11980
439	9454	12032
440	9537	12089
441	9582	12097
442	9639	12119
443	9675	12115
444	9714	12115
445	9739	12097
446	9777	12096
447	9842	12127
448	9928	12183
449	9978	12195
450	10009	12184
451	10029	12159
452	10053	12139
453	10072	12113
454	10086	12081
455	10101	12050
456	10117	12021
457	10132	11990
458	10147	11960
459	10165	11933
460	10182	11904
461	10196	11874
462	10210	11842
463	10251	11842
464	10311	11863
465	10355	11866
466	10392	11860
467	10442	11870
468	10491	11878
469	10525	11869
470	10572	11874
471	10637	11899
472	10687	11907
473	10754	11934
474	10807	11945
475	10896	11995
476	10932	11987
477	10972	11982
478	10994	11958
479	11015	11932
480	11034	11906
481	11056	11882
482	11085	11865
483	11109	11844
484	11132	11821
485	11156	11798
486	11258	11859
487	11342	11899
488	11381	11893
489	11410	11876
490	11430	11849
491	11447	11819
492	11479	11805
493	11543	11824
494	11606	11841
495	11643	11831
496	11664	11805
497	11693	11787
498	11714	11760
499	11732	11732
500	11760	11713
501	11777	11684
502	11796	11655
503	11821	11633
504	11848	11613
505	11878	11597
506	11901	11573
507	11928	11553
508	11953	11531
509	11974	11505
510	12015	11498
511	12040	11476
512	12066	11454
513	12091	11433
514	12112	11406
515	12133	11380
516	12155	11356
517	12177	11331
518	12195	11302
519	12214	11275
520	12242	11255
521	12264	11230
522	12285	11204
523	12305	11178
524	12326	11152
525	12348	11128
526	12369	11101
527	12384	11071
528	12399	11040
529	12424	11017
530	12444	10991
531	12465	10966
532	12486	10940
533	12506	10913
534	12526	10887
535	12548	10863
536	12570	10837
537	12585	10807
538	12608	10783
539	12627	10756
540	12644	10727
541	12661	10699
542	12681	10672
543	12709	10653
544	12744	10639
545	12775	10622
546	12803	10603
547	12822	10576
548	12843	10551
549	12862	10524
550	12877	10493
551	12892	10463
552	12909	10434
553	12930	10409
554	12951	10384
555	12971	10358
556	12989	10331
557	13008	10304
558	13036	10284
559	13055	10257
560	13072	10229
561	13086	10198
562	13103	10171
563	13117	10140
564	13132	10110
565	13146	10080
566	13160	10050
567	13177	10022
568	13196	9995
569	13213	9968
570	13231	9940
571	13249	9913
572	13266	9886
573	13280	9855
574	13297	9828
575	13315	9801
576	13331	9773
577	13349	9746
578	13367	9719
579	13384	9692
580	13401	9664
581	13418	9637
582	13435	9609
583	13453	9583
584	13468	9554
585	13481	9524
586	13500	9498
587	13516	9470
588	13534	9444
589	13552	9417
590	13569	9390
591	13588	9364
592	13606	9338
593	13624	9312
594	13641	9285
595	13657	9257
596	13672	9229
597	13686	9200
598	13698	9170
599	13712	9141
600	13725	9112
601	13739	9083
602	13751	9053
603	13764	9024
604	13775	8994
605	13789	8965
606	13802	8936
607	13817	8908
608	13829	8878
609	13840	8849
610	13858	8822
611	13870	8793
612	13884	8765
613	13896	8736
614	13908	8707
615	13921	8678
616	13935	8650
617	13955	8626
618	13972	8599
619	13989	8574
620	14009	8549
621	14026	8524
622	14043	8498
623	14061	8472
624	14077	8446
625	14095	8421
626	14107	8392
627	14122	8365
628	14135	8337
629	14152	8311
630	14170	8286
631	14187	8261
632	14204	8235
633	14221	8209
634	14251	8191
635	14319	8195
636	14354	8179
637	14388	8164
638	14418	8145
639	14435	8120
640	14455	8095
641	14470	8069
642	14599	8105
643	14644	8095
644	14657	8067
645	14670	8039
646	14683	8011
647	14702	7986
648	14724	7963
649	14755	7945
650	14811	7940
651	14857	7929
652	14880	7907
653	14937	7902
654	14991	7896
655	15027	7880
656	15063	7864
657	15101	7849
658	15142	7835
659	15187	7824
660	15213	7802
661	15237	7779
662	15253	7753
663	15266	7725
664	15278	7696
665	15290	7668
666	15304	7640
667	15317	7612
668	15330	7585
669	15344	7557
670	15358	7530
671	15371	7502
672	15384	7475
673	15396	7447
674	15410	7420
675	15425	7393
676	15439	7366
677	15453	7339
678	15468	7312
679	15485	7287
680	15499	7260
681	15512	7233
682	15533	7209
683	15551	7184
684	15571	7160
685	15590	7136
686	15621	7117
687	15641	7093
688	15659	7068
689	15676	7043
690	15691	7017
691	15708	6991
692	15732	6969
693	15751	6944
694	15769	6920
695	15787	6895
696	15805	6870
697	15830	6849
698	15866	6832
699	15886	6808
700	15903	6783
701	15918	6757
702	15934	6731
703	15946	6704
704	15958	6677
705	15974	6652
706	15991	6627
707	16009	6602
708	16036	6582
709	16057	6558
710	16074	6533
711	16091	6508
712	16117	6487
713	16135	6463
714	16150	6437
715	16166	6412
716	16181	6386
717	16194	6360
718	16209	6334
719	16223	6309
720	16238	6283
721	16254	6258
722	16269	6233
723	16284	6207
724	16299	6182
725	16317	6158
726	16337	6134
727	16357	6111
728	16378	6088
729	16399	6065
730	16419	6042
731	16456	6025
732	16483	6004
733	16503	5980
734	16522	5957
735	16541	5933
736	16561	5910
737	16581	5886
738	16596	5861
739	16611	5836
740	16625	5811
741	16640	5785
742	16655	5760
743	16669	5735
744	16684	5710
745	16699	5685
746	16713	5660
747	16729	5636
748	16748	5612
749	16768	5589
750	16789	5566
751	16809	5543
752	16829	5520
753	16850	5497
754	16884	5478
755	16903	5455
756	16920	5431
757	16936	5407
758	16956	5384
759	16970	5359
760	16987	5335
761	17002	5310
762	17018	5286
763	17033	5261
764	17050	5237
765	17064	5213
766	17081	5189
767	17095	5164
768	17110	5139
769	17124	5115
770	17139	5090
771	17154	5066
772	17171	5042
773	17186	5018
774	17203	4994
775	17219	4970
776	17239	4947
777	17261	4925
778	17281	4902
779	17300	4879
780	17327	4858
781	17348	4836
782	17368	4813
783	17388	4790
784	17414	4769
785	17486	4760
786	17541	4747
787	17582	4730
788	17607	4708
789	17636	4688
790	17664	4667
791	17681	4643
792	17698	4619
793	17718	4596
794	17750	4577
795	17769	4554
796	17789	4531
797	17807	4507
798	17835	4486
799	17859	4464
800	17888	4444
801	17908	4421
802	17930	4398
803	17949	4375
804	17971	4353
805	17991	4330
806	18006	4306
807	18020	4282
808	18045	4260
809	18083	4241
810	18119	4222
811	18166	4206
812	18203	4187
813	18236	4167
814	18273	4147
815	18319	4130
816	18346	4109
817	18364	4086
818	18380	4062
819	18400	4039
820	18456	4024
821	18523	4011
822	18568	3993
823	18602	3973
824	18635	3952
825	18653	3929
826	18670	3905
827	18685	3881
828	18702	3857
829	18717	3833
830	18731	3809
831	18746	3785
832	18761	3761
833	18778	3737
834	18798	3714
835	18823	3692
836	18849	3670
837	18879	3649
838	18906	3628
839	18928	3605
840	18955	3583
841	18980	3561
842	19003	3539
843	19037	3518
844	19058	3495
845	19078	3472
846	19092	3448
847	19105	3424
848	19120	3400
849	19136	3376
850	19158	3354
851	19179	3331
852	19197	3308
853	19220	3285
854	19238	3262
855	19257	3239
856	19276	3216
857	19294	3193
858	19309	3169
859	19327	3146
860	19361	3125
861	19397	3105
862	19423	3083
863	19467	3064
864	19507	3044
865	19574	3028
866	19625	3010
867	19653	2988
868	19667	2964
869	19683	2941
870	19699	2917
871	19717	2894
872	19748	2872
873	19780	2851
874	19818	2831
875	19847	2809
876	19870	2786
877	19905	2765
878	19922	2742
879	19941	2719
880	19958	2695
881	19976	2672
882	19993	2649
883	20011	2625
884	20027	2602
885	20047	2579
886	20060	2555
887	20072	2531
888	20085	2507
889	20099	2484
890	20112	2460
891	20123	2436
892	20137	2412
893	20151	2389
894	20164	2365
895	20178	2342
896	20190	2318
897	20204	2294
898	20220	2271
899	20235	2248
900	20249	2224
901	20265	2201
902	20280	2178
903	20294	2155
904	20313	2132
905	20327	2109
906	20339	2085
907	20353	2062
908	20366	2038
909	20379	2015
910	20392	1992
911	20404	1968
912	20417	1945
913	20430	1922
914	20443	1899
915	20456	1875
916	20468	1852
917	20481	1829
918	20494	1806
919	20510	1783
920	20530	1761
921	20571	1740
922	20633	1721
923	20676	1700
924	20706	1678
925	20754	1658
926	20779	1636
927	20798	1613
928	20821	1591
929	20848	1569
930	20876	1547
931	20900	1524
932	20918	1502
933	20936	1479
934	20953	1456
935	20970	1433
936	20983	1410
937	21002	1388
938	21020	1365
939	21038	1342
940	21055	1320
941	21082	1298
942	21105	1275
943	21142	1254
944	21168	1232
945	21187	1209
946	21211	1187
947	21232	1164
948	21245	1141
949	21260	1118
950	21273	1096
951	21286	1073
952	21299	1050
953	21313	1027
954	21333	1005
955	21350	982
956	21367	960
957	21384	937
958	21402	915
959	21423	892
960	21447	870
961	21470	848
962	21491	825
963	21508	803
964	21525	780
965	21542	758
966	21559	735
967	21580	713
968	21593	690
969	21605	668
970	21618	645
971	21631	623
972	21645	600
973	21657	578
974	21669	555
975	21683	533
976	21696	510
977	21709	488
978	21721	465
979	21735	443
980	21751	421
981	21771	399
982	21789	376
983	21805	354
984	21823	332
985	21845	310
986	21883	288
987	21910	266
988	21926	243
989	21944	221
990	21962	199
991	21981	177
992	22000	155
993	22013	132
994	22026	110
995	22039	88
996	22052	66
997	22068	44
998	22084	22
999	22101	0
