Symbol,Name,결산월,회계년,주기,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA
A005930,삼성전자,12,2011,Annual,,,,,,,,-0.05
A005930,삼성전자,12,2012,Annual,0.89,0.87,0.98,1.22,0.01,1.0,0.94,-0.05
A005930,삼성전자,12,2013,Annual,0.92,0.93,0.93,1.14,0.01,1.05,0.91,-0.05
A005930,삼성전자,12,2014,Annual,1.1,1.05,1.15,0.9,0.01,1.08,0.9,-0.05
A005930,삼성전자,12,2015,Annual,1.05,0.98,0.85,0.97,0.01,0.99,0.96,-0.06
A005930,삼성전자,12,2016,Annual,0.96,0.95,0.88,1.01,0.01,1.03,1.01,-0.07
A005930,삼성전자,12,2017,Annual,0.96,0.88,1.28,1.19,0.01,0.91,1.1,-0.03
A005930,삼성전자,12,2018,Annual,1.2,1.01,1.02,1.02,0.01,0.91,0.93,-0.02
A005930,삼성전자,12,2019,Annual,1.1,1.27,1.0,0.95,0.01,1.12,0.94,-0.05
A005930,삼성전자,12,2020,Annual,0.86,0.93,0.93,1.03,0.02,0.99,1.06,-0.08
A005930,삼성전자,12,2021,Annual,1.11,0.96,1.02,1.18,0.02,0.93,1.06,-0.03
A005930,삼성전자,12,2022,Annual,0.81,1.09,1.01,1.08,0.01,1.03,0.73,-0.04
A000660,SK하이닉스,12,2011,Annual,,,,,,,,-0.14
A000660,SK하이닉스,12,2012,Annual,1.14,1.03,1.15,0.98,0.01,1.42,0.88,-0.13
A000660,SK하이닉스,12,2013,Annual,0.81,0.42,1.03,1.39,0.02,0.75,0.78,-0.14
A000660,SK하이닉스,12,2014,Annual,1.59,0.84,0.93,1.21,0.02,1.1,0.89,-0.03
A000660,SK하이닉스,12,2015,Annual,0.64,1.02,1.1,1.1,0.02,1.05,0.85,-0.13
A000660,SK하이닉스,12,2016,Annual,1.35,1.18,1.12,0.91,0.02,1.16,0.91,-0.07
A000660,SK하이닉스,12,2017,Annual,0.98,0.64,0.8,1.75,0.02,0.67,1.0,-0.02
A000660,SK하이닉스,12,2018,Annual,0.85,0.93,1.55,1.34,0.02,0.89,1.03,-0.02
A000660,SK하이닉스,12,2019,Annual,1.01,2.06,1.2,0.67,0.02,1.85,1.01,-0.06
A000660,SK하이닉스,12,2020,Annual,0.98,0.89,1.13,1.18,0.02,0.9,1.02,-0.1
A000660,SK하이닉스,12,2021,Annual,1.24,0.77,0.9,1.35,0.02,0.84,1.31,-0.08
A000660,SK하이닉스,12,2022,Annual,0.6,1.26,0.85,1.04,0.01,1.3,1.1,-0.08
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,,,,,,,,-0.04
A373220,LG에너지솔루션,12,2021,Annual,0.08,0.7,1.23,12.22,0.0,0.37,1.02,-0.01
A373220,LG에너지솔루션,12,2022,Annual,1.14,1.3,0.81,1.43,0.01,0.69,0.73,0.05
A207940,삼성바이오로직스,12,2011,Annual,,,,,,,,-0.19
A207940,삼성바이오로직스,12,2012,Annual,,,2.94,,0.0,,0.87,0.0
A207940,삼성바이오로직스,12,2013,Annual,,,2.45,inf,0.01,0.0,1.94,-0.07
A207940,삼성바이오로직스,12,2014,Annual,142.52,5.5,1.4,2.41,0.02,0.33,1.32,0.04
A207940,삼성바이오로직스,12,2015,Annual,2.7,0.51,2.66,0.87,0.01,2.28,1.04,0.01
A207940,삼성바이오로직스,12,2016,Annual,0.59,-2.86,0.81,3.23,0.02,0.1,0.86,0.0
A207940,삼성바이오로직스,12,2017,Annual,0.18,0.32,1.06,1.58,0.01,0.73,0.97,-0.01
A207940,삼성바이오로직스,12,2018,Annual,5.27,1.05,0.64,1.15,0.01,1.18,0.68,0.01
A207940,삼성바이오로직스,12,2019,Annual,0.0,0.99,1.07,1.31,0.01,0.86,0.86,0.01
A207940,삼성바이오로직스,12,2020,Annual,,0.77,0.95,1.66,0.01,0.74,1.08,0.01
A207940,삼성바이오로직스,12,2021,Annual,,0.77,0.81,1.35,0.01,1.14,1.32,0.01
A207940,삼성바이오로직스,12,2022,Annual,,0.95,1.1,1.91,0.0,1.34,1.23,0.0
A005380,현대차,12,2011,Annual,,,,,,,,0.04
A005380,현대차,12,2012,Annual,0.88,1.05,0.99,1.09,0.0,0.94,0.96,0.03
A005380,현대차,12,2013,Annual,0.91,1.04,1.01,1.03,0.0,0.97,0.95,0.05
A005380,현대차,12,2014,Annual,1.05,1.04,1.0,1.02,0.0,1.02,1.0,0.04
A005380,현대차,12,2015,Annual,1.16,1.08,1.01,1.03,0.0,1.0,1.04,0.03
A005380,현대차,12,2016,Annual,0.98,1.05,1.01,1.02,0.0,1.03,1.0,0.02
A005380,현대차,12,2017,Annual,0.84,1.04,0.98,1.03,0.0,1.01,0.97,0.0
A005380,현대차,12,2018,Annual,0.93,1.17,1.02,1.0,0.0,0.97,1.02,-0.01
A005380,현대차,12,2019,Annual,0.89,0.94,1.04,1.09,0.0,1.01,1.03,0.02
A005380,현대차,12,2020,Annual,0.95,0.94,1.0,0.98,0.0,1.16,1.05,0.01
A005380,현대차,12,2021,Annual,0.85,0.95,1.05,1.13,0.0,0.84,1.02,0.03
A005380,현대차,12,2022,Annual,1.12,0.94,1.02,1.21,0.0,1.0,1.0,-0.0
A000270,기아,12,2011,Annual,,,,,,,,-0.04
A000270,기아,12,2012,Annual,0.76,1.03,1.08,1.09,0.01,1.0,0.87,-0.03
A000270,기아,12,2013,Annual,1.14,1.07,1.0,1.01,0.01,0.95,0.92,-0.04
A000270,기아,12,2014,Annual,1.18,1.07,0.97,0.99,0.01,0.99,1.03,0.01
A000270,기아,12,2015,Annual,0.94,1.0,0.91,1.05,0.01,1.06,1.05,-0.02
A000270,기아,12,2016,Annual,0.94,1.01,1.02,1.06,0.01,1.0,1.01,-0.02
A000270,기아,12,2017,Annual,0.86,1.19,1.0,1.02,0.01,1.02,1.02,-0.04
A000270,기아,12,2018,Annual,0.97,1.13,1.03,1.01,0.01,0.82,0.97,-0.06
A000270,기아,12,2019,Annual,0.98,0.91,0.98,1.07,0.01,1.0,1.01,-0.03
A000270,기아,12,2020,Annual,0.83,0.96,0.95,1.02,0.01,1.05,1.06,-0.06
A000270,기아,12,2021,Annual,0.83,0.91,1.06,1.18,0.01,0.84,0.94,-0.03
A000270,기아,12,2022,Annual,1.01,0.89,0.99,1.24,0.01,1.11,0.98,-0.03
A068270,셀트리온,12,2011,Annual,,,,,,,,0.08
A068270,셀트리온,12,2012,Annual,1.88,1.11,0.91,1.25,0.01,1.01,1.09,0.1
A068270,셀트리온,12,2013,Annual,1.13,1.05,1.5,0.65,0.0,1.47,1.14,-0.02
A068270,셀트리온,12,2014,Annual,0.67,0.96,0.76,2.08,0.01,1.16,0.93,0.02
A068270,셀트리온,12,2015,Annual,1.37,1.17,0.9,1.28,0.01,0.73,0.85,0.07
A068270,셀트리온,12,2016,Annual,1.03,1.06,1.1,1.11,0.01,1.17,0.8,-0.0
A068270,셀트리온,12,2017,Annual,0.77,0.79,0.94,1.42,0.01,0.83,0.94,0.0
A068270,셀트리온,12,2018,Annual,0.94,1.31,1.08,1.03,0.01,1.11,0.97,-0.01
A068270,셀트리온,12,2019,Annual,0.88,1.0,1.09,1.15,0.01,0.96,0.99,-0.02
A068270,셀트리온,12,2020,Annual,0.94,1.01,1.04,1.64,0.01,0.75,1.24,0.07
A068270,셀트리온,12,2021,Annual,0.86,0.97,0.94,1.02,0.01,1.09,0.9,-0.03
A068270,셀트리온,12,2022,Annual,1.22,1.27,1.14,1.21,0.04,0.93,0.96,0.11
A005490,POSCO홀딩스,12,2011,Annual,,,,,,,,0.05
A005490,POSCO홀딩스,12,2012,Annual,1.04,1.13,0.93,0.92,0.01,1.13,0.97,-0.05
A005490,POSCO홀딩스,12,2013,Annual,1.07,1.06,1.04,0.97,0.01,1.04,0.98,-0.02
A005490,POSCO홀딩스,12,2014,Annual,1.0,0.99,1.01,1.05,0.01,1.0,1.02,-0.0
A005490,POSCO홀딩스,12,2015,Annual,0.93,1.0,1.02,0.89,0.01,1.13,0.94,-0.06
A005490,POSCO홀딩스,12,2016,Annual,1.14,0.89,1.01,0.91,0.01,1.02,0.97,-0.03
A005490,POSCO홀딩스,12,2017,Annual,0.81,0.91,0.97,1.14,0.01,0.85,0.94,-0.01
A005490,POSCO홀딩스,12,2018,Annual,0.94,1.12,0.92,1.07,0.01,0.61,1.01,-0.0
A005490,POSCO홀딩스,12,2019,Annual,0.98,1.26,0.97,0.99,0.01,0.99,0.98,-0.03
A005490,POSCO홀딩스,12,2020,Annual,1.0,1.19,0.97,0.9,0.01,1.08,1.0,-0.08
A005490,POSCO홀딩스,12,2021,Annual,0.94,0.52,0.95,1.32,0.01,0.86,1.01,0.03
A005490,POSCO홀딩스,12,2022,Annual,0.95,1.72,1.16,1.11,0.01,0.95,1.02,-0.01
A035420,NAVER,12,2011,Annual,,,,,,,,0.1
A035420,NAVER,12,2012,Annual,1.28,1.0,0.91,0.85,0.19,1.03,1.04,-0.03
A035420,NAVER,12,2013,Annual,0.76,1.0,0.99,1.26,0.14,1.09,1.3,-0.05
A035420,NAVER,12,2014,Annual,1.11,1.0,0.76,1.22,0.13,0.93,1.04,-0.02
A035420,NAVER,12,2015,Annual,1.1,1.0,1.25,1.18,0.13,1.03,1.03,-0.0
A035420,NAVER,12,2016,Annual,0.95,1.0,1.02,1.24,0.15,0.97,0.73,-0.01
A035420,NAVER,12,2017,Annual,1.12,1.0,1.27,1.16,0.16,1.03,0.96,0.03
A035420,NAVER,12,2018,Annual,0.79,1.0,1.18,1.19,0.15,1.11,1.18,-0.0
A035420,NAVER,12,2019,Annual,0.0,1.0,1.34,0.78,0.15,0.88,1.18,-0.02
A035420,NAVER,12,2020,Annual,,1.0,0.68,1.22,0.14,1.05,1.09,-0.01
A035420,NAVER,12,2021,Annual,,1.0,2.75,1.29,0.16,1.05,0.56,-0.0
A035420,NAVER,12,2022,Annual,inf,1.0,0.95,1.21,0.17,1.04,1.07,-0.0
A006400,삼성SDI,12,2011,Annual,,,,,,,,-0.02
A006400,삼성SDI,12,2012,Annual,0.8,0.8,1.17,1.06,0.02,1.19,1.18,-0.04
A006400,삼성SDI,12,2013,Annual,1.52,0.87,1.06,0.59,0.04,1.47,0.93,-0.03
A006400,삼성SDI,12,2014,Annual,0.87,1.06,0.9,1.6,0.04,0.86,0.91,-0.02
A006400,삼성SDI,12,2015,Annual,1.21,1.0,0.89,0.91,0.02,1.43,1.18,-0.07
A006400,삼성SDI,12,2016,Annual,0.81,1.17,1.12,1.05,0.02,1.44,0.86,0.03
A006400,삼성SDI,12,2017,Annual,1.05,0.79,1.04,1.22,0.03,0.51,1.03,0.02
A006400,삼성SDI,12,2018,Annual,1.04,0.82,0.81,1.44,0.03,0.88,1.35,0.02
A006400,삼성SDI,12,2019,Annual,1.07,1.02,0.98,1.1,0.02,1.2,0.98,-0.02
A006400,삼성SDI,12,2020,Annual,0.81,1.04,0.97,1.12,0.02,0.87,1.05,-0.06
A006400,삼성SDI,12,2021,Annual,1.01,0.93,0.92,1.2,0.02,0.98,1.08,-0.04
A006400,삼성SDI,12,2022,Annual,0.84,1.08,0.92,1.48,0.01,0.81,1.05,-0.03
A105560,KB금융,12,2011,Annual,,,,,,,,0.03
A105560,KB금융,12,2012,Annual,,1.03,,1.02,0.1,0.96,,-0.02
A105560,KB금융,12,2013,Annual,,0.94,,0.87,0.1,1.19,,0.03
A105560,KB금융,12,2014,Annual,,0.96,,0.94,0.09,1.07,,-0.0
A105560,KB금융,12,2015,Annual,,0.92,,0.89,0.08,1.27,,-0.0
A105560,KB금융,12,2016,Annual,,0.94,,0.97,0.07,1.2,,0.0
A105560,KB금융,12,2017,Annual,,0.92,,1.19,0.07,0.91,,0.02
A105560,KB금융,12,2018,Annual,,1.07,,1.15,0.08,0.91,,0.03
A105560,KB금융,12,2019,Annual,,1.03,,1.07,0.09,0.99,,-0.01
A105560,KB금융,12,2020,Annual,,0.94,,0.99,0.13,1.1,,0.03
A105560,KB금융,12,2021,Annual,,0.91,,1.05,0.14,1.01,,0.01
A105560,KB금융,12,2022,Annual,,1.33,,1.37,0.14,0.68,,0.0
A051910,LG화학,12,2011,Annual,,,,,,,,0.04
A051910,LG화학,12,2012,Annual,0.98,1.27,1.1,1.03,0.01,1.08,0.96,0.01
