Symbol,Name,결산월,회계년,주기,벤포드
A000010,조흥은행,12,2011,Annual,1
A000010,조흥은행,12,2012,Annual,0
A000010,조흥은행,12,2013,Annual,0
A000010,조흥은행,12,2014,Annual,1
A000010,조흥은행,12,2015,Annual,1
A000010,조흥은행,12,2016,Annual,1
A000010,조흥은행,12,2017,Annual,1
A000010,조흥은행,12,2018,Annual,1
A000010,조흥은행,12,2019,Annual,1
A000010,조흥은행,12,2020,Annual,1
A000010,조흥은행,12,2021,Annual,0
A000010,조흥은행,12,2022,Annual,1
A000020,동화약품,12,2011,Annual,0
A000020,동화약품,12,2012,Annual,0
A000020,동화약품,12,2013,Annual,0
A000020,동화약품,12,2014,Annual,0
A000020,동화약품,12,2015,Annual,0
A000020,동화약품,12,2016,Annual,1
A000020,동화약품,12,2017,Annual,0
A000020,동화약품,12,2018,Annual,0
A000020,동화약품,12,2019,Annual,0
A000020,동화약품,12,2020,Annual,0
A000020,동화약품,12,2021,Annual,1
A000020,동화약품,12,2022,Annual,0
A000030,우리은행,12,2011,Annual,0
A000030,우리은행,12,2012,Annual,0
A000030,우리은행,12,2013,Annual,0
A000030,우리은행,12,2014,Annual,0
A000030,우리은행,12,2015,Annual,1
A000030,우리은행,12,2016,Annual,0
A000030,우리은행,12,2017,Annual,0
A000030,우리은행,12,2018,Annual,0
A000030,우리은행,12,2019,Annual,0
A000030,우리은행,12,2020,Annual,0
A000030,우리은행,12,2021,Annual,0
A000030,우리은행,12,2022,Annual,0
A000040,KR모터스,12,2011,Annual,1
A000040,KR모터스,12,2012,Annual,0
A000040,KR모터스,12,2013,Annual,0
A000040,KR모터스,12,2014,Annual,0
A000040,KR모터스,12,2015,Annual,0
A000040,KR모터스,12,2016,Annual,0
A000040,KR모터스,12,2017,Annual,0
A000040,KR모터스,12,2018,Annual,1
A000040,KR모터스,12,2019,Annual,0
A000040,KR모터스,12,2020,Annual,1
A000040,KR모터스,12,2021,Annual,0
A000040,KR모터스,12,2022,Annual,0
A000050,경방,12,2011,Annual,0
A000050,경방,12,2012,Annual,0
A000050,경방,12,2013,Annual,0
A000050,경방,12,2014,Annual,0
