Symbol,Name,결산월,회계년,주기,영업수익(천원),영업비용(천원),영업이익(천원),당기순이익(천원),총자본(천원),유형자산(천원),유동자산(천원),유동부채(천원),당좌자산(천원),현금및현금성자산(천원),단기금융상품(천원),매출채권(천원),재고자산(천원),총자산(천원),매출원가(천원),매출액(천원),판매비와관리비(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원)
A005930,삼성전자,12,2011,Annual,120815977000.0,111057894000.0,9758083000.0,10048192000.0,88456906000.0,43032531000.0,39496344000.0,26969912000.0,34044912000.0,2718731000.0,11269481000.0,15216204000.0,5451432000.0,117599849000.0,90406166000.0,120815977000.0,20651728000.0,2173031000.0,17266913000.0,9307690000.0
A005930,삼성전자,12,2012,Annual,141206377000.0,122695941000.0,18510436000.0,17398530000.0,105887869000.0,39808935000.0,43952271000.0,24770263000.0,38625854000.0,2269422000.0,13400572000.0,17296647000.0,5326417000.0,133264055000.0,99431997000.0,141206377000.0,23263944000.0,2605923000.0,23065604000.0,9191294000.0
A005930,삼성전자,12,2013,Annual,158372089000.0,136565084000.0,21807005000.0,17929520000.0,122370767000.0,41439372000.0,60603694000.0,27597944000.0,54723231000.0,2030307000.0,27463345000.0,17748978000.0,5880463000.0,154825957000.0,110731528000.0,158372089000.0,25833556000.0,4857246000.0,28443058000.0,9443569000.0
A005930,삼성전자,12,2014,Annual,137825547000.0,123900553000.0,13924994000.0,14591781000.0,132677075000.0,43744259000.0,62054773000.0,28208638000.0,56500939000.0,1643318000.0,26454093000.0,18940786000.0,5553834000.0,164060583000.0,99188713000.0,137825547000.0,24711840000.0,3174870000.0,18653817000.0,10110890000.0
A005930,삼성전자,12,2015,Annual,135205045000.0,121806830000.0,13398215000.0,12238469000.0,136428255000.0,45148629000.0,67002055000.0,29630488000.0,60423943000.0,3062960000.0,27763589000.0,20251464000.0,6578112000.0,168969630000.0,99659336000.0,135205045000.0,22147494000.0,2910887000.0,19287521000.0,11090286000.0
A005930,삼성전자,12,2016,Annual,133947204000.0,120299768000.0,13647436000.0,11579749000.0,137546762000.0,47228830000.0,69981128000.0,34076122000.0,63999494000.0,3778371000.0,30170656000.0,23514012000.0,5981634000.0,174802959000.0,97290644000.0,133947204000.0,23009124000.0,3180075000.0,23984804000.0,11091977000.0
A005930,삼성전자,12,2017,Annual,161915007000.0,127057916000.0,34857091000.0,28800837000.0,151569775000.0,62816961000.0,70155189000.0,44495084000.0,62318045000.0,2763768000.0,25510064000.0,27881777000.0,7837144000.0,198241360000.0,101399657000.0,161915007000.0,25658259000.0,2176501000.0,38906190000.0,11585701000.0
A005930,삼성전자,12,2018,Annual,170381870000.0,126682419000.0,43699451000.0,32815127000.0,172988125000.0,70602493000.0,80039455000.0,43145053000.0,67598504000.0,2607957000.0,33007893000.0,24933267000.0,12440951000.0,219021357000.0,101666506000.0,170381870000.0,25015913000.0,2888179000.0,44341217000.0,14695361000.0
A005930,삼성전자,12,2019,Annual,154772859000.0,140657792000.0,14115067000.0,15353323000.0,177870247000.0,74090275000.0,72659080000.0,36237164000.0,60457368000.0,2081917000.0,26501392000.0,26255438000.0,12201712000.0,216180920000.0,113618444000.0,154772859000.0,27039348000.0,2073509000.0,22796257000.0,17586304000.0
A005930,삼성전자,12,2020,Annual,166311191000.0,145792217000.0,20518974000.0,15615018000.0,183316724000.0,86166924000.0,73798549000.0,44412904000.0,59967177000.0,989045000.0,29101284000.0,24736740000.0,13831372000.0,229664427000.0,116753419000.0,166311191000.0,29038798000.0,1934799000.0,37509025000.0,18740755000.0
