Symbol,Name,결산월,회계년,주기,영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원),총자본(천원),총부채(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),유무형자산상각비(천원),비유동자산(천원),세전계속사업이익(천원),투자활동으로인한현금흐름(천원)
A005930,삼성전자,12,2011,Annual,15644291000.0,0.0,71502063000.0,44319014000.0,55785348000.0,165001771000.0,21882127000.0,112145120000.0,15716715000.0,101313630000.0,54486633000.0,62043951000.0,155800263000.0,37212360000.0,13759043000.0,10167619000.0,22917901000.0,668620000.0,84298200000.0,17191918000.0,-21112564000.0
A005930,삼성전자,12,2012,Annual,29049338000.0,0.0,87269017000.0,46933052000.0,69521604000.0,201103613000.0,23861235000.0,126651931000.0,17747413000.0,121480206000.0,59591364000.0,68484743000.0,181071570000.0,45402344000.0,23845285000.0,12658312000.0,37972809000.0,795989000.0,93802553000.0,29915017000.0,-31321554000.0
A005930,삼성전자,12,2013,Annual,36785013000.0,0.0,110760271000.0,51315409000.0,91625403000.0,228692667000.0,24988532000.0,137696309000.0,19134868000.0,150016010000.0,64059008000.0,75496388000.0,214075018000.0,54211345000.0,30474764000.0,12743599000.0,46707440000.0,957931000.0,103000000000.0,38364279000.0,-44747019000.0
A005930,삼성전자,12,2014,Annual,25025071000.0,0.0,115146026000.0,52013913000.0,97828522000.0,206205987000.0,24694610000.0,128278800000.0,17317504000.0,168088188000.0,62334770000.0,80872950000.0,230422958000.0,52902116000.0,23394358000.0,10320857000.0,36975389000.0,1070426000.0,115000000000.0,27875034000.0,-32806408000.0
A005930,삼성전자,12,2015,Annual,26413442000.0,0.0,124814725000.0,50502909000.0,106002931000.0,200653482000.0,25168026000.0,123482118000.0,18811794000.0,179059805000.0,63119716000.0,86477110000.0,242179521000.0,50757922000.0,19060144000.0,12616807000.0,40061761000.0,970591000.0,117000000000.0,25960995000.0,-27167787000.0
A005930,삼성전자,12,2016,Annual,29240672000.0,0.0,141429704000.0,54704095000.0,123076201000.0,201866745000.0,24279211000.0,120277715000.0,18353503000.0,192963033000.0,69211291000.0,91473041000.0,262174324000.0,52348358000.0,22726092000.0,14507196000.0,47385644000.0,1001816000.0,121000000000.0,30713652000.0,-29658675000.0
A005930,삼성전자,12,2017,Annual,53645038000.0,0.0,146982464000.0,67175114000.0,121999109000.0,239575376000.0,27695995000.0,129290661000.0,24983355000.0,214491428000.0,87260662000.0,111665648000.0,301752090000.0,56639677000.0,42186747000.0,20085548000.0,62162041000.0,1336620000.0,155000000000.0,56195967000.0,-49385216000.0
A005930,삼성전자,12,2018,Annual,58886669000.0,0.0,174697424000.0,69081510000.0,145712720000.0,243771415000.0,33867733000.0,132394411000.0,28984704000.0,247753177000.0,91604067000.0,115416724000.0,339357244000.0,52490335000.0,44344857000.0,22522557000.0,67031863000.0,1447690000.0,165000000000.0,61159958000.0,-52240453000.0
A005930,삼성전자,12,2019,Annual,27768509000.0,0.0,181385260000.0,63782764000.0,154618796000.0,230400881000.0,35131343000.0,147239549000.0,26766464000.0,262880421000.0,89684076000.0,119825474000.0,352564497000.0,55392823000.0,21738865000.0,25901312000.0,45382915000.0,2040817000.0,171000000000.0,30432189000.0,-39948171000.0
A005930,삼성전자,12,2020,Annual,35993876000.0,0.0,198215579000.0,75604351000.0,166172434000.0,236806988000.0,30965058000.0,144488296000.0,32043145000.0,275948016000.0,102287702000.0,128952892000.0,378235718000.0,56324816000.0,26407832000.0,26683351000.0,65287009000.0,2085679000.0,180000000000.0,36345117000.0,-53628591000.0
A005930,삼성전자,12,2021,Annual,51633856000.0,0.0,218163185000.0,88117133000.0,176778781000.0,279604799000.0,40713415000.0,166411342000.0,41384404000.0,304899931000.0,121721227000.0,149928539000.0,426621158000.0,61559601000.0,39907450000.0,33604094000.0,65105448000.0,2073051000.0,208000000000.0,53351827000.0,-33047763000.0
A005930,삼성전자,12,2022,Annual,43376630000.0,0.0,218470581000.0,78344852000.0,166282715000.0,302231360000.0,35721563000.0,190041770000.0,52187866000.0,354749604000.0,93674903000.0,168045388000.0,448424507000.0,68812960000.0,55654077000.0,15330051000.0,62181346000.0,2239103000.0,230000000000.0,46440474000.0,-31602804000.0
A000660,SK하이닉스,12,2011,Annual,369095000.0,310397000.0,4936850000.0,4817286000.0,3753242000.0,10395811000.0,1540925000.0,8704921000.0,1183608000.0,7875271000.0,9362877000.0,10899308000.0,17238148000.0,1321795000.0,-55971000.0,4545591000.0,2855960000.0,120546000.0,12301298000.0,45147000.0,-3389264000.0
A000660,SK하이닉스,12,2012,Annual,-227349000.0,317926000.0,5313573000.0,4441180000.0,3804242000.0,10162210000.0,1719521000.0,8550989000.0,1509331000.0,9739442000.0,8909251000.0,11586192000.0,18648693000.0,1838570000.0,-158795000.0,4468071000.0,2211651000.0,200756000.0,13335120000.0,-199301000.0,-4698379000.0
A000660,SK하이닉스,12,2013,Annual,3379785000.0,256623000.0,6653124000.0,3078239000.0,5474824000.0,14165102000.0,1941675000.0,8864587000.0,1178300000.0,13066859000.0,7730439000.0,12129797000.0,20797298000.0,1920730000.0,2872857000.0,4652200000.0,6372056000.0,206553000.0,14144174000.0,3074925000.0,-4892125000.0
A000660,SK하이닉스,12,2014,Annual,5109466000.0,170363000.0,10363514000.0,5765304000.0,8865951000.0,17125566000.0,3732926000.0,9461725000.0,1497563000.0,18036303000.0,8846975000.0,14090334000.0,26883278000.0,2554375000.0,4195169000.0,3081671000.0,5866691000.0,228452000.0,16519764000.0,5047670000.0,-6087827000.0
A000660,SK하이닉스,12,2015,Annual,5336100000.0,118505000.0,9760030000.0,4840698000.0,7836654000.0,18797998000.0,2628448000.0,10515353000.0,1923376000.0,21387703000.0,8290203000.0,16966252000.0,29677906000.0,2946545000.0,4323595000.0,3449505000.0,9319520000.0,329106000.0,19917876000.0,5269121000.0,-7125530000.0
A000660,SK하이닉스,12,2016,Annual,3276746000.0,120122000.0,9838982000.0,4160849000.0,7812784000.0,17197975000.0,3251652000.0,10787139000.0,2026198000.0,24023530000.0,8192496000.0,18777402000.0,32216026000.0,3134090000.0,2960483000.0,4031647000.0,5548922000.0,364853000.0,22377044000.0,3216454000.0,-6230451000.0
