Symbol,Name,결산월,회계년,주기,분식기업,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),부채비율(%),유동비율(%),당좌비율(%),현금및현금성자산구성비율(%),유형자산구성비율(%),무형자산구성비율(%),판관비율(%),타인자본비율(%),총자산회전율(회),매출채권회전율(회),재고자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),고정자산회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,DEPI,SGAI,LVGI,TATA,벤포드
A095570,AJ네트웍스,12,2015,Annual,0.0,100.0,7.03,2.75,183.57,107.57,11.23,94.57,46.53,4.39,-3.53,3.32,40.5,15.51,333.45,30.94,27.62,4.91,78.67,2.05,92.97,76.93,0.67,15.81,44.06,0.85,3.1,26.09,0.76,24.5,28.8,89.25,1.43,1.03,1.0,0.81,0.18,1.01,0.96,0.1,0
A095570,AJ네트웍스,12,2016,Annual,0.0,100.0,4.93,1.36,132.12,105.19,6.94,61.15,28.84,18.79,-16.7,-41.09,7.41,14.81,386.87,34.81,29.89,6.17,74.86,2.67,95.07,79.46,0.66,15.51,33.06,0.84,3.04,26.78,0.78,22.16,26.34,80.01,2.19,1.13,1.0,1.28,0.17,1.02,1.03,0.12,0
A095570,AJ네트웍스,12,2017,Annual,0.0,100.0,2.66,2.45,47.92,102.73,0.18,1.69,32.03,-32.69,-63.73,20.89,4.61,-78.69,426.47,26.4,21.89,3.29,14.1,2.97,97.34,81.01,0.38,7.85,16.35,0.47,1.93,18.02,0.45,20.54,43.34,83.63,1.66,1.96,1.0,8.47,0.14,1.02,1.02,0.07,0
A095570,AJ네트웍스,12,2018,Annual,0.0,100.0,-2.03,3.56,-45.35,98.01,-10.52,-105.52,2.42,23.89,-194.64,80.5,9.98,-26.2,423.61,93.97,90.77,2.08,9.52,3.09,102.03,80.9,0.42,10.29,19.74,0.52,2.23,22.33,0.67,16.0,30.54,68.01,1.87,0.53,1.0,0.44,0.05,1.05,1.0,0.02,0
A095570,AJ네트웍스,12,2019,Annual,0.0,100.0,1.56,4.21,33.42,101.59,25.51,228.63,98.18,-4.33,-173.69,13.04,-29.37,11.33,419.16,62.88,55.52,6.82,15.13,4.65,98.44,80.74,0.46,10.77,18.17,0.57,2.38,21.36,0.85,12.41,21.96,52.35,-0.85,1.36,1.0,1.8,0.07,0.96,1.0,0.03,0
A095570,AJ네트웍스,12,2020,Annual,0.0,100.0,2.42,-0.38,45.04,102.48,-5.82,-39.52,-8.37,-12.83,34.76,-107.87,-17.08,-15.86,451.43,50.03,45.28,4.4,14.45,2.63,97.58,81.87,0.51,9.18,18.9,0.63,2.74,18.62,0.69,14.06,22.22,61.0,0.18,0.93,1.0,1.11,0.04,0.99,1.01,0.0,1
A095570,AJ네트웍스,12,2021,Annual,0.0,100.0,4.9,7.81,102.67,105.15,6.85,47.61,164.01,12.61,127.95,-2413.58,25.87,-22.6,273.79,52.16,48.4,6.29,13.11,2.06,95.1,73.25,0.67,11.02,36.78,0.86,3.02,20.97,0.85,20.93,24.43,73.76,-0.07,0.97,1.0,1.05,0.06,0.97,0.89,0.04,0
A095570,AJ네트웍스,12,2022,Annual,0.0,100.0,6.4,0.73,163.21,106.84,7.2,55.82,18.99,21.56,58.97,-88.71,0.33,-6.58,307.86,39.32,36.34,8.89,11.19,1.7,93.6,75.48,0.84,12.68,53.34,1.13,3.29,25.49,1.07,15.85,14.03,46.11,-0.77,0.84,1.0,1.0,0.46,0.98,1.03,0.04,0
A006840,AK홀딩스,12,2012,Annual,0.0,13.96,6.32,45.19,54.69,106.75,3.85,33.49,374.5,9.68,31.06,340.93,45.53,40.75,107.91,101.97,75.03,5.94,21.45,2.74,7.64,51.9,0.46,2.1,3.88,0.86,0.99,8.65,0.83,39.42,45.93,45.63,-2.69,1.34,0.93,1.07,0.01,0.98,0.93,0.01,0
A006840,AK홀딩스,12,2013,Annual,0.0,17.46,4.86,4.83,193.29,105.11,23.66,240.44,142.37,423.51,302.51,-44.0,24.32,413.35,274.0,51.97,41.5,4.41,49.23,9.43,12.6,73.26,1.3,8.24,17.11,1.96,3.91,39.76,1.97,10.6,5.42,21.19,9.58,0.24,0.8,0.59,0.0,1.65,1.41,-0.03,0
