Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),유동비율(%),당좌비율(%),매출채권회전율,재고자산회전율,고정자산회전율,영업현금흐름/투자현금흐름(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,벤포드,분식기업
A005930,삼성전자,12,2011,Annual,8.34,32.03,9.48,"1,743.07","1,915.50",110.47,18.03,"1,491.08",6.71,13.39,17.14,-5.88,-14.79,39.82,2.15,22.55,34.97,53.78,9.43,1.14,3.32,1.73,183.84,54.26,212.22,16.35,28.30,161.33,125.87,,,,-1.09,,,,,,,,-0.05,0,0.0
A005930,삼성전자,12,2012,Annual,11.86,37.02,14.44,"3,236.64","3,333.10",116.88,26.85,"2,583.29",21.88,19.91,10.38,85.69,73.31,37.82,2.06,22.58,32.91,49.05,10.38,1.19,3.53,1.81,224.07,68.04,262.73,19.3,34.84,185.94,148.13,8.79,12.02,2.26,-1.21,0.89,0.87,0.98,1.22,0.01,1.0,0.94,-0.05,0,0.0
A005930,삼성전자,12,2013,Annual,13.33,39.79,16.08,"4,098.54","4,274.50",119.17,28.26,"3,322.65",13.72,23.49,10.24,26.63,27.8,35.27,1.86,23.7,29.92,42.7,7.61,1.16,3.70,1.68,254.81,74.83,355.14,20.23,34.08,215.84,178.55,9.36,12.4,2.32,-1.04,0.92,0.93,0.93,1.14,0.01,1.05,0.91,-0.05,1,0.0
A005930,삼성전자,12,2014,Annual,11.35,37.79,12.14,"2,788.27","3,105.80",113.81,17.53,"2,571.83",-9.83,12.05,7.12,-31.97,-23.23,35.1,2.08,25.65,27.05,37.08,7.31,0.93,3.26,1.30,229.75,65.09,366.86,19.95,25.86,221.38,188.08,8.3,11.31,1.89,-1.13,1.1,1.05,1.15,0.9,0.01,1.08,0.9,-0.05,0,0.0
A005930,삼성전자,12,2015,Annual,9.5,38.46,13.16,"2,942.96","2,892.54",115.16,14.96,"2,082.93",-2.69,6.53,6.93,5.55,-18.53,35.71,2.23,25.3,26.06,35.25,9.35,0.85,3.20,1.16,223.57,63.17,328.30,19.75,22.83,247.14,209.89,8.05,11.11,1.73,-1.47,1.05,0.98,0.85,0.97,0.01,0.99,0.96,-0.06,0,0.0
A005930,삼성전자,12,2016,Annual,11.26,40.42,14.49,"3,257.96","3,422.08",116.94,16.51,"2,497.53",0.6,7.76,5.78,10.7,19.23,34.89,2.04,25.93,26.4,35.87,12.25,0.80,3.05,1.09,224.92,65.18,306.35,21.36,23.19,258.54,224.99,8.16,10.86,1.7,-1.6,0.96,0.95,0.88,1.01,0.01,1.03,1.01,-0.07,0,0.0
A005930,삼성전자,12,2017,Annual,17.61,46.03,22.39,"5,977.07","6,261.29",128.85,27.58,"4,606.57",18.68,11.16,22.07,83.46,85.63,37.01,4.89,23.64,28.92,40.68,10.12,0.85,3.06,1.18,266.93,81.12,372.25,26.49,31.15,218.8,181.61,9.22,11.06,1.74,-1.26,0.96,0.88,1.28,1.19,0.01,0.91,1.1,-0.03,0,0.0
A005930,삼성전자,12,2018,Annual,18.19,45.69,24.16,"6,561.09","6,814.37",131.85,26.46,"4,890.27",1.75,15.51,3.36,9.77,5.12,34.01,4.39,21.53,26.99,36.97,8.94,0.76,2.73,1.05,271.61,78.69,420.37,28.87,30.45,252.89,210.93,7.92,9.03,1.52,-1.28,1.2,1.01,1.02,1.02,0.01,0.91,0.93,-0.02,0,0.0
A005930,삼성전자,12,2019,Annual,9.44,36.09,12.05,"3,093.94","3,390.72",113.7,11.92,"2,396.07",-5.48,6.11,3.82,-52.84,-50.98,33.99,5.87,24.04,25.44,34.12,7.63,0.67,2.54,0.90,256.71,56.38,308.97,22.18,20.02,284.38,242.41,6.68,8.27,1.37,-1.14,1.1,1.27,1.0,0.95,0.01,1.12,0.94,-0.05,0,0.0
A005930,삼성전자,12,2020,Annual,11.15,38.98,15.2,"4,010.40","4,049.53",117.92,13.49,"2,907.01",2.78,4.97,7.62,29.62,21.48,34.09,4.88,23.79,27.04,37.07,7.77,0.65,2.47,0.88,263.85,58.79,292.14,23.83,20.94,262.17,219.79,7.17,8.05,1.35,-1.22,0.86,0.93,0.93,1.03,0.02,0.99,1.06,-0.08,0,0.0
A005930,삼성전자,12,2021,Annual,14.27,40.48,18.47,"5,752.99","5,944.40",122.65,18.37,"4,372.50",18.07,10.49,16.27,43.45,51.12,35.14,4.74,22.02,28.53,39.92,9.15,0.69,2.50,0.96,311.53,65.61,380.69,26.28,25.30,247.58,200.62,7.8,7.62,1.44,-1.97,1.11,0.96,1.02,1.18,0.02,0.93,1.06,-0.03,0,0.0
