Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,,,"9,382,956",,"6,864,486",,"99,350,932","127,451,534"
A247540,에코프로비엠,12,2017,Annual,190.31,137.59,"22,292,689",,"15,159,392",,"115,232,762","159,311,178"
A247540,에코프로비엠,12,2018,Annual,103.26,125.56,"50,283,592",,"36,856,556",,"160,545,276","233,121,684"
A247540,에코프로비엠,12,2019,Annual,4.57,-26.26,"37,077,550",,"34,481,004",,"370,206,923","376,721,487"
A247540,에코프로비엠,12,2020,Annual,38.81,50.99,"55,984,931",,"47,653,397",,"444,332,055","407,748,118"
A247540,에코프로비엠,12,2021,Annual,73.77,127.32,"127,265,730",,"106,745,921",,"558,726,814","463,287,562"
A247540,에코프로비엠,12,2022,Annual,129.81,106.37,"262,632,141",,"175,255,684",,"1,320,778,565","537,903,027"
A086520,에코프로,12,2011,Annual,58.60,25.64,"4,626,589",,"785,872",,"72,275,780","85,992,279"
A086520,에코프로,12,2012,Annual,-8.97,20.77,"5,587,674",,"640,338",,"74,288,803","94,528,591"
A086520,에코프로,12,2013,Annual,-25.30,-76.65,"1,304,926",,"-8,001,781",,"74,659,977","103,396,436"
A086520,에코프로,12,2014,Annual,39.68,453.23,"7,219,245",,"1,496,353",,"76,611,575","103,495,439"
A086520,에코프로,12,2015,Annual,28.89,-19.49,"5,812,016",,"189,521",,"101,832,377","118,626,199"
A086520,에코프로,12,2016,Annual,-32.03,-87.61,"719,844",,"9,079,423",,"145,759,923","34,681,926"
A086520,에코프로,12,2017,Annual,-44.31,-32.28,"487,450",,"4,958,769",,"156,898,433","32,938,434"
A086520,에코프로,12,2018,Annual,104.62,"2,120.38","10,823,246",,"61,661,270",,"213,872,056","30,935,029"
A086520,에코프로,12,2019,Annual,12.37,-36.61,"6,860,822",,"87,446,246",,"305,250,100","32,824,382"
A086520,에코프로,12,2020,Annual,-92.51,적전,"-2,481,527",,"15,716,195",,"142,218,832","35,252,477"
A086520,에코프로,12,2021,Annual,148.44,흑전,"4,161,626",,"384,971,967",,"564,793,476","1,244,518"
A086520,에코프로,12,2022,Annual,683.74,"2,657.80","114,769,395",,"-86,162,846",,"558,231,654","2,292,809"
A028300,HLB,12,2011,Annual,8.49,흑전,"609,600",,"-1,431,516",,"22,660,950","3,983,415"
A028300,HLB,12,2012,Annual,-6.53,적전,"-1,618,856",,"-3,237,266",,"26,266,333","3,429,567"
A028300,HLB,12,2013,Annual,13.31,적지,"-4,652,035",,"-8,308,658",,"14,426,365","13,507,179"
A028300,HLB,12,2014,Annual,86.16,흑전,"803,854",,"-3,223,501",,"21,957,241","13,437,866"
A028300,HLB,12,2015,Annual,3.42,적전,"-2,550,595",,"-7,356,072",,"62,569,092","11,120,108"
A028300,HLB,12,2016,Annual,-21.75,적지,"-4,640,552",,"-6,323,230",,"67,937,895","10,523,340"
A028300,HLB,12,2017,Annual,-23.58,적지,"-6,775,520",,"-14,109,736",,"66,093,464","10,010,852"
A028300,HLB,12,2018,Annual,18.60,흑전,"1,654,470",,"41,894,751",,"183,685,460","7,821,644"
A028300,HLB,12,2019,Annual,9.18,적전,"-4,939,441",,"-31,227,849",,"408,751,607","9,179,665"
A028300,HLB,12,2020,Annual,63.66,적지,"-9,905,938",,"-60,065,222",,"745,228,525","8,779,800"
A028300,HLB,12,2021,Annual,-25.35,적지,"-14,452,296",,"-54,736,057",,"730,424,693","8,820,831"
A028300,HLB,12,2022,Annual,384.03,흑전,"38,003,515",,"10,325,187",,"1,003,067,916","36,153,889"
A196170,알테오젠,12,2011,Annual,,,,,,,,
A196170,알테오젠,12,2012,Annual,,,"1,660,132",,"1,433,818",,"3,802,166","176,796"
A196170,알테오젠,12,2013,Annual,39.59,-9.00,"1,510,743",,"1,521,601",,"5,954,299","609,500"
A196170,알테오젠,12,2014,Annual,24.69,-59.39,"613,464",,"826,649",,"35,635,634","472,478"
A196170,알테오젠,12,2015,Annual,-32.84,-86.33,"83,831",,"1,154,128",,"38,307,681","4,095,358"
A196170,알테오젠,12,2016,Annual,-49.57,적전,"-5,383,739",,"-3,276,813",,"45,295,933","4,707,268"
A196170,알테오젠,12,2017,Annual,5.79,적지,"-6,315,113",,"-7,812,953",,"39,548,273","4,988,798"
A196170,알테오젠,12,2018,Annual,-47.42,적지,"-7,042,995",,"-6,358,237",,"66,078,000","7,513,702"
A196170,알테오젠,12,2019,Annual,926.11,흑전,"911,580",,"1,754,111",,"71,128,721","11,015,188"
A196170,알테오젠,12,2020,Annual,96.75,502.58,"5,493,028",,"-10,784,329",,"63,770,978","10,288,258"
A196170,알테오젠,12,2021,Annual,-47.15,적전,"-8,298,562",,"9,874,346",,"152,885,138","21,318,987"
A196170,알테오젠,12,2022,Annual,-36.84,적지,"-21,470,898",,"2,114,428",,"177,255,717","19,685,472"
A348370,엔켐,12,2011,Annual,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,
A348370,엔켐,12,2013,Annual,,,"-715,205",,"-914,014",,"2,288,822","2,077,678"
A348370,엔켐,12,2014,Annual,143.14,적지,"-356,230",,"-582,553",,"1,706,269","2,135,417"
A348370,엔켐,12,2015,Annual,32.82,흑전,"219,053",,"120,386",,"5,330,550","2,138,541"
A348370,엔켐,12,2016,Annual,212.81,307.91,"893,536",,"752,624",,"15,832,988","5,619,053"
A348370,엔켐,12,2017,Annual,6.77,-13.48,"773,127",,"380,996",,"20,673,855","11,738,818"
A348370,엔켐,12,2018,Annual,N/A(IFRS),N/A(IFRS),"2,698,662",,"-1,992,143",,"-5,017,196","15,865,469"
A348370,엔켐,12,2019,Annual,138.63,379.85,"12,949,446",,"-456,707",,"30,817,480","22,254,925"
A348370,엔켐,12,2020,Annual,55.97,13.24,"14,663,596",,"-2,336,941",,"120,545,704","23,599,632"
A348370,엔켐,12,2021,Annual,2.86,적전,"-28,292,896",,"-23,006,337",,"212,280,714","24,652,689"
A348370,엔켐,12,2022,Annual,15.76,흑전,"1,717,914",,"30,313,405",,"290,864,066","21,573,390"
A058470,리노공업,12,2011,Annual,16.83,7.74,"23,432,594",,"19,265,032",,"104,417,131","25,613,375"
A058470,리노공업,12,2012,Annual,13.89,18.38,"27,739,233",,"24,861,807",,"121,596,759","34,601,215"
A058470,리노공업,12,2013,Annual,7.20,3.93,"28,829,491",,"26,180,658",,"139,437,196","46,024,341"
A058470,리노공업,12,2014,Annual,15.85,13.49,"32,718,314",,"30,866,898",,"156,260,851","56,315,520"
A058470,리노공업,12,2015,Annual,6.48,10.06,"36,009,931",,"32,632,446",,"178,149,871","63,747,166"
A058470,리노공업,12,2016,Annual,13.38,9.18,"39,316,220",,"35,396,238",,"200,921,229","68,638,624"
A058470,리노공업,12,2017,Annual,25.47,25.03,"49,156,999",,"40,362,178",,"227,946,149","68,591,713"
A058470,리노공업,12,2018,Annual,6.25,17.06,"57,544,369",,"48,642,070",,"262,843,771","77,206,435"
A058470,리노공업,12,2019,Annual,13.27,11.46,"64,141,630",,"52,790,182",,"300,178,166","84,646,817"
A058470,리노공업,12,2020,Annual,18.22,21.42,"77,881,754",,"55,378,772",,"337,341,183","96,289,623"
A058470,리노공업,12,2021,Annual,39.15,50.36,"117,104,353",,"103,805,815",,"417,703,187","124,382,381"
A058470,리노공업,12,2022,Annual,15.08,16.68,"136,634,730",,"114,363,791",,"493,183,583","128,454,853"
A068760,셀트리온제약,12,2011,Annual,5.11,-33.95,"5,001,420",,"2,401,324",,"126,809,058","48,274,183"
A068760,셀트리온제약,12,2012,Annual,5.76,1.65,"5,083,772",,"3,936,477",,"156,216,290","114,870,321"
A068760,셀트리온제약,12,2013,Annual,12.02,46.68,"7,456,923",,"2,642,629",,"167,415,488","144,860,958"
A068760,셀트리온제약,12,2014,Annual,29.20,17.46,"8,758,792",,"6,269,748",,"213,818,948","195,498,894"
A068760,셀트리온제약,12,2015,Annual,12.16,적전,"-12,706,187",,"-14,554,179",,"190,569,336","218,579,764"
A068760,셀트리온제약,12,2016,Annual,39.94,적지,"-14,907,074",,"-21,016,345",,"275,049,633","209,319,742"
A068760,셀트리온제약,12,2017,Annual,27.53,흑전,"8,727,562",,"2,778,955",,"292,048,159","199,319,424"
A068760,셀트리온제약,12,2018,Annual,7.67,-58.12,"3,655,285",,"-10,237,263",,"267,603,864","194,993,673"
A068760,셀트리온제약,12,2019,Annual,23.81,329.02,"15,682,042",,"9,526,146",,"280,031,378","215,989,335"
A068760,셀트리온제약,12,2020,Annual,35.26,50.68,"23,629,562",,"20,939,676",,"300,560,797","247,205,317"
A068760,셀트리온제약,12,2021,Annual,70.72,102.28,"47,797,892",,"34,578,715",,"331,968,799","240,970,873"
A068760,셀트리온제약,12,2022,Annual,-3.18,-20.14,"38,169,582",,"25,959,948",,"356,786,547","227,786,785"
A403870,HPSP,12,2011,Annual,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,
A403870,HPSP,12,2017,Annual,,,"13,658,565",,"10,274,642",,"21,524,642","896,556"
A403870,HPSP,12,2018,Annual,-91.62,적전,"-2,931,230",,"-2,565,903",,"12,125,474","764,580"
A403870,HPSP,12,2019,Annual,963.14,흑전,"9,943,657",,"8,264,119",,"20,301,443","657,813"
A403870,HPSP,12,2020,Annual,N/A(IFRS),N/A(IFRS),"24,792,911",,"17,658,332",,"34,390,867","1,126,485"
A403870,HPSP,12,2021,Annual,49.98,82.36,"45,212,381",,"35,343,560",,"52,748,747","1,036,328"
A403870,HPSP,12,2022,Annual,73.66,88.39,"85,174,462",,"66,005,615",,"195,371,869","10,115,905"
A277810,레인보우로보틱스,12,2011,Annual,,,,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,,,,
