Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%),세전계속사업이익률(%),영업수익(천원),영업비용(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,6.87,17.90,9.40,,,,6.12,"99,849,156","90,466,200"
A247540,에코프로비엠,12,2017,Annual,5.23,15.41,7.69,287.65,196.46,195.61,5.25,"289,870,411","267,577,723"
A247540,에코프로비엠,12,2018,Annual,6.26,13.51,8.53,633.49,540.34,464.33,7.28,"589,185,698","538,902,105"
A247540,에코프로비엠,12,2019,Annual,5.60,11.86,6.02,402.95,308.01,374.73,4.60,"616,085,055","579,007,505"
A247540,에코프로비엠,12,2020,Annual,5.57,12.40,6.55,538.43,468.50,458.30,5.70,"855,210,355","799,225,424"
A247540,에코프로비엠,12,2021,Annual,7.18,13.15,8.56,"1,158.16","1,151.24",971.42,8.51,"1,486,137,573","1,358,871,842"
A247540,에코프로비엠,12,2022,Annual,5.13,11.15,7.69,869.63,692.99,580.31,6.13,"3,415,313,943","3,152,681,802"
A086520,에코프로,12,2011,Annual,0.90,14.92,5.28,76.52,6.16,13.00,0.43,"87,620,611","82,994,022"
A086520,에코프로,12,2012,Annual,0.80,16.97,7.01,87.14,8.51,9.99,0.68,"79,761,920","74,174,247"
A086520,에코프로,12,2013,Annual,-13.43,17.74,2.19,19.35,-83.91,-118.65,-9.50,"59,580,666","58,275,740"
A086520,에코프로,12,2014,Annual,1.80,22.42,8.67,102.97,6.26,21.34,0.53,"83,223,658","76,004,413"
A086520,에코프로,12,2015,Annual,0.18,16.88,5.42,75.03,-7.82,2.45,-0.56,"107,266,374","101,454,357"
A086520,에코프로,12,2016,Annual,12.45,18.00,0.99,7.51,106.92,94.76,14.05,"72,912,931","72,193,087"
A086520,에코프로,12,2017,Annual,12.21,22.01,1.20,4.49,62.12,45.65,16.62,"40,605,615","40,118,165"
A086520,에코프로,12,2018,Annual,74.21,28.61,13.03,97.99,588.25,558.27,78.20,"83,086,320","72,263,074"
A086520,에코프로,12,2019,Annual,93.66,32.23,7.35,62.12,747.13,791.72,88.39,"93,361,225","86,500,403"
A086520,에코프로,12,2020,Annual,224.86,100.00,-35.50,-22.47,51.81,142.29,81.88,"6,989,472","9,471,000"
A086520,에코프로,12,2021,Annual,"2,217.02",100.00,23.97,36.14,"-1,151.89","3,342.80",-763.96,"17,364,372","13,202,746"
A086520,에코프로,12,2022,Annual,-63.31,100.00,84.33,932.46,-743.22,-700.04,-67.22,"136,091,392","21,321,997"
A028300,HLB,12,2011,Annual,-7.59,20.08,3.23,6.70,-20.23,-15.73,-9.76,"18,856,657","18,247,057"
A028300,HLB,12,2012,Annual,-18.37,8.51,-9.18,-15.71,-31.43,-31.42,-18.37,"17,626,105","19,244,962"
A028300,HLB,12,2013,Annual,-41.60,8.13,-23.29,-39.37,-63.30,-70.32,-37.45,"19,971,392","24,623,426"
A028300,HLB,12,2014,Annual,-8.67,16.04,2.16,6.09,-13.43,-24.41,-4.77,"37,178,698","36,374,844"
A028300,HLB,12,2015,Annual,-19.13,15.66,-6.63,-16.35,-47.14,-47.14,-19.13,"38,451,533","41,002,127"
A028300,HLB,12,2016,Annual,-21.01,14.03,-15.42,-26.43,-36.01,-36.01,-21.01,"30,089,605","34,730,156"
A028300,HLB,12,2017,Annual,-61.36,9.47,-29.47,-37.50,-78.09,-78.09,-61.36,"22,994,053","29,769,573"
A028300,HLB,12,2018,Annual,153.62,19.49,6.07,8.76,221.77,221.77,153.62,"27,271,379","25,616,909"
A028300,HLB,12,2019,Annual,-104.88,10.31,-16.59,-24.12,-152.49,-152.49,-104.88,"29,775,778","34,715,219"
A028300,HLB,12,2020,Annual,-123.26,19.61,-20.33,-41.39,-250.99,-250.99,-123.26,"48,730,105","58,636,044"
A028300,HLB,12,2021,Annual,-150.48,25.21,-39.73,-36.22,-137.18,-137.18,-150.48,"36,375,293","50,827,589"
A028300,HLB,12,2022,Annual,5.86,37.16,21.58,68.14,36.76,18.51,11.65,"176,068,585","138,065,069"
A196170,알테오젠,12,2011,Annual,,,,,,,,,
A196170,알테오젠,12,2012,Annual,36.21,86.32,41.92,,,,36.57,"3,959,774","2,299,642"
A196170,알테오젠,12,2013,Annual,27.53,68.31,27.33,169.75,171.60,170.97,27.63,"5,527,341","4,016,598"
A196170,알테오젠,12,2014,Annual,11.99,54.05,8.90,29.69,31.61,40.01,9.48,"6,892,300","6,278,836"
A196170,알테오젠,12,2015,Annual,24.93,72.63,1.81,2.92,34.52,40.20,21.41,"4,628,878","4,545,047"
A196170,알테오젠,12,2016,Annual,-140.38,12.81,-230.64,-177.18,-145.41,-107.84,-189.30,"2,334,238","7,717,977"
A196170,알테오젠,12,2017,Annual,-316.38,11.86,-255.73,-133.94,-158.94,-165.70,-303.46,"2,469,485","8,784,598"
A196170,알테오젠,12,2018,Annual,-489.71,80.95,-542.45,-106.94,-81.13,-96.54,-411.55,"1,298,358","8,341,352"
A196170,알테오젠,12,2019,Annual,13.17,77.20,6.84,13.20,25.67,25.39,13.31,"13,322,561","12,410,981"
A196170,알테오젠,12,2020,Annual,-41.14,66.97,20.96,52.34,-97.88,-102.76,-39.19,"26,211,819","20,718,790"
A196170,알테오젠,12,2021,Annual,71.28,32.87,-59.90,-46.67,59.55,55.54,76.42,"13,853,563","22,152,125"
A196170,알테오젠,12,2022,Annual,24.17,37.22,-245.38,-89.97,8.86,8.86,24.17,"8,749,919","30,220,817"
A348370,엔켐,12,2011,Annual,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,
A348370,엔켐,12,2013,Annual,-44.61,-14.13,-34.91,,,,-44.61,"2,048,729","2,763,934"
A348370,엔켐,12,2014,Annual,-11.69,2.53,-7.15,-26.89,-43.97,-43.97,-11.69,"4,981,346","5,337,576"
A348370,엔켐,12,2015,Annual,1.82,11.86,3.31,14.73,8.09,8.09,1.82,"6,616,003","6,396,950"
A348370,엔켐,12,2016,Annual,3.64,11.18,4.32,44.06,37.11,37.11,3.64,"20,695,242","19,801,707"
A348370,엔켐,12,2017,Annual,1.72,12.64,3.50,30.38,14.97,14.97,1.72,"22,095,964","21,322,837"
A348370,엔켐,12,2018,Annual,-5.40,15.83,7.32,N/A(IFRS),N/A(IFRS),N/A(IFRS),-5.63,"36,860,147","34,161,484"
A348370,엔켐,12,2019,Annual,-0.52,20.90,14.72,700.02,-26.40,-24.69,-0.56,"87,958,351","75,008,905"
A348370,엔켐,12,2020,Annual,-1.70,17.98,10.69,340.97,-48.76,-54.34,-1.53,"137,185,577","122,521,981"
A348370,엔켐,12,2021,Annual,-16.30,-10.64,-20.05,-418.40,-489.96,-340.22,-23.48,"141,102,798","169,395,694"
A348370,엔켐,12,2022,Annual,18.56,14.69,1.05,22.16,382.06,391.04,18.13,"163,340,507","161,622,594"
A058470,리노공업,12,2011,Annual,29.17,44.43,35.48,584.19,600.38,480.29,36.46,"66,049,988","42,617,393"
A058470,리노공업,12,2012,Annual,33.05,45.75,36.88,691.55,766.99,619.82,40.90,"75,222,218","47,482,984"
A058470,리노공업,12,2013,Annual,32.47,45.63,35.75,495.68,556.06,450.14,40.11,"80,639,505","51,810,015"
A058470,리노공업,12,2014,Annual,33.04,45.26,35.02,429.31,504.48,405.01,41.15,"93,421,913","60,703,598"
A058470,리노공업,12,2015,Annual,32.80,45.83,36.20,472.50,533.47,428.18,40.87,"99,475,355","63,465,424"
A058470,리노공업,12,2016,Annual,31.38,43.47,34.86,515.88,602.57,464.45,40.72,"112,788,734","73,472,514"
A058470,리노공업,12,2017,Annual,28.52,42.14,34.74,645.00,681.13,529.61,36.68,"141,510,913","92,353,913"
A058470,리노공업,12,2018,Annual,32.35,45.23,38.27,755.06,828.29,638.25,41.98,"150,354,373","92,810,004"
A058470,리노공업,12,2019,Annual,31.00,43.54,37.66,841.62,931.02,692.68,41.66,"170,307,405","106,165,775"
A058470,리노공업,12,2020,Annual,27.51,44.09,38.68,"1,021.91",965.10,726.64,36.53,"201,335,459","123,453,706"
A058470,리노공업,12,2021,Annual,37.05,46.84,41.80,"1,536.56","1,822.46","1,362.07",49.58,"280,166,833","163,062,480"
A058470,리노공업,12,2022,Annual,35.47,47.96,42.38,"1,792.83","2,021.67","1,500.60",47.79,"322,422,803","185,788,073"
A068760,셀트리온제약,12,2011,Annual,5.68,71.35,11.83,81.38,45.11,39.07,6.56,"42,273,147","37,271,727"
A068760,셀트리온제약,12,2012,Annual,8.80,69.84,11.37,76.94,50.37,59.58,7.44,"44,707,596","39,623,824"
A068760,셀트리온제약,12,2013,Annual,5.28,69.28,14.89,104.53,49.80,37.05,7.09,"50,083,248","42,626,325"
A068760,셀트리온제약,12,2014,Annual,9.69,66.12,13.54,105.26,75.62,75.35,9.73,"64,708,354","55,949,561"
A068760,셀트리온제약,12,2015,Annual,-20.05,65.88,-17.51,-127.87,-201.95,-146.46,-27.65,"72,578,429","85,284,616"
A068760,셀트리온제약,12,2016,Annual,-20.69,40.24,-14.68,-113.55,-178.01,-160.08,-23.01,"101,569,415","116,476,489"
A068760,셀트리온제약,12,2017,Annual,2.15,44.36,6.74,53.71,15.49,17.10,1.94,"129,529,518","120,801,956"
A068760,셀트리온제약,12,2018,Annual,-7.34,28.42,2.62,21.69,-42.22,-60.75,-5.10,"139,470,824","135,815,539"
A068760,셀트리온제약,12,2019,Annual,5.52,36.35,9.08,92.04,58.89,55.91,5.81,"172,682,727","157,000,685"
A068760,셀트리온제약,12,2020,Annual,8.97,31.32,10.12,135.22,115.18,119.83,8.62,"233,568,478","209,938,915"
A068760,셀트리온제약,12,2021,Annual,8.67,29.91,11.99,264.22,235.06,191.14,10.66,"398,738,209","350,940,317"
A068760,셀트리온제약,12,2022,Annual,6.72,29.21,9.89,205.62,164.13,139.85,7.89,"386,039,613","347,870,030"
A403870,HPSP,12,2011,Annual,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,
