Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),현금비율,현금및현금성자산(천원),유동부채(천원),매출액(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),단기금융상품(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,130.74,,"83,107,456","83,534,772",,"35,481,381",,"5,763,287","83,534,772","99,849,156","83,534,772",55.60,6.75,,56.66,0
A247540,에코프로비엠,12,2017,Annual,157.12,,"117,782,759","128,359,584",,"54,775,537",,"13,790,874","128,359,584","289,870,411","128,359,584",53.77,5.07,163.67,61.11,0
A247540,에코프로비엠,12,2018,Annual,189.30,,"211,613,400","206,132,033",,"72,891,904",,"9,552,862","206,132,033","589,185,698","206,132,033",50.19,3.01,30.88,65.43,"100,000"
A247540,에코프로비엠,12,2019,Annual,75.67,,"245,507,156","137,876,295",,"86,644,170",,"20,105,506","137,876,295","616,085,055","137,876,295",57.93,2.17,22.94,43.08,0
A247540,에코프로비엠,12,2020,Annual,73.74,,"270,110,775","185,400,380",,"113,294,515",,"24,808,045","185,400,380","855,210,355","185,400,380",52.82,1.72,38.99,42.44,0
A247540,에코프로비엠,12,2021,Annual,120.72,,"622,506,068","523,478,319",,"305,408,993",,"23,710,225","523,478,319","1,486,137,573","523,478,319",37.57,0.98,36.20,54.69,0
A247540,에코프로비엠,12,2022,Annual,77.74,,"1,429,749,278","888,628,597",,"897,325,898",,"277,818,663","888,628,597","3,415,313,943","888,628,597",22.91,0.52,73.13,43.74,"30,000,000"
A086520,에코프로,12,2011,Annual,135.84,,"68,394,786","54,109,391",,"35,559,800",,"3,761,720","54,109,391","87,620,611","54,109,391",50.45,6.06,39.07,57.60,"14,176,000"
A086520,에코프로,12,2012,Annual,130.76,,"58,050,554","88,599,667",,"24,690,429",,"2,550,707","88,599,667","79,761,920","88,599,667",55.14,7.53,-5.89,56.66,"1,000,000"
A086520,에코프로,12,2013,Annual,134.89,,"52,048,744","85,329,711",,"21,984,820",,"1,833,347","85,329,711","59,580,666","85,329,711",58.96,9.43,16.55,57.43,"1,000,000"
A086520,에코프로,12,2014,Annual,142.12,,"57,423,646","97,685,276",,"24,853,600",,"1,253,996","97,685,276","83,223,658","97,685,276",55.80,11.24,23.44,58.70,"1,105,000"
A086520,에코프로,12,2015,Annual,116.58,,"63,897,250","84,816,700",,"32,368,726",,"4,530,654","84,816,700","107,266,374","84,816,700",53.79,9.46,7.46,53.83,"1,045,000"
A086520,에코프로,12,2016,Annual,32.40,,"43,746,050","28,254,343",,"30,956,604",,"15,805,427","28,254,343","72,912,931","28,254,343",17.97,2.49,0.92,24.47,"3,500,000"
A086520,에코프로,12,2017,Annual,32.94,,"41,581,309","45,217,538",,"30,978,773",,"8,745,002","45,217,538","40,605,615","45,217,538",15.79,2.02,-31.88,24.78,"11,615,000"
A086520,에코프로,12,2018,Annual,20.75,,"43,065,193","29,660,688",,"32,430,811",,"4,556,351","29,660,688","83,086,320","29,660,688",11.98,0.84,53.22,17.18,"119,376"
A086520,에코프로,12,2019,Annual,24.79,,"54,823,763","46,056,312",,"39,567,086",,"5,667,957","46,056,312","93,361,225","46,056,312",8.62,0.50,79.44,19.87,"120,000"
A086520,에코프로,12,2020,Annual,117.58,,"120,965,358","143,707,853",,"101,965,035",,"47,931,996","143,707,853","6,989,472","143,707,853",11.39,0.99,-59.23,54.04,"21,000,000"
A086520,에코프로,12,2021,Annual,41.71,,"177,020,399","28,236,680",,"177,020,399",,"153,155,734","28,236,680","17,364,372","28,236,680",0.16,0.20,39.40,29.43,"2,500,000"
A086520,에코프로,12,2022,Annual,52.56,,"85,518,931","131,486,088",,"85,518,931",,"12,942,024","131,486,088","136,091,392","131,486,088",0.27,0.29,61.50,34.45,0
A028300,HLB,12,2011,Annual,51.26,,"9,326,731","11,184,036",,"9,291,284",,"2,027,896","11,184,036","18,856,657","11,184,036",11.62,2.90,-12.86,33.89,"2,164,000"
A028300,HLB,12,2012,Annual,20.63,,"7,171,181","5,072,529",,"7,088,296",,"902,977","5,072,529","17,626,105","5,072,529",10.82,1.19,-1.84,17.10,"64,000"
A028300,HLB,12,2013,Annual,134.53,,"16,999,429","17,077,533",,"12,458,901",,"1,049,089","17,077,533","19,971,392","17,077,533",39.92,1.59,101.21,57.36,"285,018"
A028300,HLB,12,2014,Annual,136.63,,"32,847,407","21,207,163",,"25,173,783",,"10,043,781","21,207,163","37,178,698","21,207,163",25.86,1.43,-17.76,57.74,"84,000"
A028300,HLB,12,2015,Annual,46.61,,"20,423,772","23,280,495",,"15,117,942",,"3,491,893","23,280,495","38,451,533","23,280,495",12.12,0.75,66.09,31.79,"4,276,490"
A028300,HLB,12,2016,Annual,28.51,,"15,912,302","12,654,472",,"12,057,722",,"8,018,202","12,654,472","30,089,605","12,654,472",12.05,1.11,3.40,22.18,"231,727"
A028300,HLB,12,2017,Annual,63.60,,"16,558,300","37,164,060",,"12,415,391",,"6,970,486","37,164,060","22,994,053","37,164,060",9.26,0.13,1.03,38.87,"1,420,183"
A028300,HLB,12,2018,Annual,29.59,,"99,003,565","10,073,128",,"95,947,944",,"13,746,388","10,073,128","27,271,379","10,073,128",3.29,0.02,-59.13,22.84,"687,370"
A028300,HLB,12,2019,Annual,20.88,,"40,640,692","10,054,066",,"36,613,371",,"13,329,161","10,054,066","29,775,778","10,054,066",1.86,0.02,118.88,17.27,"11,488,755"
A028300,HLB,12,2020,Annual,6.21,,"173,521,334","45,234,621",,"169,434,893",,"153,999,757","45,234,621","48,730,105","45,234,621",1.11,5.07,142.98,5.84,75
A028300,HLB,12,2021,Annual,9.83,,"61,287,290","24,296,879",,"58,280,313",,"36,642,797","24,296,879","36,375,293","24,296,879",1.10,4.13,21.38,8.95,"1,300,000"
A028300,HLB,12,2022,Annual,14.44,,"318,363,814","137,607,660",,"308,364,154",,"166,821,072","137,607,660","176,068,585","137,607,660",3.15,7.10,16.12,12.62,"95,000,000"
A196170,알테오젠,12,2011,Annual,,,,,,,,,,,,,,,,
A196170,알테오젠,12,2012,Annual,50.41,,"5,515,207","649,950",,"5,515,207",,"608,951","649,950","3,959,774","649,950",3.09,0.25,,33.52,"3,651,330"
A196170,알테오젠,12,2013,Annual,39.91,,"7,299,961","987,227",,"7,299,961",,"270,807","987,227","5,527,341","987,227",7.32,0.63,28.84,28.53,"5,326,000"
A196170,알테오젠,12,2014,Annual,5.98,,"24,638,386","1,826,887",,"24,638,386",,"8,520,832","1,826,887","6,892,300","1,826,887",1.25,0.26,37.40,5.65,"14,300,000"
A196170,알테오젠,12,2015,Annual,2.18,,"26,048,307","412,866",,"26,048,307",,"6,981,525","412,866","4,628,878","412,866",10.46,0.46,5.34,2.13,"18,400,000"
A196170,알테오젠,12,2016,Annual,3.33,,"37,589,406","1,015,656",,"37,589,406",,"8,063,682","1,015,656","2,334,238","1,015,656",10.06,3.79,73.36,3.23,"28,728,157"
A196170,알테오젠,12,2017,Annual,4.36,,"33,551,737","1,256,789",,"33,551,737",,"4,987,393","1,256,789","2,469,485","1,256,789",12.09,0.69,16.28,4.18,"26,900,000"
A196170,알테오젠,12,2018,Annual,1.52,,"54,457,921","301,991",,"54,457,921",,"7,813,435","301,991","1,298,358","301,991",11.20,0.63,22.49,1.50,"42,300,000"
A196170,알테오젠,12,2019,Annual,11.82,,"61,037,198","5,031,830",,"61,037,198",,"2,898,864","5,031,830","13,322,561","5,031,830",13.85,0.62,15.80,10.57,"57,063,864"
A196170,알테오젠,12,2020,Annual,80.91,,"96,701,170","50,766,433",,"96,701,170",,"5,214,928","50,766,433","26,211,819","50,766,433",8.92,0.67,28.69,44.72,"89,324,000"
A196170,알테오젠,12,2021,Annual,23.67,,"152,942,768","33,782,629",,"152,942,768",,"8,551,265","33,782,629","13,853,563","33,782,629",11.28,4.58,6.55,19.14,"140,452,000"
A196170,알테오젠,12,2022,Annual,4.85,,"111,923,741","6,754,225",,"111,923,741",,"41,545,117","6,754,225","8,749,919","6,754,225",10.59,13.96,92.40,4.62,"55,710,440"
A348370,엔켐,12,2011,Annual,,,,,,,,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,,,,,,,,
A348370,엔켐,12,2013,Annual,362.66,,"8,392,136","970,160",,"7,531,293",,"6,846,707","970,160","2,048,729","970,160",19.62,0.00,,78.39,"44,507"
A348370,엔켐,12,2014,Annual,492.93,,"7,297,727","1,102,459",,"6,304,199",,"4,615,352","1,102,459","4,981,346","1,102,459",21.11,0.99,13.33,83.13,"82,480"
A348370,엔켐,12,2015,Annual,86.24,,"6,460,402","1,861,104",,"4,341,353",,"586,898","1,861,104","6,616,003","1,861,104",21.54,4.74,17.20,46.31,"1,463,198"
A348370,엔켐,12,2016,Annual,50.44,,"16,737,820","3,955,005",,"10,177,721",,"3,036,449","3,955,005","20,695,242","3,955,005",23.59,4.65,151.13,33.53,"2,282,238"
A348370,엔켐,12,2017,Annual,51.40,,"17,806,137","5,066,035",,"10,912,109",,"5,708,465","5,066,035","22,095,964","5,066,035",37.50,4.32,42.24,33.95,"954,261"
A348370,엔켐,12,2018,Annual,완전잠식,,"30,291,101","42,092,244",,"17,952,139",,"7,319,454","42,092,244","36,860,147","42,092,244",27.62,0.00,N/A(IFRS),108.73,"937,335"
A348370,엔켐,12,2019,Annual,311.91,,"86,712,714","39,075,780",,"62,710,173",,"30,950,883","39,075,780","87,958,351","39,075,780",17.53,0.05,73.26,75.72,"970,729"
A348370,엔켐,12,2020,Annual,54.06,,"118,238,788","61,003,275",,"96,213,313",,"32,126,415","61,003,275","137,185,577","61,003,275",12.71,0.08,84.17,35.09,"13,678,822"
A348370,엔켐,12,2021,Annual,84.67,,"164,962,918","129,425,673",,"126,817,128",,"77,131,442","129,425,673","141,102,798","129,425,673",6.29,0.04,32.66,45.85,"420,000"
A348370,엔켐,12,2022,Annual,90.02,,"127,446,925","134,591,598",,"104,991,244",,"2,553,109","134,591,598","163,340,507","134,591,598",3.90,0.03,67.73,47.37,"420,000"
