Symbol,Name,결산월,회계년,주기,현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),영업수익(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,,,15.96,,"-9,557,082","-49,720,077","65,039,634","99,849,156"
A247540,에코프로비엠,12,2017,Annual,20.84,26.19,11.18,30.20,"11,655,745","-47,708,995","44,072,777","289,870,411"
A247540,에코프로비엠,12,2018,Annual,24.47,35.24,10.07,43.03,"23,838,410","-72,968,000","44,910,346","589,185,698"
A247540,에코프로비엠,12,2019,Annual,21.79,32.09,10.33,23.98,"12,799,839","-182,264,929","180,062,636","616,085,055"
A247540,에코프로비엠,12,2020,Annual,27.81,41.86,9.88,20.75,"127,020,404","-106,832,350","-14,933,232","855,210,355"
A247540,에코프로비엠,12,2021,Annual,29.77,47.63,10.04,29.74,"-82,410,351","-155,312,033","236,626,734","1,486,137,573"
A247540,에코프로비엠,12,2022,Annual,26.69,44.94,6.65,24.16,"-54,339,238","-411,494,377","720,208,602","3,415,313,943"
A086520,에코프로,12,2011,Annual,10.68,12.52,11.41,15.19,"1,395,568","-23,716,094","24,306,824","87,620,611"
A086520,에코프로,12,2012,Annual,10.74,11.94,13.15,14.31,"11,305,475","-5,562,789","-6,953,699","79,761,920"
A086520,에코프로,12,2013,Annual,4.73,5.34,7.85,6.28,"18,074,220","-24,229,531","5,437,951","59,580,666"
A086520,에코프로,12,2014,Annual,14.96,16.90,18.84,20.73,"14,411,629","-17,705,272","2,714,279","83,223,658"
A086520,에코프로,12,2015,Annual,13.87,16.09,14.72,17.70,"22,017,290","-32,968,361","14,220,929","107,266,374"
A086520,에코프로,12,2016,Annual,22.45,27.88,25.55,15.05,"11,457,638","-34,062,934","33,880,069","72,912,931"
A086520,에코프로,12,2017,Annual,21.01,30.05,25.59,6.87,"12,991,358","-23,893,184","3,902,424","40,605,615"
A086520,에코프로,12,2018,Annual,139.19,263.27,80.45,36.06,"-1,382,449","2,210,950","-5,003,131","83,086,320"
A086520,에코프로,12,2019,Annual,154.21,440.52,99.16,35.67,"8,101,643","-16,297,769","9,309,428","93,361,225"
A086520,에코프로,12,2020,Annual,17.33,36.39,301.10,9.41,"27,630,164","-71,632,015","86,273,804","6,989,472"
A086520,에코프로,12,2021,Annual,192.12,365.71,"2,228.18",109.45,"6,748,042","-36,197,260","134,580,886","17,364,372"
A086520,에코프로,12,2022,Annual,-32.38,-53.05,-62.92,-15.25,"96,188,210","-332,056,607","95,651,499","136,091,392"
A028300,HLB,12,2011,Annual,-10.12,-14.76,-6.41,-5.57,"-1,327,813","-592,848","2,725,321","18,856,657"
A028300,HLB,12,2012,Annual,-34.26,-50.18,-16.55,-11.93,"-1,666,561","1,138,337","-596,696","17,626,105"
A028300,HLB,12,2013,Annual,-50.46,-78.85,-31.36,-30.79,"-1,393,929","-3,233,883","4,773,924","19,971,392"
A028300,HLB,12,2014,Annual,-5.82,-8.06,-3.87,-7.90,"-3,770,262","-5,683,105","19,026,563","37,178,698"
A028300,HLB,12,2015,Annual,-19.13,-25.06,-14.72,-13.39,"4,390,421","-55,875,695","44,336,782","38,451,533"
A028300,HLB,12,2016,Annual,-19.78,-26.76,-15.95,-7.36,"849,037","2,627,938","1,041,605","30,089,605"
A028300,HLB,12,2017,Annual,-41.08,-51.99,-54.84,-18.82,"-4,772,722","-25,481,465","29,303,830","22,994,053"
A028300,HLB,12,2018,Annual,88.64,100.80,156.66,34.21,"-3,711,553","-67,920,048","78,416,777","27,271,379"
A028300,HLB,12,2019,Annual,-42.67,-45.38,-100.08,-10.06,"-9,631,630","-259,574,966","268,789,369","29,775,778"
A028300,HLB,12,2020,Annual,-77.63,-84.59,-104.81,-8.85,"-4,121,616","-204,877,563","349,669,773","48,730,105"
A028300,HLB,12,2021,Annual,-77.31,-87.29,-125.45,-6.19,"-7,179,813","-114,708,450","4,529,671","36,375,293"
A028300,HLB,12,2022,Annual,22.46,26.76,13.82,2.81,"32,933,254","-182,215,732","269,193,930","176,068,585"
A196170,알테오젠,12,2011,Annual,,,,,,,,
A196170,알테오젠,12,2012,Annual,,,37.03,,"1,230,719","-1,302,577","184,937","3,959,774"
A196170,알테오젠,12,2013,Annual,76.79,134.61,29.82,33.79,"1,995,140","-2,628,715","292,955","5,527,341"
A196170,알테오젠,12,2014,Annual,44.04,95.27,14.41,4.77,"2,053,927","-20,964,237","27,289,319","6,892,300"
A196170,알테오젠,12,2015,Annual,92.22,363.04,29.55,3.70,"2,165,856","-4,086,860","133,667","4,628,878"
A196170,알테오젠,12,2016,Annual,-249.88,,-125.48,-7.01,"-3,137,515","-5,379,780","9,478,011","2,334,238"
A196170,알테오젠,12,2017,Annual,-457.22,,-299.54,-17.44,"-4,390,872","-196,168","1,666,399","2,469,485"
A196170,알테오젠,12,2018,Annual,-430.16,,-452.15,-11.12,"-8,189,048","-21,783,161","32,615,437","1,298,358"
A196170,알테오젠,12,2019,Annual,52.62,"5,804.81",18.59,3.61,"12,238,958","-19,702,757","2,807,847","13,322,561"
A196170,알테오젠,12,2020,Annual,-31.74,-42.43,-36.33,-14.12,"7,028,223","-36,868,697","32,269,394","26,211,819"
A196170,알테오젠,12,2021,Annual,25.55,30.36,80.96,10.35,"-1,299,934","-70,747,608","75,392,620","13,853,563"
A196170,알테오젠,12,2022,Annual,17.38,26.64,44.48,2.36,"-11,795,217","42,743,232","2,054,490","8,749,919"
A348370,엔켐,12,2011,Annual,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,
A348370,엔켐,12,2013,Annual,,,-34.42,,"-843,623","-710,533","7,895,540","2,048,729"
A348370,엔켐,12,2014,Annual,-3.68,-4.06,-6.17,-15.39,"-995,538","-1,221,327","-14,490","4,981,346"
A348370,엔켐,12,2015,Annual,6.94,7.97,6.83,12.84,"-1,154,864","-2,530,132","-343,457","6,616,003"
A348370,엔켐,12,2016,Annual,17.92,27.68,5.45,10.65,"-3,110,813","-4,786,240","10,346,604","20,695,242"
A348370,엔켐,12,2017,Annual,8.94,15.62,3.77,4.56,"1,032,045","-5,208,313","6,848,285","22,095,964"
A348370,엔켐,12,2018,Annual,N/A(IFRS),N/A(IFRS),-1.76,N/A(IFRS),"-2,401,080","-13,160,855","17,171,603","36,860,147"
A348370,엔켐,12,2019,Annual,1.87,2.47,1.69,11.51,"-12,733,378","-15,887,744","52,310,355","87,958,351"
A348370,엔켐,12,2020,Annual,0.40,0.65,0.24,0.43,"18,023,097","-49,007,320","32,528,312","137,185,577"
A348370,엔켐,12,2021,Annual,-16.29,-31.15,-14.14,-11.99,"-110,018,227","-73,878,779","228,905,503","141,102,798"
A348370,엔켐,12,2022,Annual,15.16,24.71,20.49,13.30,"-42,671,961","-172,640,435","140,747,966","163,340,507"
A058470,리노공업,12,2011,Annual,292.41,,34.53,23.24,"19,545,865","-1,888,706","-6,417,840","66,049,988"
A058470,리노공업,12,2012,Annual,343.71,,37.90,25.22,"27,027,764","-18,969,656","-7,220,070","75,222,218"
A058470,리노공업,12,2013,Annual,349.93,,37.27,23.03,"25,382,495","-18,539,102","-8,046,028","80,639,505"
A058470,리노공업,12,2014,Annual,382.96,,38.45,24.29,"38,719,784","-24,956,608","-13,204,702","93,421,913"
A058470,리노공업,12,2015,Annual,373.96,,38.55,22.93,"29,289,354","-19,073,616","-10,760,129","99,475,355"
A058470,리노공업,12,2016,Annual,323.43,,37.26,22.17,"41,570,377","-2,562,210","-12,086,336","112,788,734"
A058470,리노공업,12,2017,Annual,278.70,,33.81,22.31,"35,086,830","-10,021,985","-13,597,128","141,510,913"
A058470,리노공업,12,2018,Annual,298.43,,38.02,23.30,"57,652,430","-58,437,576","-15,107,920","150,354,373"
A058470,리노공업,12,2019,Annual,270.07,"48,150.19",35.93,21.74,"45,356,654","-40,712,112","-16,772,678","170,307,405"
A058470,리노공업,12,2020,Annual,263.57,"30,069.40",32.55,20.56,"99,804,059","-7,673,859","-18,343,883","201,335,459"
A058470,리노공업,12,2021,Annual,318.81,"53,037.39",41.45,30.76,"130,580,738","-131,720,028","-22,902,219","280,166,833"
A058470,리노공업,12,2022,Annual,295.30,"51,532.03",39.83,28.20,"108,593,008","-117,259,026","-38,069,068","322,422,803"
A068760,셀트리온제약,12,2011,Annual,4.88,10.42,8.19,2.77,"-6,433,927","3,080,247","3,097,997","42,273,147"
A068760,셀트리온제약,12,2012,Annual,3.79,8.00,11.06,3.49,"-5,541,001","-66,961,567","74,117,204","44,707,596"
A068760,셀트리온제약,12,2013,Annual,1.92,2.59,7.04,2.18,"-64,389,036","-34,251,047","105,725,931","50,083,248"
A068760,셀트리온제약,12,2014,Annual,3.72,4.12,11.26,3.82,"18,344,095","-45,046,207","19,156,238","64,708,354"
A068760,셀트리온제약,12,2015,Annual,-4.77,-5.35,-14.17,-5.09,"-5,084,662","-49,029,492","60,526,728","72,578,429"
A068760,셀트리온제약,12,2016,Annual,-4.54,-5.11,-8.92,-3.89,"-26,791,295","2,340,842","24,321,703","101,569,415"
A068760,셀트리온제약,12,2017,Annual,8.68,10.54,11.51,5.26,"-5,027,741","-1,090,519","1,161,873","129,529,518"
A068760,셀트리온제약,12,2018,Annual,1.32,1.63,1.70,0.85,"13,517,468","-7,239,707","-3,508,907","139,470,824"
A068760,셀트리온제약,12,2019,Annual,12.08,14.59,13.05,8.23,"28,417,935","-32,592,861","8,256,865","172,682,727"
A068760,셀트리온제약,12,2020,Annual,15.70,19.39,14.73,11.85,"36,246,251","-44,880,323","23,621,487","233,568,478"
A068760,셀트리온제약,12,2021,Annual,18.41,27.25,12.78,16.11,"93,151,164","-16,303,963","-22,410,210","398,738,209"
A068760,셀트리온제약,12,2022,Annual,15.81,25.39,11.24,12.60,"-4,045,950","-14,565,992","-30,181,023","386,039,613"
A403870,HPSP,12,2011,Annual,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,
