Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,,,"99,849,156","25,039,163",,"99,849,156","47,626,075",,,,"229,244,164","81,978,326"
A247540,에코프로비엠,12,2017,Annual,1.10,,"289,870,411",0,,"289,870,411","63,007,222",1.86,2.70,37.40,"296,290,922","245,197,734"
A247540,에코프로비엠,12,2018,Annual,1.55,,"589,185,698","49,271,859",,"589,185,698","138,721,495",2.43,4.27,74.23,"464,451,920","509,610,875"
A247540,에코프로비엠,12,2019,Annual,1.11,,"616,085,055","56,895,445",,"616,085,055","158,862,987",2.11,2.32,66.95,"650,356,539","542,997,888"
A247540,에코프로비엠,12,2020,Annual,1.20,,"855,210,355","79,231,049",,"855,210,355","156,816,260",2.81,2.10,82.25,"771,964,588","749,175,488"
A247540,에코프로비엠,12,2021,Annual,1.48,,"1,486,137,573","244,620,270",,"1,486,137,573","317,097,075",2.97,2.96,135.24,"1,233,197,484","1,290,701,578"
A247540,에코프로비엠,12,2022,Annual,1.91,,"3,415,313,943","541,076,172",,"3,415,313,943","532,423,381",4.02,3.63,113.09,"2,347,571,591","3,034,655,277"
A086520,에코프로,12,2011,Annual,0.55,,"87,620,611","8,435,656",,"87,620,611","32,834,986",0.94,1.33,14.49,"170,454,318","74,547,399"
A086520,에코프로,12,2012,Annual,0.47,,"79,761,920","15,375,710",,"79,761,920","33,360,126",0.82,1.09,12.44,"171,426,314","66,225,089"
A086520,에코프로,12,2013,Annual,0.34,,"59,580,666","13,400,414",,"59,580,666","30,063,924",0.60,0.80,8.83,"175,365,197","49,010,896"
A086520,에코프로,12,2014,Annual,0.46,,"83,223,658","15,255,723",,"83,223,658","32,570,046",0.79,1.10,11.87,"185,490,076","64,567,440"
A086520,에코프로,12,2015,Annual,0.53,,"107,266,374","22,194,551",,"107,266,374","31,528,524",0.94,1.20,13.85,"220,544,004","89,163,970"
A086520,에코프로,12,2016,Annual,0.35,,"72,912,931","8,888,914",,"72,912,931","12,789,446",0.88,0.59,7.61,"192,987,651","59,789,015"
A086520,에코프로,12,2017,Annual,0.20,,"40,605,615","7,935,849",,"40,605,615","10,602,536",0.82,0.27,3.74,"208,573,214","31,668,158"
A086520,에코프로,12,2018,Annual,0.36,,"83,086,320","24,523,640",,"83,086,320","10,634,382",1.73,0.45,7.52,"258,245,476","59,316,153"
A086520,에코프로,12,2019,Annual,0.29,,"93,361,225","12,303,993",,"93,361,225","15,256,678",1.56,0.36,8.45,"380,935,613","63,268,499"
A086520,에코프로,12,2020,Annual,0.02,,"6,989,472","21,378,397",,"6,989,472","19,000,323",0.06,0.03,0.63,"309,445,648",0
A086520,에코프로,12,2021,Annual,0.03,,"17,364,372","4,942,330",,"17,364,372",0,0.09,0.05,1.51,"800,351,293",0
A086520,에코프로,12,2022,Annual,0.16,,"136,091,392","11,038,142",,"136,091,392",0,0.51,0.24,11.06,"851,616,530",0
A028300,HLB,12,2011,Annual,0.56,,"18,856,657","3,589,964",,"18,856,657","35,447",1.58,0.87,2.07,"34,276,192","15,069,954"
A028300,HLB,12,2012,Annual,0.53,,"17,626,105","4,404,092",,"17,626,105","82,885",2.07,0.72,1.71,"31,684,011","16,126,398"
A028300,HLB,12,2013,Annual,0.61,,"19,971,392","5,647,841",,"19,971,392","4,540,528",1.61,0.98,1.69,"33,834,772","18,348,635"
A028300,HLB,12,2014,Annual,0.87,,"37,178,698","7,967,347",,"37,178,698","7,673,624",1.50,2.04,2.82,"51,958,212","31,214,556"
A028300,HLB,12,2015,Annual,0.54,,"38,451,533","4,801,319",,"38,451,533","5,305,831",1.30,0.91,2.46,"91,733,815","32,431,195"
A028300,HLB,12,2016,Annual,0.34,,"30,089,605","2,926,942",,"30,089,605","3,854,580",1.24,0.46,1.71,"87,303,619","25,867,915"
A028300,HLB,12,2017,Annual,0.24,,"22,994,053","3,241,079",,"22,994,053","4,142,909",0.75,0.34,1.27,"108,126,937","20,815,764"
A028300,HLB,12,2018,Annual,0.16,,"27,271,379","5,846,179",,"27,271,379","3,055,621",0.57,0.22,1.44,"238,044,210","21,957,501"
A028300,HLB,12,2019,Annual,0.08,,"29,775,778","6,333,573",,"29,775,778","4,027,321",0.43,0.10,1.45,"494,080,693","26,705,502"
A028300,HLB,12,2020,Annual,0.08,,"48,730,105","11,185,700",,"48,730,105","4,086,441",0.74,0.08,2.04,"791,486,471","39,173,982"
A028300,HLB,12,2021,Annual,0.05,,"36,375,293","18,707,735",,"36,375,293","3,006,977",0.62,0.05,0.91,"802,223,373","27,204,871"
A028300,HLB,12,2022,Annual,0.18,,"176,068,585","14,687,242",,"176,068,585","9,999,659",1.63,0.20,3.16,"1,147,904,780","110,634,363"
A196170,알테오젠,12,2011,Annual,,,,,,,,,,,,
A196170,알테오젠,12,2012,Annual,,,"3,959,774","1,113,637",,"3,959,774",0,,,,"5,718,873","541,693"
A196170,알테오젠,12,2013,Annual,0.79,,"5,527,341","1,457,134",,"5,527,341",0,2.57,1.13,6.21,"8,330,921","1,751,680"
A196170,알테오젠,12,2014,Annual,0.30,,"6,892,300","687,404",,"6,892,300",0,3.06,0.33,3.34,"37,768,174","3,166,893"
A196170,알테오젠,12,2015,Annual,0.12,,"4,628,878",0,,"4,628,878",0,3.12,0.13,1.61,"39,141,975","1,266,965"
A196170,알테오젠,12,2016,Annual,0.05,,"2,334,238","373,598",,"2,334,238",0,1.99,0.06,0.77,"46,805,862","2,035,241"
A196170,알테오젠,12,2017,Annual,0.06,,"2,469,485",0,,"2,469,485",0,1.53,0.06,0.52,"41,274,016","2,176,607"
A196170,알테오젠,12,2018,Annual,0.02,,"1,298,358","42,488",,"1,298,358",0,0.95,0.02,0.20,"67,081,671","247,335"
A196170,알테오젠,12,2019,Annual,0.18,,"13,322,561",0,,"13,322,561",0,2.83,0.19,1.93,"79,536,561","3,037,786"
A196170,알테오젠,12,2020,Annual,0.27,,"26,211,819","509,205",,"26,211,819",0,0.87,0.39,2.50,"115,366,181","8,656,750"
A196170,알테오젠,12,2021,Annual,0.09,,"13,853,563",0,,"13,853,563",0,0.32,0.13,0.78,"189,075,060","9,300,301"
A196170,알테오젠,12,2022,Annual,0.05,,"8,749,919","6,719,231",,"8,749,919",0,0.39,0.05,0.37,"185,844,390","5,493,546"
A348370,엔켐,12,2011,Annual,,,,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,,,,
A348370,엔켐,12,2013,Annual,,,"2,048,729","484,947",,"2,048,729","860,843",,,,"10,589,578","2,338,167"
A348370,엔켐,12,2014,Annual,0.48,,"4,981,346","1,374,344",,"4,981,346","993,528",0.60,2.49,3.76,"10,116,991","4,855,075"
A348370,엔켐,12,2015,Annual,0.66,,"6,616,003","1,961,468",,"6,616,003","2,119,049",1.02,1.88,4.45,"9,927,740","5,831,461"
A348370,엔켐,12,2016,Annual,1.23,,"20,695,242","3,585,407",,"20,695,242","6,560,099",3.29,1.96,10.21,"23,818,712","18,381,587"
A348370,엔켐,12,2017,Annual,0.80,,"22,095,964","3,342,147",,"22,095,964","6,894,028",2.37,1.21,8.68,"31,299,735","19,302,924"
A348370,엔켐,12,2018,Annual,N/A(IFRS),,"36,860,147","7,350,831",,"36,860,147","12,338,962",N/A(IFRS),N/A(IFRS),N/A(IFRS),"57,440,559","31,025,080"
A348370,엔켐,12,2019,Annual,0.95,,"87,958,351","26,287,700",,"87,958,351","24,002,541",1.11,6.82,47.55,"126,941,467","69,574,689"
A348370,엔켐,12,2020,Annual,0.88,,"137,185,577","40,301,029",,"137,185,577","22,025,475",1.70,1.81,31.90,"185,718,022","112,513,692"
A348370,엔켐,12,2021,Annual,0.49,,"141,102,798","17,448,370",,"141,102,798","38,145,790",1.15,0.85,20.87,"392,010,157","156,118,473"
A348370,엔켐,12,2022,Annual,0.35,,"163,340,507","53,906,228",,"163,340,507","22,455,681",0.74,0.65,21.07,"552,690,319","139,353,082"
A058470,리노공업,12,2011,Annual,0.62,,"66,049,988","11,071,199",,"66,049,988","2,810,367",8.47,0.67,16.47,"112,267,695","36,704,497"
A058470,리노공업,12,2012,Annual,0.62,,"75,222,218","12,863,660",,"75,222,218","2,856,314",9.07,0.67,18.75,"130,333,629","40,811,073"
A058470,리노공업,12,2013,Annual,0.58,,"80,639,505","13,544,143",,"80,639,505","3,981,318",9.39,0.62,13.86,"147,878,926","43,843,381"
A058470,리노공업,12,2014,Annual,0.59,,"93,421,913","15,852,810",,"93,421,913","4,540,765",9.96,0.63,12.26,"166,577,596","51,138,162"
A058470,리노공업,12,2015,Annual,0.56,,"99,475,355","14,247,682",,"99,475,355","4,600,574",9.70,0.59,13.05,"188,340,682","53,890,367"
A058470,리노공업,12,2016,Annual,0.56,,"112,788,734","17,047,901",,"112,788,734","5,565,005",8.68,0.60,14.80,"216,718,692","63,758,360"
A058470,리노공업,12,2017,Annual,0.61,,"141,510,913","23,889,621",,"141,510,913","7,954,992",8.24,0.66,18.57,"246,483,656","81,881,083"
A058470,리노공업,12,2018,Annual,0.57,,"150,354,373","27,108,745",,"150,354,373","9,434,984",7.85,0.61,19.73,"282,621,920","82,354,588"
A058470,리노공업,12,2019,Annual,0.56,,"170,307,405","42,352,717",,"170,307,405","11,123,165",7.52,0.60,22.35,"325,715,904","96,152,845"
A058470,리노공업,12,2020,Annual,0.59,,"201,335,459","29,113,650",,"201,335,459","12,348,852",8.10,0.63,26.42,"361,533,315","112,557,858"
A058470,리노공업,12,2021,Annual,0.68,,"280,166,833","35,370,079",,"280,166,833","11,596,904",7.69,0.74,36.76,"466,371,034","148,928,526"
A058470,리노공업,12,2022,Annual,0.65,,"322,422,803","39,326,047",,"322,422,803","13,111,076",7.41,0.71,42.31,"531,488,129","167,794,521"
A068760,셀트리온제약,12,2011,Annual,0.22,,"42,273,147","25,838,195",,"42,273,147","49,001,378",0.60,0.34,6.88,"214,249,767","12,110,968"
