Symbol,Name,결산월,회계년,주기,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익(천원),영업비용(천원),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,17.90,9.40,6.87,,"99,849,156","90,466,200",6.12,,
A247540,에코프로비엠,12,2017,Annual,15.41,7.69,5.23,287.65,"289,870,411","267,577,723",5.25,196.46,195.61
A247540,에코프로비엠,12,2018,Annual,13.51,8.53,6.26,633.49,"589,185,698","538,902,105",7.28,540.34,464.33
A247540,에코프로비엠,12,2019,Annual,11.86,6.02,5.60,402.95,"616,085,055","579,007,505",4.60,308.01,374.73
A247540,에코프로비엠,12,2020,Annual,12.40,6.55,5.57,538.43,"855,210,355","799,225,424",5.70,468.50,458.30
A247540,에코프로비엠,12,2021,Annual,13.15,8.56,7.18,"1,158.16","1,486,137,573","1,358,871,842",8.51,"1,151.24",971.42
A247540,에코프로비엠,12,2022,Annual,11.15,7.69,5.13,869.63,"3,415,313,943","3,152,681,802",6.13,692.99,580.31
A086520,에코프로,12,2011,Annual,14.92,5.28,0.90,76.52,"87,620,611","82,994,022",0.43,6.16,13.00
A086520,에코프로,12,2012,Annual,16.97,7.01,0.80,87.14,"79,761,920","74,174,247",0.68,8.51,9.99
A086520,에코프로,12,2013,Annual,17.74,2.19,-13.43,19.35,"59,580,666","58,275,740",-9.50,-83.91,-118.65
A086520,에코프로,12,2014,Annual,22.42,8.67,1.80,102.97,"83,223,658","76,004,413",0.53,6.26,21.34
A086520,에코프로,12,2015,Annual,16.88,5.42,0.18,75.03,"107,266,374","101,454,357",-0.56,-7.82,2.45
A086520,에코프로,12,2016,Annual,18.00,0.99,12.45,7.51,"72,912,931","72,193,087",14.05,106.92,94.76
A086520,에코프로,12,2017,Annual,22.01,1.20,12.21,4.49,"40,605,615","40,118,165",16.62,62.12,45.65
A086520,에코프로,12,2018,Annual,28.61,13.03,74.21,97.99,"83,086,320","72,263,074",78.20,588.25,558.27
A086520,에코프로,12,2019,Annual,32.23,7.35,93.66,62.12,"93,361,225","86,500,403",88.39,747.13,791.72
A086520,에코프로,12,2020,Annual,100.00,-35.50,224.86,-22.47,"6,989,472","9,471,000",81.88,51.81,142.29
A086520,에코프로,12,2021,Annual,100.00,23.97,"2,217.02",36.14,"17,364,372","13,202,746",-763.96,"-1,151.89","3,342.80"
A086520,에코프로,12,2022,Annual,100.00,84.33,-63.31,932.46,"136,091,392","21,321,997",-67.22,-743.22,-700.04
A028300,HLB,12,2011,Annual,20.08,3.23,-7.59,6.70,"18,856,657","18,247,057",-9.76,-20.23,-15.73
A028300,HLB,12,2012,Annual,8.51,-9.18,-18.37,-15.71,"17,626,105","19,244,962",-18.37,-31.43,-31.42
A028300,HLB,12,2013,Annual,8.13,-23.29,-41.60,-39.37,"19,971,392","24,623,426",-37.45,-63.30,-70.32
A028300,HLB,12,2014,Annual,16.04,2.16,-8.67,6.09,"37,178,698","36,374,844",-4.77,-13.43,-24.41
A028300,HLB,12,2015,Annual,15.66,-6.63,-19.13,-16.35,"38,451,533","41,002,127",-19.13,-47.14,-47.14
A028300,HLB,12,2016,Annual,14.03,-15.42,-21.01,-26.43,"30,089,605","34,730,156",-21.01,-36.01,-36.01
A028300,HLB,12,2017,Annual,9.47,-29.47,-61.36,-37.50,"22,994,053","29,769,573",-61.36,-78.09,-78.09
A028300,HLB,12,2018,Annual,19.49,6.07,153.62,8.76,"27,271,379","25,616,909",153.62,221.77,221.77
A028300,HLB,12,2019,Annual,10.31,-16.59,-104.88,-24.12,"29,775,778","34,715,219",-104.88,-152.49,-152.49
A028300,HLB,12,2020,Annual,19.61,-20.33,-123.26,-41.39,"48,730,105","58,636,044",-123.26,-250.99,-250.99
A028300,HLB,12,2021,Annual,25.21,-39.73,-150.48,-36.22,"36,375,293","50,827,589",-150.48,-137.18,-137.18
A028300,HLB,12,2022,Annual,37.16,21.58,5.86,68.14,"176,068,585","138,065,069",11.65,36.76,18.51
A196170,알테오젠,12,2011,Annual,,,,,,,,,
A196170,알테오젠,12,2012,Annual,86.32,41.92,36.21,,"3,959,774","2,299,642",36.57,,
A196170,알테오젠,12,2013,Annual,68.31,27.33,27.53,169.75,"5,527,341","4,016,598",27.63,171.60,170.97
A196170,알테오젠,12,2014,Annual,54.05,8.90,11.99,29.69,"6,892,300","6,278,836",9.48,31.61,40.01
A196170,알테오젠,12,2015,Annual,72.63,1.81,24.93,2.92,"4,628,878","4,545,047",21.41,34.52,40.20
A196170,알테오젠,12,2016,Annual,12.81,-230.64,-140.38,-177.18,"2,334,238","7,717,977",-189.30,-145.41,-107.84
A196170,알테오젠,12,2017,Annual,11.86,-255.73,-316.38,-133.94,"2,469,485","8,784,598",-303.46,-158.94,-165.70
A196170,알테오젠,12,2018,Annual,80.95,-542.45,-489.71,-106.94,"1,298,358","8,341,352",-411.55,-81.13,-96.54
A196170,알테오젠,12,2019,Annual,77.20,6.84,13.17,13.20,"13,322,561","12,410,981",13.31,25.67,25.39
A196170,알테오젠,12,2020,Annual,66.97,20.96,-41.14,52.34,"26,211,819","20,718,790",-39.19,-97.88,-102.76
A196170,알테오젠,12,2021,Annual,32.87,-59.90,71.28,-46.67,"13,853,563","22,152,125",76.42,59.55,55.54
A196170,알테오젠,12,2022,Annual,37.22,-245.38,24.17,-89.97,"8,749,919","30,220,817",24.17,8.86,8.86
A348370,엔켐,12,2011,Annual,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,
A348370,엔켐,12,2013,Annual,-14.13,-34.91,-44.61,,"2,048,729","2,763,934",-44.61,,
A348370,엔켐,12,2014,Annual,2.53,-7.15,-11.69,-26.89,"4,981,346","5,337,576",-11.69,-43.97,-43.97
A348370,엔켐,12,2015,Annual,11.86,3.31,1.82,14.73,"6,616,003","6,396,950",1.82,8.09,8.09
A348370,엔켐,12,2016,Annual,11.18,4.32,3.64,44.06,"20,695,242","19,801,707",3.64,37.11,37.11
A348370,엔켐,12,2017,Annual,12.64,3.50,1.72,30.38,"22,095,964","21,322,837",1.72,14.97,14.97
A348370,엔켐,12,2018,Annual,15.83,7.32,-5.40,N/A(IFRS),"36,860,147","34,161,484",-5.63,N/A(IFRS),N/A(IFRS)
A348370,엔켐,12,2019,Annual,20.90,14.72,-0.52,700.02,"87,958,351","75,008,905",-0.56,-26.40,-24.69
A348370,엔켐,12,2020,Annual,17.98,10.69,-1.70,340.97,"137,185,577","122,521,981",-1.53,-48.76,-54.34
A348370,엔켐,12,2021,Annual,-10.64,-20.05,-16.30,-418.40,"141,102,798","169,395,694",-23.48,-489.96,-340.22
A348370,엔켐,12,2022,Annual,14.69,1.05,18.56,22.16,"163,340,507","161,622,594",18.13,382.06,391.04
A058470,리노공업,12,2011,Annual,44.43,35.48,29.17,584.19,"66,049,988","42,617,393",36.46,600.38,480.29
A058470,리노공업,12,2012,Annual,45.75,36.88,33.05,691.55,"75,222,218","47,482,984",40.90,766.99,619.82
A058470,리노공업,12,2013,Annual,45.63,35.75,32.47,495.68,"80,639,505","51,810,015",40.11,556.06,450.14
A058470,리노공업,12,2014,Annual,45.26,35.02,33.04,429.31,"93,421,913","60,703,598",41.15,504.48,405.01
A058470,리노공업,12,2015,Annual,45.83,36.20,32.80,472.50,"99,475,355","63,465,424",40.87,533.47,428.18
A058470,리노공업,12,2016,Annual,43.47,34.86,31.38,515.88,"112,788,734","73,472,514",40.72,602.57,464.45
A058470,리노공업,12,2017,Annual,42.14,34.74,28.52,645.00,"141,510,913","92,353,913",36.68,681.13,529.61
A058470,리노공업,12,2018,Annual,45.23,38.27,32.35,755.06,"150,354,373","92,810,004",41.98,828.29,638.25
A058470,리노공업,12,2019,Annual,43.54,37.66,31.00,841.62,"170,307,405","106,165,775",41.66,931.02,692.68
A058470,리노공업,12,2020,Annual,44.09,38.68,27.51,"1,021.91","201,335,459","123,453,706",36.53,965.10,726.64
A058470,리노공업,12,2021,Annual,46.84,41.80,37.05,"1,536.56","280,166,833","163,062,480",49.58,"1,822.46","1,362.07"
A058470,리노공업,12,2022,Annual,47.96,42.38,35.47,"1,792.83","322,422,803","185,788,073",47.79,"2,021.67","1,500.60"
A068760,셀트리온제약,12,2011,Annual,71.35,11.83,5.68,81.38,"42,273,147","37,271,727",6.56,45.11,39.07
A068760,셀트리온제약,12,2012,Annual,69.84,11.37,8.80,76.94,"44,707,596","39,623,824",7.44,50.37,59.58
A068760,셀트리온제약,12,2013,Annual,69.28,14.89,5.28,104.53,"50,083,248","42,626,325",7.09,49.80,37.05
A068760,셀트리온제약,12,2014,Annual,66.12,13.54,9.69,105.26,"64,708,354","55,949,561",9.73,75.62,75.35
A068760,셀트리온제약,12,2015,Annual,65.88,-17.51,-20.05,-127.87,"72,578,429","85,284,616",-27.65,-201.95,-146.46
A068760,셀트리온제약,12,2016,Annual,40.24,-14.68,-20.69,-113.55,"101,569,415","116,476,489",-23.01,-178.01,-160.08
A068760,셀트리온제약,12,2017,Annual,44.36,6.74,2.15,53.71,"129,529,518","120,801,956",1.94,15.49,17.10
A068760,셀트리온제약,12,2018,Annual,28.42,2.62,-7.34,21.69,"139,470,824","135,815,539",-5.10,-42.22,-60.75
A068760,셀트리온제약,12,2019,Annual,36.35,9.08,5.52,92.04,"172,682,727","157,000,685",5.81,58.89,55.91
A068760,셀트리온제약,12,2020,Annual,31.32,10.12,8.97,135.22,"233,568,478","209,938,915",8.62,115.18,119.83
A068760,셀트리온제약,12,2021,Annual,29.91,11.99,8.67,264.22,"398,738,209","350,940,317",10.66,235.06,191.14
A068760,셀트리온제약,12,2022,Annual,29.21,9.89,6.72,205.62,"386,039,613","347,870,030",7.89,164.13,139.85
A403870,HPSP,12,2011,Annual,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,
A403870,HPSP,12,2017,Annual,65.45,48.43,36.43,,"28,203,402","14,544,837",47.25,,
