Symbol,Name,결산월,회계년,주기,매출채권(천원),매출액(천원),매출원가(천원),유동자산(천원),유형자산(천원),총자산(천원),재고자산(천원),당기순이익(천원),판매비와관리비(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A005930,삼성전자,12,2011,Annual,"15,216,204,000","120,815,977,000","90,406,166,000","39,496,344,000","43,032,531,000","117,599,849,000","5,451,432,000","10,048,192,000","20,651,728,000","26,969,912,000","2,173,031,000","17,266,913,000","9,758,083,000","9,307,690,000"
A005930,삼성전자,12,2012,Annual,"17,296,647,000","141,206,377,000","99,431,997,000","43,952,271,000","39,808,935,000","133,264,055,000","5,326,417,000","17,398,530,000","23,263,944,000","24,770,263,000","2,605,923,000","23,065,604,000","18,510,436,000","9,191,294,000"
A005930,삼성전자,12,2013,Annual,"17,748,978,000","158,372,089,000","110,731,528,000","60,603,694,000","41,439,372,000","154,825,957,000","5,880,463,000","17,929,520,000","25,833,556,000","27,597,944,000","4,857,246,000","28,443,058,000","21,807,005,000","9,443,569,000"
A005930,삼성전자,12,2014,Annual,"18,940,786,000","137,825,547,000","99,188,713,000","62,054,773,000","43,744,259,000","164,060,583,000","5,553,834,000","14,591,781,000","24,711,840,000","28,208,638,000","3,174,870,000","18,653,817,000","13,924,994,000","10,110,890,000"
A005930,삼성전자,12,2015,Annual,"20,251,464,000","135,205,045,000","99,659,336,000","67,002,055,000","45,148,629,000","168,969,630,000","6,578,112,000","12,238,469,000","22,147,494,000","29,630,488,000","2,910,887,000","19,287,521,000","13,398,215,000","11,090,286,000"
A005930,삼성전자,12,2016,Annual,"23,514,012,000","133,947,204,000","97,290,644,000","69,981,128,000","47,228,830,000","174,802,959,000","5,981,634,000","11,579,749,000","23,009,124,000","34,076,122,000","3,180,075,000","23,984,804,000","13,647,436,000","11,091,977,000"
A005930,삼성전자,12,2017,Annual,"27,881,777,000","161,915,007,000","101,399,657,000","70,155,189,000","62,816,961,000","198,241,360,000","7,837,144,000","28,800,837,000","25,658,259,000","44,495,084,000","2,176,501,000","38,906,190,000","34,857,091,000","11,585,701,000"
A005930,삼성전자,12,2018,Annual,"24,933,267,000","170,381,870,000","101,666,506,000","80,039,455,000","70,602,493,000","219,021,357,000","12,440,951,000","32,815,127,000","25,015,913,000","43,145,053,000","2,888,179,000","44,341,217,000","43,699,451,000","14,695,361,000"
A005930,삼성전자,12,2019,Annual,"26,255,438,000","154,772,859,000","113,618,444,000","72,659,080,000","74,090,275,000","216,180,920,000","12,201,712,000","15,353,323,000","27,039,348,000","36,237,164,000","2,073,509,000","22,796,257,000","14,115,067,000","17,586,304,000"
A005930,삼성전자,12,2020,Annual,"24,736,740,000","166,311,191,000","116,753,419,000","73,798,549,000","86,166,924,000","229,664,427,000","13,831,372,000","15,615,018,000","29,038,798,000","44,412,904,000","1,934,799,000","37,509,025,000","20,518,974,000","18,740,755,000"
A005930,삼성전자,12,2021,Annual,"33,088,247,000","199,744,705,000","135,823,433,000","73,553,416,000","103,667,025,000","251,112,184,000","15,973,053,000","30,970,954,000","31,928,110,000","53,067,303,000","4,851,149,000","51,250,069,000","31,993,162,000","22,555,879,000"
A005930,삼성전자,12,2022,Annual,"20,503,223,000","211,867,483,000","152,589,393,000","59,062,658,000","123,266,986,000","260,083,750,000","27,990,007,000","25,418,778,000","33,958,761,000","46,086,047,000","4,581,512,000","44,788,749,000","25,319,329,000","26,917,007,000"
A000660,SK하이닉스,12,2011,Annual,"1,417,886,000","10,188,162,000","8,479,381,000","4,307,194,000","7,902,653,000","16,393,910,000","928,891,000","129,142,000","1,176,758,000","4,496,983,000","3,693,866,000","1,817,256,000","532,023,000","2,077,642,000"
A000660,SK하이닉스,12,2012,Annual,"1,622,659,000","10,001,783,000","8,947,795,000","4,695,907,000","8,944,484,000","18,203,484,000","1,199,485,000","-489,990,000","1,670,273,000","4,240,679,000","4,003,162,000","924,749,000","-616,285,000","2,247,260,000"
A000660,SK하이닉스,12,2013,Annual,"1,803,460,000","13,896,309,000","8,947,323,000","5,798,909,000","9,243,030,000","19,896,259,000","920,590,000","2,796,967,000","1,733,870,000","2,476,997,000","4,216,651,000","5,419,815,000","3,215,116,000","2,295,131,000"
A000660,SK하이닉스,12,2014,Annual,"3,540,213,000","16,893,716,000","9,502,113,000","8,641,074,000","10,862,530,000","25,348,900,000","1,217,282,000","3,771,761,000","2,344,250,000","4,812,528,000","2,861,708,000","5,100,398,000","5,047,353,000","2,577,503,000"
A000660,SK하이닉스,12,2015,Annual,"2,800,904,000","18,780,792,000","11,002,083,000","8,421,984,000","13,853,549,000","28,742,198,000","1,407,614,000","4,019,080,000","2,702,202,000","4,750,892,000","3,308,841,000","7,747,769,000","5,076,507,000","2,984,443,000"
A000660,SK하이닉스,12,2016,Annual,"2,896,443,000","16,733,111,000","10,847,469,000","7,933,301,000","16,071,281,000","31,399,093,000","1,698,723,000","2,655,022,000","2,873,223,000","4,351,661,000","3,955,919,000","4,787,499,000","3,012,419,000","3,527,030,000"
A000660,SK하이닉스,12,2017,Annual,"5,259,052,000","29,718,939,000","12,980,539,000","15,338,930,000","21,322,943,000","44,312,846,000","2,224,740,000","10,110,797,000","3,397,609,000","8,076,214,000","3,464,757,000","13,570,587,000","13,340,791,000","4,160,194,000"
A000660,SK하이닉스,12,2018,Annual,"6,436,794,000","40,324,651,000","15,704,210,000","15,897,819,000","29,842,654,000","60,980,608,000","3,721,521,000","15,407,086,000","4,041,363,000","11,681,290,000","3,638,425,000","21,313,383,000","20,579,078,000","5,522,293,000"
A000660,SK하이닉스,12,2019,Annual,"3,646,659,000","25,320,755,000","18,381,302,000","11,725,531,000","31,691,264,000","58,168,926,000","4,354,732,000","1,476,981,000","4,949,753,000","6,346,815,000","5,785,203,000","4,857,081,000","1,989,700,000","7,154,364,000"
A000660,SK하이닉스,12,2020,Annual,"4,185,100,000","30,524,987,000","20,753,412,000","13,310,241,000","31,607,910,000","64,071,005,000","4,980,384,000","4,217,841,000","5,225,698,000","7,488,366,000","7,008,335,000","10,890,209,000","4,545,877,000","7,726,231,000"
A000660,SK하이닉스,12,2021,Annual,"7,061,546,000","41,557,337,000","23,676,722,000","16,833,952,000","35,870,163,000","84,972,544,000","5,495,436,000","9,567,226,000","5,697,255,000","11,947,187,000","14,287,743,000","17,746,280,000","12,183,360,000","8,043,058,000"
A000660,SK하이닉스,12,2022,Annual,"3,766,707,000","37,878,699,000","24,072,129,000","17,511,130,000","43,151,324,000","91,800,233,000","10,345,744,000","2,790,457,000","6,145,623,000","14,790,337,000","16,847,074,000","12,556,088,000","7,660,947,000","8,924,292,000"
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,"1,547,136,000","632,954,000","482,826,000","4,188,435,000","1,528,296,000","12,342,717,000","949,749,000","-377,980,000","659,258,000","2,906,851,000","2,183,768,000","-61,803,000","-509,130,000","22,838,000"
A373220,LG에너지솔루션,12,2021,Annual,"1,309,544,000","8,387,463,000","5,978,109,000","3,993,939,000","1,878,942,000","13,709,636,000","1,087,690,000","-102,962,000","2,763,693,000","3,949,750,000","2,625,930,000","335,873,000","-354,339,000","274,116,000"
A373220,LG에너지솔루션,12,2022,Annual,"2,207,153,000","10,581,787,000","8,962,110,000","9,995,544,000","2,504,936,000","23,202,810,000","1,598,728,000","-528,127,000","2,296,187,000","4,608,095,000","1,800,143,000","-2,392,526,000","-676,510,000","359,629,000"
A207940,삼성바이오로직스,12,2011,Annual,0,0,0,"96,980,060","81,759,288","184,347,767",0,"-7,922,261","12,278,892","39,277,072","3,064,548","23,048,049","-12,278,892","147,517"
A207940,삼성바이오로직스,12,2012,Annual,0,0,0,"76,345,609","250,127,282","538,734,342","263,945","-34,950,450","39,711,874","73,273,317","5,306,338","-53,370,555","-39,711,874","1,259,529"
A207940,삼성바이오로직스,12,2013,Annual,"43,505","43,505","39,155","44,030,486","340,472,890","677,663,285","16,392,962","-62,418,552","64,884,259","128,995,008","79,462,454","-67,519,638","-64,879,908","7,248,021"
A207940,삼성바이오로직스,12,2014,Annual,"14,937,952","105,148,784","124,868,406","216,838,130","761,294,236","1,355,697,955","74,402,407","-99,688,402","99,821,564","236,793,886","488,171,822","-108,299,233","-119,541,186","26,349,697"
A207940,삼성바이오로직스,12,2015,Annual,"34,958,506","91,278,029","114,784,617","192,853,895","890,256,137","5,960,493,716","119,177,340","1,904,945,917","180,135,856","1,911,669,204","1,273,990,354","-265,513,752","-203,642,444","41,628,273"
A207940,삼성바이오로직스,12,2016,Annual,"66,461,789","294,622,021","268,088,358","1,461,425,176","1,090,959,766","7,533,016,106","164,219,980","-176,823,410","56,956,302","2,476,545,193","974,091,453","-62,661,298","-30,422,639","60,149,889"
A207940,삼성바이오로직스,12,2017,Annual,"18,518,786","464,629,334","332,829,273","620,995,135","1,513,332,618","7,183,091,163","209,986,717","-96,972,116","65,820,659","2,287,442,106","919,198,164","149,816,328","65,979,402","69,926,227"
A207940,삼성바이오로직스,12,2018,Annual,"112,555,870","535,805,801","390,645,859","1,577,683,716","1,717,720,988","5,980,408,648","302,360,715","224,109,195","89,481,197","710,529,787","1,114,410,410","-33,017,327","55,678,745","91,450,555"
A207940,삼성바이오로직스,12,2019,Annual,"181,123,111","701,591,860","509,584,425","1,356,261,664","1,702,792,524","3,824,369,556","452,469,927","49,637,661","100,265,047","690,505,243","396,122,609","10,153,615","91,742,387","132,885,103"
A207940,삼성바이오로직스,12,2020,Annual,0,"1,164,776,874","748,981,802","1,743,116,044","1,734,019,264","4,367,217,699","645,960,096","250,968,822","123,206,526","588,727,017","783,649,614","202,597,144","292,588,545","143,555,540"
A207940,삼성바이오로직스,12,2021,Annual,0,"1,568,006,928","842,115,489","2,814,680,165","2,202,972,181","5,903,411,709","1,012,870,791","423,177,019","189,396,770","1,106,401,004","1,381,738,894","451,808,983","536,494,669","160,227,198"
A207940,삼성바이오로직스,12,2022,Annual,0,"2,437,286,112","1,237,054,032","4,919,357,579","3,083,545,437","12,165,838,880","1,243,171,975","686,792,937","232,181,486","2,990,676,467","1,878,559,194","831,098,845","968,050,594","180,792,187"
A005380,현대차,12,2011,Annual,"4,469,652,000","42,774,077,000","31,945,571,000","17,249,883,000","12,524,580,000","50,236,010,000","1,832,025,000","4,740,886,000","6,144,093,000","11,919,397,000","5,794,979,000","6,470,652,000","4,684,413,000","1,557,975,000"
A005380,현대차,12,2012,Annual,"3,982,708,000","43,162,401,000","32,805,374,000","19,653,944,000","13,306,218,000","53,945,929,000","1,696,775,000","5,279,509,000","6,051,803,000","11,153,049,000","5,773,224,000","7,140,705,000","4,305,224,000","1,654,422,000"
A005380,현대차,12,2013,Annual,"3,177,486,000","41,691,171,000","31,964,124,000","21,284,518,000","13,983,358,000","57,714,177,000","2,162,418,000","5,181,546,000","6,006,039,000","10,423,536,000","5,634,703,000","6,394,874,000","3,721,008,000","1,619,759,000"
A005380,현대차,12,2014,Annual,"3,484,450,000","43,045,875,000","33,045,812,000","23,624,589,000","14,910,734,000","61,343,402,000","2,186,561,000","4,915,888,000","6,264,567,000","10,711,273,000","5,264,243,000","5,992,078,000","3,735,496,000","1,613,642,000"
A005380,현대차,12,2015,Annual,"3,668,054,000","44,439,694,000","33,393,861,000","22,098,375,000","20,922,177,000","66,978,224,000","2,253,083,000","5,435,872,000","6,778,577,000","12,173,086,000","5,402,092,000","7,608,673,000","4,267,256,000","1,779,580,000"
A005380,현대차,12,2016,Annual,"4,116,311,000","41,713,632,000","32,000,830,000","24,175,403,000","21,401,181,000","69,737,669,000","2,136,540,000","4,101,860,000","7,013,320,000","11,209,671,000","6,242,005,000","4,969,587,000","2,699,482,000","2,214,035,000"
