Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),영업이익(천원),당기순이익증가율,당기순이익(천원),총자본증가율,총자본(천원),유형자산(천원)
A005930,삼성전자,12,2011,Annual,7.63,-20.79,"9,758,083,000",,"10,048,192,000",,"88,456,906,000","43,032,531,000"
A005930,삼성전자,12,2012,Annual,16.88,89.69,"18,510,436,000",,"17,398,530,000",,"105,887,869,000","39,808,935,000"
A005930,삼성전자,12,2013,Annual,12.16,17.81,"21,807,005,000",,"17,929,520,000",,"122,370,767,000","41,439,372,000"
A005930,삼성전자,12,2014,Annual,-12.97,-36.14,"13,924,994,000",,"14,591,781,000",,"132,677,075,000","43,744,259,000"
A005930,삼성전자,12,2015,Annual,-1.90,-3.78,"13,398,215,000",,"12,238,469,000",,"136,428,255,000","45,148,629,000"
A005930,삼성전자,12,2016,Annual,-0.93,1.86,"13,647,436,000",,"11,579,749,000",,"137,546,762,000","47,228,830,000"
A005930,삼성전자,12,2017,Annual,20.88,155.41,"34,857,091,000",,"28,800,837,000",,"151,569,775,000","62,816,961,000"
A005930,삼성전자,12,2018,Annual,5.23,25.37,"43,699,451,000",,"32,815,127,000",,"172,988,125,000","70,602,493,000"
A005930,삼성전자,12,2019,Annual,-9.16,-67.70,"14,115,067,000",,"15,353,323,000",,"177,870,247,000","74,090,275,000"
A005930,삼성전자,12,2020,Annual,7.46,45.37,"20,518,974,000",,"15,615,018,000",,"183,316,724,000","86,166,924,000"
A005930,삼성전자,12,2021,Annual,20.10,55.92,"31,993,162,000",,"30,970,954,000",,"193,193,732,000","103,667,025,000"
A005930,삼성전자,12,2022,Annual,6.07,-20.86,"25,319,329,000",,"25,418,778,000",,"209,416,191,000","123,266,986,000"
A000660,SK하이닉스,12,2011,Annual,-14.91,-83.19,"532,023,000",,"129,142,000",,"8,203,061,000","7,902,653,000"
A000660,SK하이닉스,12,2012,Annual,-1.83,적전,"-616,285,000",,"-489,990,000",,"9,959,643,000","8,944,484,000"
A000660,SK하이닉스,12,2013,Annual,38.94,흑전,"3,215,116,000",,"2,796,967,000",,"13,202,611,000","9,243,030,000"
A000660,SK하이닉스,12,2014,Annual,21.57,56.99,"5,047,353,000",,"3,771,761,000",,"17,674,664,000","10,862,530,000"
A000660,SK하이닉스,12,2015,Annual,11.17,0.58,"5,076,507,000",,"4,019,080,000",,"20,682,465,000","13,853,549,000"
A000660,SK하이닉스,12,2016,Annual,-10.90,-40.66,"3,012,419,000",,"2,655,022,000",,"23,091,513,000","16,071,281,000"
A000660,SK하이닉스,12,2017,Annual,77.61,342.86,"13,340,791,000",,"10,110,797,000",,"32,771,875,000","21,322,943,000"
A000660,SK하이닉스,12,2018,Annual,35.69,54.26,"20,579,078,000",,"15,407,086,000",,"45,660,893,000","29,842,654,000"
