Symbol,Name,결산월,회계년,주기,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익(천원),영업비용(천원),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A005930,삼성전자,12,2011,Annual,25.17,8.08,8.32,"1,087.23","120,815,977,000","111,057,894,000",9.53,"1,283.35","1,119.56"
A005930,삼성전자,12,2012,Annual,29.58,13.11,12.32,"2,062.41","141,206,377,000","122,695,941,000",14.69,"2,311.70","1,938.52"
A005930,삼성전자,12,2013,Annual,30.08,13.77,11.32,"2,429.71","158,372,089,000","136,565,084,000",15.29,"2,698.26","1,997.69"
A005930,삼성전자,12,2014,Annual,28.03,10.10,10.59,"1,551.51","137,825,547,000","123,900,553,000",12.54,"1,925.39","1,625.80"
A005930,삼성전자,12,2015,Annual,26.29,9.91,9.05,"1,492.81","135,205,045,000","121,806,830,000",10.62,"1,599.15","1,363.60"
A005930,삼성전자,12,2016,Annual,27.37,10.19,8.65,"1,520.58","133,947,204,000","120,299,768,000",10.99,"1,640.65","1,290.20"
A005930,삼성전자,12,2017,Annual,37.37,21.53,17.79,"3,883.74","161,915,007,000","127,057,916,000",22.56,"4,070.53","3,208.96"
A005930,삼성전자,12,2018,Annual,40.33,25.65,19.26,"4,868.94","170,381,870,000","126,682,419,000",26.06,"4,946.87","3,656.22"
A005930,삼성전자,12,2019,Annual,26.59,9.12,9.92,"1,572.68","154,772,859,000","140,657,792,000",12.30,"2,120.58","1,710.65"
A005930,삼성전자,12,2020,Annual,29.80,12.34,9.39,"2,286.20","166,311,191,000","145,792,217,000",12.30,"2,278.73","1,739.81"
A005930,삼성전자,12,2021,Annual,32.00,16.02,15.51,"3,564.64","199,744,705,000","167,751,543,000",19.38,"4,312.41","3,450.75"
A005930,삼성전자,12,2022,Annual,27.98,11.95,12.00,"2,821.05","211,867,483,000","186,548,154,000",14.01,"3,308.24","2,832.13"
A000660,SK하이닉스,12,2011,Annual,16.77,5.22,1.27,17.89,"10,188,162,000","9,656,139,000",2.32,7.95,4.34
A000660,SK하이닉스,12,2012,Annual,10.54,-6.16,-4.90,-19.06,"10,001,783,000","10,618,068,000",-5.77,-17.84,-15.15
A000660,SK하이닉스,12,2013,Annual,35.61,23.14,20.13,91.12,"13,896,309,000","10,681,193,000",21.55,84.88,79.27
A000660,SK하이닉스,12,2014,Annual,43.75,29.88,22.33,139.69,"16,893,716,000","11,846,363,000",26.88,125.68,104.39
A000660,SK하이닉스,12,2015,Annual,41.42,27.03,21.40,138.79,"18,780,792,000","13,704,285,000",26.64,136.77,109.88
A000660,SK하이닉스,12,2016,Annual,35.17,18.00,15.87,82.36,"16,733,111,000","13,720,692,000",17.70,80.97,72.59
A000660,SK하이닉스,12,2017,Annual,56.32,44.89,34.02,364.74,"29,718,939,000","16,378,148,000",43.99,357.39,276.43
A000660,SK하이닉스,12,2018,Annual,61.06,51.03,38.21,562.63,"40,324,651,000","19,745,573,000",52.15,574.89,421.23
A000660,SK하이닉스,12,2019,Annual,27.41,7.86,5.83,54.40,"25,320,755,000","23,331,055,000",7.12,49.31,40.38
A000660,SK하이닉스,12,2020,Annual,32.01,14.89,13.82,124.28,"30,524,987,000","25,979,110,000",18.51,154.47,115.32
A000660,SK하이닉스,12,2021,Annual,43.03,29.32,23.02,333.09,"41,557,337,000","29,373,977,000",31.60,358.99,261.57
A000660,SK하이닉스,12,2022,Annual,36.45,20.22,7.37,209.45,"37,878,699,000","30,217,752,000",11.79,122.13,76.29
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,23.72,-80.44,-59.72,,"632,954,000","1,142,084,000",-83.76,,
A373220,LG에너지솔루션,12,2021,Annual,28.73,-4.22,-1.23,-354.34,"8,387,463,000","8,741,802,000",-2.76,-231.54,-102.96
A373220,LG에너지솔루션,12,2022,Annual,15.31,-6.39,-4.99,-623.51,"10,581,787,000","11,258,297,000",-6.46,-629.78,-486.75
A207940,삼성바이오로직스,12,2011,Annual,,,,,0,"12,278,892",,,
A207940,삼성바이오로직스,12,2012,Annual,,,,-119.68,0,"39,711,874",,-99.10,-105.33
