Symbol,Name,결산월,회계년,주기,부채비율(%),유동비율,유동자산(천원),유동부채(천원),당좌비율,당좌자산(천원),유동부채(천원),현금비율,현금및현금성자산(천원),유동부채(천원),유형자산구성비율(%),무형자산구성비율(%),판매비와관리비증가율(전년동기)(%),타인자본비율(%),매출액(천원),단기금융상품(천원)
A005930,삼성전자,12,2011,Annual,32.95,,"39,496,344,000","26,969,912,000",,"34,044,912,000","26,969,912,000",,"2,718,731,000","26,969,912,000",36.59,2.08,-5.92,24.78,"120,815,977,000","11,269,481,000"
A005930,삼성전자,12,2012,Annual,25.85,,"43,952,271,000","24,770,263,000",,"38,625,854,000","24,770,263,000",,"2,269,422,000","24,770,263,000",29.87,1.85,12.65,20.54,"141,206,377,000","13,400,572,000"
A005930,삼성전자,12,2013,Annual,26.52,,"60,603,694,000","27,597,944,000",,"54,723,231,000","27,597,944,000",,"2,030,307,000","27,597,944,000",26.77,1.61,11.05,20.96,"158,372,089,000","27,463,345,000"
A005930,삼성전자,12,2014,Annual,23.65,,"62,054,773,000","28,208,638,000",,"56,500,939,000","28,208,638,000",,"1,643,318,000","28,208,638,000",26.66,1.86,-4.34,19.13,"137,825,547,000","26,454,093,000"
A005930,삼성전자,12,2015,Annual,23.85,,"67,002,055,000","29,630,488,000",,"60,423,943,000","29,630,488,000",,"3,062,960,000","29,630,488,000",26.72,2.02,-10.38,19.26,"135,205,045,000","27,763,589,000"
A005930,삼성전자,12,2016,Annual,27.09,,"69,981,128,000","34,076,122,000",,"63,999,494,000","34,076,122,000",,"3,778,371,000","34,076,122,000",27.02,1.65,3.89,21.31,"133,947,204,000","30,170,656,000"
A005930,삼성전자,12,2017,Annual,30.79,,"70,155,189,000","44,495,084,000",,"62,318,045,000","44,495,084,000",,"2,763,768,000","44,495,084,000",31.69,1.43,11.51,23.54,"161,915,007,000","25,510,064,000"
A005930,삼성전자,12,2018,Annual,26.61,,"80,039,455,000","43,145,053,000",,"67,598,504,000","43,145,053,000",,"2,607,957,000","43,145,053,000",32.24,1.32,-2.50,21.02,"170,381,870,000","33,007,893,000"
A005930,삼성전자,12,2019,Annual,21.54,,"72,659,080,000","36,237,164,000",,"60,457,368,000","36,237,164,000",,"2,081,917,000","36,237,164,000",34.27,3.70,8.09,17.72,"154,772,859,000","26,501,392,000"
A005930,삼성전자,12,2020,Annual,25.28,,"73,798,549,000","44,412,904,000",,"59,967,177,000","44,412,904,000",,"989,045,000","44,412,904,000",37.52,3.05,7.39,20.18,"166,311,191,000","29,101,284,000"
A005930,삼성전자,12,2021,Annual,29.98,,"73,553,416,000","53,067,303,000",,"57,580,363,000","53,067,303,000",,"3,918,872,000","53,067,303,000",41.28,3.45,9.95,23.06,"199,744,705,000","15,000,576,000"
A005930,삼성전자,12,2022,Annual,24.19,,"59,062,658,000","46,086,047,000",,"31,072,651,000","46,086,047,000",,"3,921,593,000","46,086,047,000",47.40,3.29,6.36,19.48,"211,867,483,000","137,000"
A000660,SK하이닉스,12,2011,Annual,99.85,,"4,307,194,000","4,496,983,000",,"3,378,303,000","4,496,983,000",,"980,359,000","4,496,983,000",48.20,4.31,-10.91,49.96,"10,188,162,000","588,528,000"
A000660,SK하이닉스,12,2012,Annual,82.77,,"4,695,907,000","4,240,679,000",,"3,496,422,000","4,240,679,000",,"477,747,000","4,240,679,000",49.14,3.92,41.94,45.29,"10,001,783,000","1,074,661,000"
A000660,SK하이닉스,12,2013,Annual,50.70,,"5,798,909,000","2,476,997,000",,"4,878,319,000","2,476,997,000",,"371,204,000","2,476,997,000",46.46,4.12,3.81,33.64,"13,896,309,000","2,115,581,000"
A000660,SK하이닉스,12,2014,Annual,43.42,,"8,641,074,000","4,812,528,000",,"7,423,792,000","4,812,528,000",,"252,078,000","4,812,528,000",42.85,3.83,35.20,30.27,"16,893,716,000","3,172,173,000"
A000660,SK하이닉스,12,2015,Annual,38.97,,"8,421,984,000","4,750,892,000",,"7,014,370,000","4,750,892,000",,"1,014,939,000","4,750,892,000",48.20,4.52,15.27,28.04,"18,780,792,000","2,808,102,000"
A000660,SK하이닉스,12,2016,Annual,35.98,,"7,933,301,000","4,351,661,000",,"6,234,578,000","4,351,661,000",,"476,917,000","4,351,661,000",51.18,4.93,6.33,26.46,"16,733,111,000","2,487,942,000"
A000660,SK하이닉스,12,2017,Annual,35.22,,"15,338,930,000","8,076,214,000",,"13,114,190,000","8,076,214,000",,"2,270,036,000","8,076,214,000",48.12,4.33,18.25,26.04,"29,718,939,000","4,528,880,000"
A000660,SK하이닉스,12,2018,Annual,33.55,,"15,897,819,000","11,681,290,000",,"12,176,298,000","11,681,290,000",,"1,741,271,000","11,681,290,000",48.94,3.77,18.95,25.12,"40,324,651,000","477,500,000"
A000660,SK하이닉스,12,2019,Annual,26.35,,"11,725,531,000","6,346,815,000",,"7,370,799,000","6,346,815,000",,"1,672,492,000","6,346,815,000",54.48,3.69,22.48,20.86,"25,320,755,000","257,500,000"
A000660,SK하이닉스,12,2020,Annual,29.24,,"13,310,241,000","7,488,366,000",,"8,329,857,000","7,488,366,000",,"2,202,138,000","7,488,366,000",49.33,4.69,5.57,22.63,"30,524,987,000","307,500,000"
A000660,SK하이닉스,12,2021,Annual,44.66,,"16,833,952,000","11,947,187,000",,"11,338,516,000","11,947,187,000",,"1,608,456,000","11,947,187,000",42.21,3.53,9.02,30.87,"41,557,337,000","332,500,000"
A000660,SK하이닉스,12,2022,Annual,52.59,,"17,511,130,000","14,790,337,000",,"7,165,386,000","14,790,337,000",,"1,637,350,000","14,790,337,000",47.01,3.16,7.87,34.46,"37,878,699,000","272,500,000"
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,70.20,,"4,188,435,000","2,906,851,000",,"3,238,686,000","2,906,851,000",,"536,731,000","2,906,851,000",12.38,2.21,,41.24,"632,954,000","600,000,000"
A373220,LG에너지솔루션,12,2021,Annual,92.17,,"3,993,939,000","3,949,750,000",,"2,906,249,000","3,949,750,000",,"257,032,000","3,949,750,000",13.71,2.63,319.21,47.96,"8,387,463,000",0
A373220,LG에너지솔루션,12,2022,Annual,38.16,,"9,995,544,000","4,608,095,000",,"8,396,816,000","4,608,095,000",,"4,828,152,000","4,608,095,000",10.80,2.21,-16.92,27.62,"10,581,787,000",0
A207940,삼성바이오로직스,12,2011,Annual,29.82,,"96,980,060","39,277,072",,"96,980,060","39,277,072",,"3,935,211","39,277,072",44.35,0.53,,22.97,0,"90,000,000"
A207940,삼성바이오로직스,12,2012,Annual,17.08,,"76,345,609","73,273,317",,"76,081,663","73,273,317",,"57,792,180","73,273,317",46.43,0.87,223.42,14.59,0,"15,000,000"
A207940,삼성바이오로직스,12,2013,Annual,44.43,,"44,030,486","128,995,008",,"27,637,524","128,995,008",,"21,381,783","128,995,008",50.24,0.74,63.39,30.76,"43,505",0
A207940,삼성바이오로직스,12,2014,Annual,114.94,,"216,838,130","236,793,886",,"142,435,724","236,793,886",,"96,286,617","236,793,886",56.16,23.03,53.85,53.48,"105,148,784",0
A207940,삼성바이오로직스,12,2015,Annual,114.81,,"192,853,895","1,911,669,204",,"73,676,555","1,911,669,204",,"34,510,062","1,911,669,204",14.94,0.24,80.46,53.45,"91,278,029",0
A207940,삼성바이오로직스,12,2016,Annual,84.53,,"1,461,425,176","2,476,545,193",,"1,297,205,197","2,476,545,193",,"230,337,601","2,476,545,193",14.48,0.19,-68.38,45.81,"294,622,021","970,000,000"
A207940,삼성바이오로직스,12,2017,Annual,80.64,,"620,995,135","2,287,442,106",,"411,008,418","2,287,442,106",,"358,088,091","2,287,442,106",21.07,0.26,15.56,44.64,"464,629,334",0
A207940,삼성바이오로직스,12,2018,Annual,43.92,,"1,577,683,716","710,529,787",,"1,275,323,000","710,529,787",,"17,621,905","710,529,787",28.72,0.33,35.95,30.52,"535,805,801","550,000,000"
A207940,삼성바이오로직스,12,2019,Annual,39.69,,"1,356,261,664","690,505,243",,"903,791,737","690,505,243",,"125,100,653","690,505,243",44.52,0.57,12.05,28.41,"701,591,860","320,000,000"
A207940,삼성바이오로직스,12,2020,Annual,45.82,,"1,743,116,044","588,727,017",,"1,097,155,947","588,727,017",,"20,460,165","588,727,017",39.71,0.53,22.88,31.42,"1,164,776,874","300,000,000"
A207940,삼성바이오로직스,12,2021,Annual,72.85,,"2,814,680,165","1,106,401,004",,"1,801,809,374","1,106,401,004",,"39,169,916","1,106,401,004",37.32,0.54,53.72,42.15,"1,568,006,928","450,000,000"
A207940,삼성바이오로직스,12,2022,Annual,66.73,,"4,919,357,579","2,990,676,467",,"3,676,185,603","2,990,676,467",,"757,945,988","2,990,676,467",25.35,0.32,22.59,40.02,"2,437,286,112","2,168,901,000"
A005380,현대차,12,2011,Annual,54.47,,"17,249,883,000","11,919,397,000",,"15,417,858,000","11,919,397,000",,"1,510,820,000","11,919,397,000",24.93,4.13,9.85,35.26,"42,774,077,000","8,547,166,000"
