Symbol,Name,결산월,회계년,주기,총자산회전율(회),매출채권회전율,매출액(천원),매출채권(천원),재고자산회전율,매출액(천원),재고자산(천원),총부채회전율(회),총자본회전율(회),자본금회전율(회),총자산(천원),매출원가(천원)
A005930,삼성전자,12,2011,Annual,1.07,,"120,815,977,000","15,216,204,000",,"120,815,977,000","5,451,432,000",4.29,1.43,134.61,"117,599,849,000","90,406,166,000"
A005930,삼성전자,12,2012,Annual,1.13,,"141,206,377,000","17,296,647,000",,"141,206,377,000","5,326,417,000",5.00,1.45,157.33,"133,264,055,000","99,431,997,000"
A005930,삼성전자,12,2013,Annual,1.10,,"158,372,089,000","17,748,978,000",,"158,372,089,000","5,880,463,000",5.29,1.39,176.46,"154,825,957,000","110,731,528,000"
A005930,삼성전자,12,2014,Annual,0.86,,"137,825,547,000","18,940,786,000",,"137,825,547,000","5,553,834,000",4.32,1.08,153.56,"164,060,583,000","99,188,713,000"
A005930,삼성전자,12,2015,Annual,0.81,,"135,205,045,000","20,251,464,000",,"135,205,045,000","6,578,112,000",4.23,1.00,150.64,"168,969,630,000","99,659,336,000"
A005930,삼성전자,12,2016,Annual,0.78,,"133,947,204,000","23,514,012,000",,"133,947,204,000","5,981,634,000",3.84,0.98,149.24,"174,802,959,000","97,290,644,000"
A005930,삼성전자,12,2017,Annual,0.87,,"161,915,007,000","27,881,777,000",,"161,915,007,000","7,837,144,000",3.86,1.12,180.40,"198,241,360,000","101,399,657,000"
A005930,삼성전자,12,2018,Annual,0.82,,"170,381,870,000","24,933,267,000",,"170,381,870,000","12,440,951,000",3.68,1.05,189.84,"219,021,357,000","101,666,506,000"
A005930,삼성전자,12,2019,Annual,0.71,,"154,772,859,000","26,255,438,000",,"154,772,859,000","12,201,712,000",3.67,0.88,172.45,"216,180,920,000","113,618,444,000"
A005930,삼성전자,12,2020,Annual,0.75,,"166,311,191,000","24,736,740,000",,"166,311,191,000","13,831,372,000",3.93,0.92,185.30,"229,664,427,000","116,753,419,000"
A005930,삼성전자,12,2021,Annual,0.83,,"199,744,705,000","33,088,247,000",,"199,744,705,000","15,973,053,000",3.83,1.06,222.55,"251,112,184,000","135,823,433,000"
A005930,삼성전자,12,2022,Annual,0.83,,"211,867,483,000","20,503,223,000",,"211,867,483,000","27,990,007,000",3.90,1.05,236.06,"260,083,750,000","152,589,393,000"
A000660,SK하이닉스,12,2011,Annual,0.63,,"10,188,162,000","1,417,886,000",,"10,188,162,000","928,891,000",1.27,1.24,3.43,"16,393,910,000","8,479,381,000"
A000660,SK하이닉스,12,2012,Annual,0.58,,"10,001,783,000","1,622,659,000",,"10,001,783,000","1,199,485,000",1.22,1.10,3.09,"18,203,484,000","8,947,795,000"
A000660,SK하이닉스,12,2013,Annual,0.73,,"13,896,309,000","1,803,460,000",,"13,896,309,000","920,590,000",1.86,1.20,3.94,"19,896,259,000","8,947,323,000"
A000660,SK하이닉스,12,2014,Annual,0.75,,"16,893,716,000","3,540,213,000",,"16,893,716,000","1,217,282,000",2.35,1.09,4.68,"25,348,900,000","9,502,113,000"
A000660,SK하이닉스,12,2015,Annual,0.69,,"18,780,792,000","2,800,904,000",,"18,780,792,000","1,407,614,000",2.39,0.98,5.13,"28,742,198,000","11,002,083,000"
A000660,SK하이닉스,12,2016,Annual,0.56,,"16,733,111,000","2,896,443,000",,"16,733,111,000","1,698,723,000",2.04,0.76,4.57,"31,399,093,000","10,847,469,000"
A000660,SK하이닉스,12,2017,Annual,0.79,,"29,718,939,000","5,259,052,000",,"29,718,939,000","2,224,740,000",2.99,1.06,8.13,"44,312,846,000","12,980,539,000"
A000660,SK하이닉스,12,2018,Annual,0.77,,"40,324,651,000","6,436,794,000",,"40,324,651,000","3,721,521,000",3.00,1.03,11.02,"60,980,608,000","15,704,210,000"
A000660,SK하이닉스,12,2019,Annual,0.43,,"25,320,755,000","3,646,659,000",,"25,320,755,000","4,354,732,000",1.84,0.55,6.92,"58,168,926,000","18,381,302,000"
A000660,SK하이닉스,12,2020,Annual,0.50,,"30,524,987,000","4,185,100,000",,"30,524,987,000","4,980,384,000",2.29,0.64,8.35,"64,071,005,000","20,753,412,000"
A000660,SK하이닉스,12,2021,Annual,0.56,,"41,557,337,000","7,061,546,000",,"41,557,337,000","5,495,436,000",2.04,0.77,11.36,"84,972,544,000","23,676,722,000"
A000660,SK하이닉스,12,2022,Annual,0.43,,"37,878,699,000","3,766,707,000",,"37,878,699,000","10,345,744,000",1.31,0.64,10.36,"91,800,233,000","24,072,129,000"
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,,,"632,954,000","1,547,136,000",,"632,954,000","949,749,000",,,,"12,342,717,000","482,826,000"
A373220,LG에너지솔루션,12,2021,Annual,0.64,,"8,387,463,000","1,309,544,000",,"8,387,463,000","1,087,690,000",1.44,1.17,83.87,"13,709,636,000","5,978,109,000"
A373220,LG에너지솔루션,12,2022,Annual,0.57,,"10,581,787,000","2,207,153,000",,"10,581,787,000","1,598,728,000",1.63,0.88,97.53,"23,202,810,000","8,962,110,000"
A207940,삼성바이오로직스,12,2011,Annual,,,0,0,,0,0,,,,"184,347,767",0
A207940,삼성바이오로직스,12,2012,Annual,0.00,,0,0,,0,"263,945",0.00,0.00,0.00,"538,734,342",0
A207940,삼성바이오로직스,12,2013,Annual,0.00,,"43,505","43,505",,"43,505","16,392,962",0.00,0.00,0.00,"677,663,285","39,155"
A207940,삼성바이오로직스,12,2014,Annual,0.10,,"105,148,784","14,937,952",,"105,148,784","74,402,407",0.23,0.19,1.30,"1,355,697,955","124,868,406"
A207940,삼성바이오로직스,12,2015,Annual,0.02,,"91,278,029","34,958,506",,"91,278,029","119,177,340",0.05,0.05,0.76,"5,960,493,716","114,784,617"
A207940,삼성바이오로직스,12,2016,Annual,0.04,,"294,622,021","66,461,789",,"294,622,021","164,219,980",0.09,0.09,1.94,"7,533,016,106","268,088,358"
A207940,삼성바이오로직스,12,2017,Annual,0.06,,"464,629,334","18,518,786",,"464,629,334","209,986,717",0.14,0.12,2.81,"7,183,091,163","332,829,273"
A207940,삼성바이오로직스,12,2018,Annual,0.08,,"535,805,801","112,555,870",,"535,805,801","302,360,715",0.21,0.13,3.24,"5,980,408,648","390,645,859"
A207940,삼성바이오로직스,12,2019,Annual,0.14,,"701,591,860","181,123,111",,"701,591,860","452,469,927",0.48,0.20,4.24,"3,824,369,556","509,584,425"
A207940,삼성바이오로직스,12,2020,Annual,0.28,,"1,164,776,874",0,,"1,164,776,874","645,960,096",0.95,0.41,7.04,"4,367,217,699","748,981,802"
A207940,삼성바이오로직스,12,2021,Annual,0.31,,"1,568,006,928",0,,"1,568,006,928","1,012,870,791",0.81,0.49,9.48,"5,903,411,709","842,115,489"
A207940,삼성바이오로직스,12,2022,Annual,0.27,,"2,437,286,112",0,,"2,437,286,112","1,243,171,975",0.66,0.46,14.20,"12,165,838,880","1,237,054,032"
A005380,현대차,12,2011,Annual,0.90,,"42,774,077,000","4,469,652,000",,"42,774,077,000","1,832,025,000",2.53,1.40,28.73,"50,236,010,000","31,945,571,000"
A005380,현대차,12,2012,Annual,0.83,,"43,162,401,000","3,982,708,000",,"43,162,401,000","1,696,775,000",2.49,1.24,28.99,"53,945,929,000","32,805,374,000"
A005380,현대차,12,2013,Annual,0.75,,"41,691,171,000","3,177,486,000",,"41,691,171,000","2,162,418,000",2.53,1.06,28.00,"57,714,177,000","31,964,124,000"
A005380,현대차,12,2014,Annual,0.72,,"43,045,875,000","3,484,450,000",,"43,045,875,000","2,186,561,000",2.69,0.99,28.91,"61,343,402,000","33,045,812,000"
A005380,현대차,12,2015,Annual,0.69,,"44,439,694,000","3,668,054,000",,"44,439,694,000","2,253,083,000",2.65,0.94,29.85,"66,978,224,000","33,393,861,000"
A005380,현대차,12,2016,Annual,0.61,,"41,713,632,000","4,116,311,000",,"41,713,632,000","2,136,540,000",2.38,0.82,28.01,"69,737,669,000","32,000,830,000"
A005380,현대차,12,2017,Annual,0.60,,"41,604,869,000","2,897,096,000",,"41,604,869,000","2,388,345,000",2.48,0.78,27.94,"70,075,274,000","32,620,835,000"
A005380,현대차,12,2018,Annual,0.62,,"43,160,108,000","3,868,219,000",,"43,160,108,000","2,863,652,000",2.59,0.81,28.99,"69,408,737,000","36,403,490,000"
A005380,현대차,12,2019,Annual,0.69,,"49,155,693,000","4,733,426,000",,"49,155,693,000","3,065,329,000",2.63,0.93,33.01,"73,758,825,000","40,324,396,000"
A005380,현대차,12,2020,Annual,0.67,,"50,661,002,000","4,670,346,000",,"50,661,002,000","3,043,468,000",2.24,0.95,34.02,"78,252,289,000","41,007,374,000"
A005380,현대차,12,2021,Annual,0.70,,"55,605,120,000","5,154,923,000",,"55,605,120,000","2,680,332,000",2.13,1.05,37.34,"79,758,300,000","46,539,009,000"
A005380,현대차,12,2022,Annual,0.80,,"65,308,350,000","6,967,988,000",,"65,308,350,000","3,539,383,000",2.39,1.20,43.86,"83,412,349,000","53,137,884,000"
A000270,기아,12,2011,Annual,1.24,,"27,742,277,000","2,496,486,000",,"27,742,277,000","1,200,056,000",2.72,2.29,13.10,"23,384,425,000","21,915,962,000"
A000270,기아,12,2012,Annual,1.17,,"28,007,913,000","1,854,670,000",,"28,007,913,000","1,186,497,000",2.82,2.00,13.11,"24,480,107,000","22,142,665,000"
A000270,기아,12,2013,Annual,1.10,,"28,332,572,000","2,226,053,000",,"28,332,572,000","1,126,728,000",2.84,1.81,13.24,"26,862,906,000","22,597,591,000"
A000270,기아,12,2014,Annual,1.04,,"29,850,115,000","3,281,471,000",,"29,850,115,000","1,297,588,000",2.67,1.71,13.95,"30,311,721,000","24,124,795,000"
A000270,기아,12,2015,Annual,1.02,,"32,699,936,000","4,719,159,000",,"32,699,936,000","1,110,649,000",2.52,1.70,15.29,"33,986,396,000","25,771,869,000"
A000270,기아,12,2016,Annual,0.90,,"31,641,854,000","4,365,862,000",,"31,641,854,000","1,274,574,000",2.22,1.52,14.79,"36,179,511,000","24,768,629,000"
A000270,기아,12,2017,Annual,0.86,,"32,109,883,000","4,013,305,000",,"32,109,883,000","1,546,557,000",2.07,1.47,15.01,"38,605,013,000","26,573,205,000"
A000270,기아,12,2018,Annual,0.84,,"31,912,189,000","3,071,118,000",,"31,912,189,000","1,476,845,000",2.02,1.45,14.92,"37,149,602,000","27,116,052,000"
A000270,기아,12,2019,Annual,0.90,,"33,857,781,000","3,230,414,000",,"33,857,781,000","1,482,217,000",2.23,1.50,15.83,"38,356,281,000","27,896,915,000"
A000270,기아,12,2020,Annual,0.86,,"34,362,327,000","4,755,405,000",,"34,362,327,000","1,704,598,000",2.07,1.47,16.06,"41,591,553,000","28,654,868,000"
A000270,기아,12,2021,Annual,0.94,,"40,979,570,000","4,498,001,000",,"40,979,570,000","1,612,135,000",2.18,1.67,19.16,"45,188,766,000","33,201,731,000"
A000270,기아,12,2022,Annual,1.01,,"46,409,721,000","3,440,246,000",,"46,409,721,000","2,786,039,000",2.33,1.78,21.69,"46,715,448,000","37,273,052,000"
A068270,셀트리온,12,2011,Annual,0.22,,"278,592,584","157,705,692",,"278,592,584","39,740,387",0.65,0.33,4.79,"1,405,342,718","50,626,240"
A068270,셀트리온,12,2012,Annual,0.22,,"348,955,193","371,500,965",,"348,955,193","77,221,464",0.59,0.36,4.79,"1,728,599,933","91,916,529"
A068270,셀트리온,12,2013,Annual,0.12,,"224,575,287","271,232,537",,"224,575,287","135,418,381",0.29,0.21,2.39,"1,972,614,126","66,592,227"
A068270,셀트리온,12,2014,Annual,0.20,,"404,621,868","338,875,237",,"404,621,868","146,541,689",0.47,0.34,3.97,"2,098,697,249","105,330,387"
A068270,셀트리온,12,2015,Annual,0.23,,"528,784,433","619,156,091",,"528,784,433","157,612,337",0.66,0.36,4.90,"2,449,856,665","203,737,018"
A068270,셀트리온,12,2016,Annual,0.22,,"577,574,962","678,463,204",,"577,574,962","113,118,543",0.82,0.31,5.04,"2,722,746,720","219,182,904"
A068270,셀트리온,12,2017,Annual,0.28,,"828,917,202","713,489,013",,"828,917,202","141,164,308",1.20,0.37,6.93,"3,138,184,505","209,642,675"
