Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%)
A247540,에코프로비엠,12,2011,Annual,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,
A247540,에코프로비엠,12,2016,Annual,,,,,
A247540,에코프로비엠,12,2017,Annual,190.31,15.99,25.00,137.59,120.84
A247540,에코프로비엠,12,2018,Annual,103.26,39.32,46.33,125.56,143.13
A247540,에코프로비엠,12,2019,Annual,4.57,130.59,61.60,-26.26,-6.45
A247540,에코프로비엠,12,2020,Annual,38.74,26.23,15.73,47.72,35.32
A247540,에코프로비엠,12,2021,Annual,73.81,27.57,46.54,110.03,109.59
A247540,에코프로비엠,12,2022,Annual,260.63,149.64,57.08,230.93,178.82
A086520,에코프로,12,2011,Annual,58.60,21.82,1.76,25.64,-62.81
A086520,에코프로,12,2012,Annual,-8.97,2.79,9.93,20.77,-18.52
A086520,에코프로,12,2013,Annual,-25.30,0.50,9.38,-76.65,적전
A086520,에코프로,12,2014,Annual,39.68,2.61,0.10,453.23,흑전
A086520,에코프로,12,2015,Annual,28.89,32.92,14.62,-19.49,-87.33
A086520,에코프로,12,2016,Annual,58.93,70.56,37.94,73.83,적전
A086520,에코프로,12,2017,Annual,92.99,6.17,42.12,115.60,적지
A086520,에코프로,12,2018,Annual,103.46,25.73,46.89,186.08,흑전
A086520,에코프로,12,2019,Annual,4.91,92.78,48.48,-23.28,-19.14
A086520,에코프로,12,2020,Annual,21.15,31.71,35.11,33.13,47.49
A086520,에코프로,12,2021,Annual,76.79,188.24,58.51,35.06,405.48
A086520,에코프로,12,2022,Annual,274.94,48.61,50.01,613.41,-20.81
A028300,HLB,12,2011,Annual,55.19,-13.70,-21.15,흑전,적지
A028300,HLB,12,2012,Annual,-25.71,1.86,-3.19,적전,적지
A028300,HLB,12,2013,Annual,-59.71,-28.18,-30.71,적지,적지
A028300,HLB,12,2014,Annual,78.71,48.49,-0.79,흑전,적지
A028300,HLB,12,2015,Annual,3.43,396.91,-17.12,적전,흑전
A028300,HLB,12,2016,Annual,-21.64,8.47,-2.86,적지,적전
A028300,HLB,12,2017,Annual,-23.66,-8.38,-4.98,적지,적지
A028300,HLB,12,2018,Annual,57.28,84.31,24.46,적지,흑전
A028300,HLB,12,2019,Annual,6.18,-9.68,-2.21,적지,적전
A028300,HLB,12,2020,Annual,46.22,194.56,58.84,적지,적지
A028300,HLB,12,2021,Annual,24.30,-8.12,108.42,적지,적지
A028300,HLB,12,2022,Annual,157.37,36.47,-6.00,적지,적지
A196170,알테오젠,12,2011,Annual,,,,,
A196170,알테오젠,12,2012,Annual,,,,,
A196170,알테오젠,12,2013,Annual,39.59,58.82,244.75,-9.00,12.01
A196170,알테오젠,12,2014,Annual,27.41,493.25,-22.48,-52.06,-42.02
A196170,알테오젠,12,2015,Annual,-32.89,7.61,766.78,-82.87,29.77
A196170,알테오젠,12,2016,Annual,44.79,17.32,15.48,적전,적전
A196170,알테오젠,12,2017,Annual,76.87,-11.90,6.27,적지,적지
A196170,알테오젠,12,2018,Annual,13.21,67.39,132.92,적지,적지
A196170,알테오젠,12,2019,Annual,113.30,5.26,62.72,적지,적지
A196170,알테오젠,12,2020,Annual,45.15,-13.71,1.18,적지,적지
A196170,알테오젠,12,2021,Annual,-8.67,117.11,52.07,적지,적지
A196170,알테오젠,12,2022,Annual,-25.65,10.53,-8.03,적지,적지
A348370,엔켐,12,2011,Annual,,,,,
A348370,엔켐,12,2012,Annual,,,,,
A348370,엔켐,12,2013,Annual,,,,,
A348370,엔켐,12,2014,Annual,143.14,-25.45,2.78,적지,적지
A348370,엔켐,12,2015,Annual,32.82,212.41,0.15,흑전,흑전
A348370,엔켐,12,2016,Annual,212.81,197.02,162.75,307.91,525.18
A348370,엔켐,12,2017,Annual,6.77,30.57,108.91,-13.48,-49.38
A348370,엔켐,12,2018,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS)
A348370,엔켐,12,2019,Annual,138.92,전기잠식,74.84,385.62,적지
A348370,엔켐,12,2020,Annual,57.71,308.66,57.77,-1.17,흑전
A348370,엔켐,12,2021,Annual,54.32,80.93,72.08,적전,적전
A348370,엔켐,12,2022,Annual,137.85,35.44,71.15,흑전,흑전
A068760,셀트리온제약,12,2011,Annual,11.16,3.71,91.24,-23.76,-39.39
A068760,셀트리온제약,12,2012,Annual,1.02,22.59,135.77,-16.93,3.43
A068760,셀트리온제약,12,2013,Annual,12.11,7.10,25.81,47.53,-26.43
A068760,셀트리온제약,12,2014,Annual,26.75,27.32,34.68,11.43,124.62
A068760,셀트리온제약,12,2015,Annual,11.97,-10.31,11.75,적전,적전
A068760,셀트리온제약,12,2016,Annual,40.25,43.88,-4.26,적지,적지
A068760,셀트리온제약,12,2017,Annual,29.62,6.11,-4.75,흑전,흑전
A068760,셀트리온제약,12,2018,Annual,8.11,-8.03,-2.16,-58.83,적전
A068760,셀트리온제약,12,2019,Annual,18.13,3.70,10.45,312.82,흑전
A068760,셀트리온제약,12,2020,Annual,34.61,7.33,14.45,60.36,143.42
A068760,셀트리온제약,12,2021,Annual,70.72,10.45,-2.52,102.28,65.13
A068760,셀트리온제약,12,2022,Annual,-3.18,7.48,-5.47,-20.14,-24.93
A058470,리노공업,12,2011,Annual,16.83,13.64,24.93,7.74,12.35
A058470,리노공업,12,2012,Annual,13.89,16.45,35.09,18.38,29.05
A058470,리노공업,12,2013,Annual,7.20,14.67,33.01,3.93,5.30
A058470,리노공업,12,2014,Annual,15.85,12.07,22.36,13.49,17.90
A058470,리노공업,12,2015,Annual,6.48,14.01,13.20,10.06,5.72
A058470,리노공업,12,2016,Annual,13.38,12.78,7.67,9.18,8.47
A058470,리노공업,12,2017,Annual,25.47,13.45,-0.07,25.03,14.03
A058470,리노공업,12,2018,Annual,6.25,15.31,12.56,17.06,20.51
A058470,리노공업,12,2019,Annual,13.27,14.20,9.64,11.46,8.53
A058470,리노공업,12,2020,Annual,18.22,12.38,13.75,21.42,4.90
A058470,리노공업,12,2021,Annual,39.15,23.82,29.18,50.36,87.45
A058470,리노공업,12,2022,Annual,15.08,18.07,3.27,16.68,10.17
A403870,HPSP,12,2011,Annual,,,,,
A403870,HPSP,12,2012,Annual,,,,,
A403870,HPSP,12,2013,Annual,,,,,
A403870,HPSP,12,2014,Annual,,,,,
A403870,HPSP,12,2015,Annual,,,,,
A403870,HPSP,12,2016,Annual,,,,,
A403870,HPSP,12,2017,Annual,,,,,
A403870,HPSP,12,2018,Annual,-91.62,-43.67,-14.72,적전,적전
A403870,HPSP,12,2019,Annual,963.14,67.43,-13.96,흑전,흑전
A403870,HPSP,12,2020,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS)
A403870,HPSP,12,2021,Annual,49.98,53.38,-8.00,82.36,100.15
A403870,HPSP,12,2022,Annual,73.66,270.38,876.13,88.39,86.75
A277810,레인보우로보틱스,12,2011,Annual,,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,,
A277810,레인보우로보틱스,12,2016,Annual,,,,,
A277810,레인보우로보틱스,12,2017,Annual,29.54,291.95,"1,067.78",37.96,3.75
A277810,레인보우로보틱스,12,2018,Annual,-74.78,-18.26,43.57,적전,적전
A277810,레인보우로보틱스,12,2019,Annual,61.11,-31.28,9.25,적지,적지
A277810,레인보우로보틱스,12,2020,Annual,220.37,-17.68,1.57,적지,적지
A277810,레인보우로보틱스,12,2021,Annual,65.28,624.35,4.05,적지,적지
A277810,레인보우로보틱스,12,2022,Annual,51.80,28.44,8.79,흑전,흑전
A039030,이오테크닉스,12,2011,Annual,-23.98,9.42,23.21,-65.53,-46.59
A039030,이오테크닉스,12,2012,Annual,24.00,14.27,59.76,119.54,56.01
A039030,이오테크닉스,12,2013,Annual,21.83,16.06,11.24,25.58,24.84
A039030,이오테크닉스,12,2014,Annual,30.00,18.03,-4.81,31.47,22.65
A039030,이오테크닉스,12,2015,Annual,-10.53,8.90,-7.53,-49.62,-41.64
A039030,이오테크닉스,12,2016,Annual,13.96,5.61,-6.37,-25.53,-21.29
A039030,이오테크닉스,12,2017,Annual,31.33,12.18,13.18,182.14,121.11
A039030,이오테크닉스,12,2018,Annual,-27.23,4.81,3.22,-70.22,-49.10
A039030,이오테크닉스,12,2019,Annual,-29.79,3.96,-5.59,-60.24,-45.87
A039030,이오테크닉스,12,2020,Annual,57.47,4.07,-7.93,442.04,81.95
A039030,이오테크닉스,12,2021,Annual,20.22,18.29,-2.08,103.03,235.66
A039030,이오테크닉스,12,2022,Annual,14.40,11.21,-5.42,18.77,6.76
A065350,신성델타테크,12,2011,Annual,11.27,-10.26,-1.93,-36.71,적전
A065350,신성델타테크,12,2012,Annual,-7.64,0.80,-13.08,36.62,흑전
A065350,신성델타테크,12,2013,Annual,-2.35,5.55,5.93,-30.69,120.90
A065350,신성델타테크,12,2014,Annual,-6.06,-1.63,4.04,-54.11,-67.84
A065350,신성델타테크,12,2015,Annual,27.95,3.76,11.29,134.49,104.88
A065350,신성델타테크,12,2016,Annual,4.04,-1.80,1.38,55.81,-77.23
A065350,신성델타테크,12,2017,Annual,17.78,17.39,-0.13,44.96,"1,136.43"
A065350,신성델타테크,12,2018,Annual,-5.96,2.33,0.71,-28.55,-67.44
A065350,신성델타테크,12,2019,Annual,2.68,10.72,-0.96,-11.21,31.05
A065350,신성델타테크,12,2020,Annual,9.88,21.16,-3.31,15.67,68.03
A065350,신성델타테크,12,2021,Annual,49.57,20.61,22.77,162.26,268.27
A065350,신성델타테크,12,2022,Annual,7.58,9.69,15.46,-8.60,-26.82
A005290,동진쎄미켐,12,2011,Annual,8.18,-3.94,16.04,-71.49,적전
A005290,동진쎄미켐,12,2012,Annual,24.88,0.19,13.39,212.18,흑전
A005290,동진쎄미켐,12,2013,Annual,14.57,3.25,6.99,-14.34,-46.97
A005290,동진쎄미켐,12,2014,Annual,2.31,0.25,-0.91,61.07,179.67
A005290,동진쎄미켐,12,2015,Annual,5.93,22.79,-2.02,54.90,87.45
