Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익증가율(전년동기)(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,6.87,,9.40,,,110.37,,,
A247540,에코프로비엠,12,2017,Annual,5.23,149.98,7.69,287.65,196.46,108.33,14.19,196.46,195.61
A247540,에코프로비엠,12,2018,Annual,6.26,78.13,8.53,633.49,540.34,109.33,31.10,540.34,464.33
A247540,에코프로비엠,12,2019,Annual,5.60,-8.15,6.02,402.95,308.01,106.40,10.68,308.01,374.73
A247540,에코프로비엠,12,2020,Annual,5.46,44.45,6.41,526.74,457.96,106.85,11.37,457.96,451.19
A247540,에코프로비엠,12,2021,Annual,6.58,80.10,7.74,"1,046.82","1,041.31",108.39,21.52,"1,041.31",917.63
A247540,에코프로비엠,12,2022,Annual,5.09,171.47,7.11,"1,260.51","1,067.98",107.65,30.95,"1,067.98",769.35
A086520,에코프로,12,2011,Annual,0.90,34.00,5.28,76.52,6.16,105.57,0.57,6.16,13.00
A086520,에코프로,12,2012,Annual,0.80,3.55,7.01,87.14,8.51,107.53,0.74,8.51,9.99
A086520,에코프로,12,2013,Annual,-13.43,-21.92,2.19,19.35,-83.91,102.24,-7.60,-83.91,-118.65
A086520,에코프로,12,2014,Annual,1.80,76.51,8.67,102.97,6.26,109.50,0.58,6.26,21.34
A086520,에코프로,12,2015,Annual,0.18,-2.97,5.42,75.03,-7.82,105.73,-0.68,-7.82,2.45
A086520,에코프로,12,2016,Annual,-4.24,59.02,5.93,105.44,-68.06,106.30,-4.73,-68.06,-91.96
A086520,에코프로,12,2017,Annual,-1.00,91.91,6.62,200.50,-13.43,107.09,-0.81,-13.43,-63.03
A086520,에코프로,12,2018,Annual,6.90,95.88,9.31,564.17,495.34,110.26,26.29,495.34,356.24
A086520,에코프로,12,2019,Annual,5.32,1.83,6.81,432.82,224.73,107.30,7.31,224.73,192.70
A086520,에코프로,12,2020,Annual,6.48,15.20,7.48,576.23,379.85,108.09,8.10,379.85,222.84
A086520,에코프로,12,2021,Annual,18.52,82.59,5.71,746.38,"-1,489.52",106.06,-15.01,"-1,489.52","2,086.92"
A086520,에코프로,12,2022,Annual,3.91,243.03,10.87,"4,982.22","2,491.14",112.20,14.54,"2,491.14",293.01
A028300,HLB,12,2011,Annual,-10.75,77.02,3.72,28.41,-11.73,103.86,-4.67,-11.73,-84.30
A028300,HLB,12,2012,Annual,-16.73,-42.13,-5.65,-28.33,-63.09,94.65,-30.39,-63.09,-71.70
A028300,HLB,12,2013,Annual,-51.79,-64.21,-25.71,-45.28,-76.28,79.55,-48.60,-76.28,-72.32
A028300,HLB,12,2014,Annual,-8.73,134.79,0.97,2.74,-13.62,100.98,-9.34,-13.62,-22.19
A028300,HLB,12,2015,Annual,27.17,0.98,-15.50,-38.21,67.77,86.58,15.39,67.77,81.00
A028300,HLB,12,2016,Annual,-77.15,-29.17,-69.69,-119.61,-132.41,58.93,-19.50,-132.41,-75.25
A028300,HLB,12,2017,Annual,-92.70,-48.70,-113.51,-144.53,-184.58,46.84,-28.06,-184.58,-91.48
A028300,HLB,12,2018,Annual,37.36,196.00,-81.01,-155.18,71.48,55.24,8.36,71.48,134.15
A028300,HLB,12,2019,Annual,-155.28,-39.30,-126.84,-237.95,-291.82,44.08,-29.97,-291.82,-216.74
A028300,HLB,12,2020,Annual,-157.92,161.85,-109.14,-256.20,-389.46,47.81,-24.96,-389.46,-334.68
A028300,HLB,12,2021,Annual,-159.84,104.37,-144.67,-253.18,-276.82,40.87,-20.65,-276.82,-245.93
A028300,HLB,12,2022,Annual,-54.87,214.44,-41.55,-133.87,-158.52,70.65,-14.60,-158.52,-140.14
A196170,알테오젠,12,2011,Annual,,,,,,,,,
A196170,알테오젠,12,2012,Annual,36.21,,41.92,,,172.19,,,
A196170,알테오젠,12,2013,Annual,29.06,10.46,27.33,169.75,181.08,137.61,32.75,181.08,180.45
A196170,알테오젠,12,2014,Annual,13.22,2.65,10.28,35.05,37.28,111.46,3.68,37.28,45.07
A196170,알테오젠,12,2015,Annual,25.57,-10.73,2.62,4.32,36.45,102.70,2.81,36.45,42.09
A196170,알테오젠,12,2016,Annual,-52.42,-81.81,-79.07,-178.08,-146.65,55.84,-10.64,-146.65,-118.05
A196170,알테오젠,12,2017,Annual,-61.54,64.45,-51.00,-130.93,-156.36,66.22,-17.33,-156.36,-157.98
A196170,알테오젠,12,2018,Annual,-51.59,89.11,-55.90,-116.31,-91.61,64.14,-11.33,-91.61,-104.35
A196170,알테오젠,12,2019,Annual,-5.95,467.14,-7.70,-32.60,-24.33,92.85,-2.46,-24.33,-10.20
A196170,알테오젠,12,2020,Annual,-43.07,68.97,-0.14,-0.55,-168.57,99.86,-27.05,-168.57,-150.76
A196170,알테오젠,12,2021,Annual,-29.91,-69.13,-39.21,-85.44,-60.15,71.83,-11.13,-60.15,-35.29
A196170,알테오젠,12,2022,Annual,-34.99,-21.73,-101.97,-123.09,-41.78,49.51,-7.20,-41.78,-34.14
A348370,엔켐,12,2011,Annual,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,
A348370,엔켐,12,2013,Annual,-44.61,,-34.91,,,74.12,,,
A348370,엔켐,12,2014,Annual,-11.69,흑전,-7.15,-26.89,-43.97,93.33,-29.16,-43.97,-43.97
A348370,엔켐,12,2015,Annual,1.82,521.32,3.31,14.73,8.09,103.42,3.42,8.09,8.09
A348370,엔켐,12,2016,Annual,3.64,194.91,4.32,44.06,37.11,104.51,7.11,37.11,37.11
A348370,엔켐,12,2017,Annual,1.72,20.72,3.50,30.38,14.97,103.63,2.09,14.97,14.97
A348370,엔켐,12,2018,Annual,-5.36,N/A(IFRS),7.08,N/A(IFRS),N/A(IFRS),107.62,N/A(IFRS),N/A(IFRS),N/A(IFRS)
A348370,엔켐,12,2019,Annual,-2.22,216.86,14.39,685.10,-107.31,116.81,-16.37,-107.31,-105.60
A348370,엔켐,12,2020,Annual,0.36,32.16,9.02,291.24,27.01,109.91,1.56,27.01,11.64
A348370,엔켐,12,2021,Annual,-9.08,적전,-12.12,-384.00,-367.37,89.19,-14.77,-367.37,-287.88
A348370,엔켐,12,2022,Annual,4.28,흑전,3.01,198.18,336.96,103.11,10.24,336.96,273.17
A068760,셀트리온제약,12,2011,Annual,7.39,11.88,13.15,99.49,57.43,115.14,2.80,57.43,55.88
A068760,셀트리온제약,12,2012,Annual,7.56,0.41,10.81,76.87,51.20,112.13,2.37,51.20,53.76
A068760,셀트리온제약,12,2013,Annual,4.96,11.86,14.23,105.04,50.78,116.59,2.22,50.78,36.63
A068760,셀트리온제약,12,2014,Annual,8.79,21.58,12.51,100.34,71.02,114.30,3.09,71.02,70.54
A068760,셀트리온제약,12,2015,Annual,-20.35,10.73,-18.10,-136.10,-210.14,84.68,-10.27,-210.14,-153.03
A068760,셀트리온제약,12,2016,Annual,-20.14,-12.38,-14.32,-114.29,-178.62,87.48,-10.00,-178.62,-160.77
A068760,셀트리온제약,12,2017,Annual,2.00,38.91,6.38,53.36,15.16,106.82,0.86,15.16,16.71
A068760,셀트리온제약,12,2018,Annual,-6.39,-30.36,2.43,21.18,-37.15,102.49,-2.22,-37.15,-55.71
A068760,셀트리온제약,12,2019,Annual,4.96,53.90,8.49,86.48,51.91,109.28,3.22,51.91,50.49
A068760,셀트리온제약,12,2020,Annual,8.97,17.13,10.12,135.22,115.18,111.26,6.93,115.18,119.83
A068760,셀트리온제약,12,2021,Annual,8.67,62.99,11.99,264.22,235.06,113.62,13.45,235.06,191.14
A068760,셀트리온제약,12,2022,Annual,6.72,-5.43,9.89,205.62,164.13,110.97,8.85,164.13,139.85
A058470,리노공업,12,2011,Annual,29.17,9.68,35.48,584.19,600.38,154.98,24.54,600.38,480.29
A058470,리노공업,12,2012,Annual,33.05,17.26,36.88,691.55,766.99,158.42,27.22,766.99,619.82
A058470,리노공업,12,2013,Annual,32.47,6.93,35.75,495.68,556.06,155.64,24.78,556.06,450.14
A058470,리노공업,12,2014,Annual,33.04,14.91,35.02,429.31,504.48,153.90,26.00,504.48,405.01
A058470,리노공업,12,2015,Annual,32.80,7.81,36.20,472.50,533.47,156.74,24.32,533.47,428.18
A058470,리노공업,12,2016,Annual,31.38,7.56,34.86,515.88,602.57,153.51,24.23,602.57,464.45
A058470,리노공업,12,2017,Annual,28.52,21.62,34.74,645.00,681.13,153.23,24.21,681.13,529.61
A058470,리노공업,12,2018,Annual,32.35,14.04,38.27,755.06,828.29,162.00,25.72,828.29,638.25
A058470,리노공업,12,2019,Annual,31.00,9.05,37.66,841.62,931.02,160.42,25.20,931.02,692.68
A058470,리노공업,12,2020,Annual,27.51,19.72,38.68,"1,021.91",965.10,163.09,23.07,965.10,726.64
A058470,리노공업,12,2021,Annual,37.05,47.83,41.80,"1,536.56","1,822.46",171.82,36.79,"1,822.46","1,362.07"
A058470,리노공업,12,2022,Annual,35.47,17.82,42.38,"1,792.83","2,021.67",173.54,33.83,"2,021.67","1,500.60"
A403870,HPSP,12,2011,Annual,,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,,
A403870,HPSP,12,2017,Annual,36.43,,48.43,,,193.91,,,
A403870,HPSP,12,2018,Annual,-108.62,-96.67,-124.08,-144.75,-126.48,44.63,-15.22,-126.48,-126.71
A403870,HPSP,12,2019,Annual,32.91,"2,301.95",39.59,491.04,485.01,165.54,60.58,485.01,408.10
A403870,HPSP,12,2020,Annual,28.87,N/A(IFRS),40.53,N/A(IFRS),N/A(IFRS),168.15,N/A(IFRS),N/A(IFRS),N/A(IFRS)
A403870,HPSP,12,2021,Annual,38.52,50.29,49.28,867.30,895.47,197.15,107.14,895.47,677.99
A403870,HPSP,12,2022,Annual,41.43,78.65,53.46,920.82,939.57,214.85,70.05,939.57,713.58
