Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),영업이익(천원),이자비용(천원),현금및현금성자산구성비율(%),유동자산(천원),유동부채(천원),당좌자산(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,55.60,6.75,8.50,56.66,130.74,"9,382,956","2,386,572",2.51,"83,107,456","83,534,772","35,481,381"
A247540,에코프로비엠,12,2017,Annual,53.77,5.07,7.72,61.11,157.12,"22,292,689","4,687,121",4.65,"117,782,759","128,359,584","54,775,537"
A247540,에코프로비엠,12,2018,Annual,50.19,3.01,4.97,65.43,189.30,"50,283,592","6,406,651",2.06,"211,613,400","206,132,033","72,891,904"
A247540,에코프로비엠,12,2019,Annual,57.93,2.17,5.84,43.08,75.67,"37,077,550",0,3.09,"245,507,156","137,876,295","86,644,170"
A247540,에코프로비엠,12,2020,Annual,54.56,1.67,5.94,41.51,70.97,"54,769,281",0,7.41,"304,796,634","188,978,798","147,980,373"
A247540,에코프로비엠,12,2021,Annual,44.80,0.85,5.06,58.19,139.18,"115,031,249",0,7.34,"739,143,497","612,882,217","399,747,618"
A247540,에코프로비엠,12,2022,Annual,29.74,0.40,2.53,55.89,126.73,"380,676,718",0,9.49,"2,274,293,401","1,547,889,953","1,417,901,187"
A086520,에코프로,12,2011,Annual,50.45,6.06,9.64,57.60,135.84,"4,626,589","6,466,790",2.21,"68,394,786","54,109,391","35,559,800"
A086520,에코프로,12,2012,Annual,55.14,7.53,9.97,56.66,130.76,"5,587,674","5,422,194",1.49,"58,050,554","88,599,667","24,690,429"
A086520,에코프로,12,2013,Annual,58.96,9.43,15.55,57.43,134.89,"1,304,926","4,780,632",1.05,"52,048,744","85,329,711","21,984,820"
A086520,에코프로,12,2014,Annual,55.80,11.24,13.74,58.70,142.12,"7,219,245","5,213,302",0.68,"57,423,646","97,685,276","24,853,600"
A086520,에코프로,12,2015,Annual,53.79,9.46,11.46,53.83,116.58,"5,812,016","5,079,163",2.05,"63,897,250","84,816,700","32,368,726"
A086520,에코프로,12,2016,Annual,47.24,5.85,10.96,49.85,99.42,"10,102,800","6,016,426",6.23,"126,171,155","108,728,141","65,589,745"
A086520,에코프로,12,2017,Annual,51.89,4.38,10.17,58.85,143.02,"21,781,771","7,364,850",5.07,"164,984,163","179,491,757","89,306,401"
A086520,에코프로,12,2018,Annual,51.17,2.48,6.86,65.26,187.89,"62,313,476","12,028,549",2.35,"271,444,769","258,962,168","106,240,021"
A086520,에코프로,12,2019,Annual,54.67,1.79,8.88,51.83,107.58,"47,805,819","11,375,522",3.73,"367,719,002","260,635,090","136,475,005"
A086520,에코프로,12,2020,Annual,53.41,1.33,7.44,54.12,117.96,"63,644,729","17,191,623",10.64,"515,238,214","385,917,601","288,357,320"
A086520,에코프로,12,2021,Annual,31.94,18.30,9.69,50.10,100.39,"85,956,918",0,8.58,"1,619,673,746","967,353,223","1,152,282,088"
A086520,에코프로,12,2022,Annual,30.48,7.87,3.22,52.83,111.98,"613,226,487",0,6.67,"3,162,551,112","2,082,665,019","1,892,196,197"
A028300,HLB,12,2011,Annual,37.26,5.16,13.95,60.94,156.00,"2,585,133","3,131,453",6.54,"27,848,873","29,254,510","20,905,803"
A028300,HLB,12,2012,Annual,39.15,10.82,19.41,56.81,131.54,"-2,918,964","2,070,350",3.04,"21,923,080","25,071,101","14,357,824"
A028300,HLB,12,2013,Annual,37.55,1.50,37.93,57.06,132.89,"-5,349,858","1,133,278",3.45,"18,898,199","18,179,305","14,357,671"
A028300,HLB,12,2014,Annual,24.79,1.37,15.08,57.57,135.67,"362,178","1,944,280",18.79,"34,502,318","22,346,628","26,828,694"
A028300,HLB,12,2015,Annual,6.02,70.57,31.18,38.23,61.88,"-5,963,200","2,840,486",2.36,"29,901,635","24,441,072","24,595,804"
A028300,HLB,12,2016,Annual,5.80,70.17,83.86,33.55,50.48,"-21,004,271","930,015",5.02,"27,111,793","15,423,828","23,257,213"
A028300,HLB,12,2017,Annual,5.47,67.28,123.03,39.59,65.55,"-26,114,810","4,229,284",3.90,"35,324,284","42,332,831","31,181,375"
A028300,HLB,12,2018,Annual,4.21,43.94,98.94,31.09,45.11,"-29,315,170","12,768,697",9.94,"117,127,033","20,917,581","113,266,778"
A028300,HLB,12,2019,Annual,3.45,36.83,137.08,47.81,91.61,"-48,731,091","19,513,516",11.27,"69,679,047","67,698,778","64,760,601"
A028300,HLB,12,2020,Annual,2.82,37.35,127.49,21.10,26.74,"-61,311,788","5,261,837",31.24,"251,572,612","98,026,815","246,698,547"
A028300,HLB,12,2021,Annual,5.57,45.66,174.84,31.13,45.20,"-101,018,424","3,627,280",13.42,"188,141,791","121,819,304","174,330,822"
A028300,HLB,12,2022,Annual,4.03,35.64,78.41,27.74,38.38,"-74,664,893","11,692,170",20.23,"343,614,514","200,369,576","331,270,899"
A196170,알테오젠,12,2011,Annual,,,,,,,,,,,
A196170,알테오젠,12,2012,Annual,3.09,0.25,44.40,33.52,50.41,"1,660,132","92,740",10.65,"5,515,207","649,950","5,515,207"
A196170,알테오젠,12,2013,Annual,7.33,0.63,40.98,27.40,37.74,"1,510,743","117,930",3.87,"7,646,439","889,837","7,646,439"
A196170,알테오젠,12,2014,Annual,1.24,0.26,44.75,5.62,5.96,"724,204","97,679",22.83,"25,188,991","1,828,081","25,188,991"
A196170,알테오젠,12,2015,Annual,10.40,0.46,70.57,2.12,2.16,"124,041","6,770",17.97,"26,654,540","413,195","26,654,540"
A196170,알테오젠,12,2016,Annual,9.86,4.40,88.26,5.67,6.02,"-5,411,191",502,17.49,"39,343,336","2,223,977","39,148,266"
A196170,알테오젠,12,2017,Annual,11.69,1.40,59.55,7.37,7.95,"-6,173,477","1,863",12.16,"35,670,223","2,695,155","35,454,076"
A196170,알테오젠,12,2018,Annual,16.40,0.87,70.18,6.56,7.02,"-7,659,870","24,586",12.49,"58,257,365","2,476,848","57,781,578"
A196170,알테오젠,12,2019,Annual,22.16,0.86,45.68,18.35,22.47,"-2,252,031","196,440",5.13,"65,209,452","11,372,929","64,327,878"
A196170,알테오젠,12,2020,Annual,12.11,0.64,44.35,61.95,162.80,"-58,169","1,502,583",24.45,"137,906,946","97,042,299","137,447,283"
A196170,알테오젠,12,2021,Annual,11.35,4.39,54.15,49.08,96.40,"-15,192,014","620,471",4.08,"210,238,375","122,750,913","209,189,490"
A196170,알테오젠,12,2022,Annual,10.98,19.27,117.70,40.78,68.86,"-29,373,680","425,250",18.67,"145,095,473","94,308,514","143,520,783"
A348370,엔켐,12,2011,Annual,,,,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,,,,
A348370,엔켐,12,2013,Annual,19.62,0.00,20.78,78.39,362.66,"-715,205","21,073",64.66,"8,392,136","970,160","7,531,293"
A348370,엔켐,12,2014,Annual,21.11,0.99,9.69,83.13,492.93,"-356,230","229,328",45.62,"7,297,727","1,102,459","6,304,199"
A348370,엔켐,12,2015,Annual,21.54,4.74,8.55,46.31,86.24,"219,053","78,210",5.91,"6,460,402","1,861,104","4,341,353"
A348370,엔켐,12,2016,Annual,23.59,4.65,6.86,33.53,50.44,"893,536","45,673",12.75,"16,737,820","3,955,005","10,177,721"
A348370,엔켐,12,2017,Annual,37.50,4.32,9.14,33.95,51.40,"773,127","39,216",18.24,"17,806,137","5,066,035","10,912,109"
A348370,엔켐,12,2018,Annual,41.75,0.00,8.75,108.79,완전잠식,"2,609,728","4,335,964",13.57,"32,552,910","42,103,589","20,198,983"
A348370,엔켐,12,2019,Annual,31.95,0.04,6.60,77.67,347.87,"12,673,412","10,160,378",24.48,"88,845,774","44,857,611","64,843,233"
A348370,엔켐,12,2020,Annual,33.23,0.08,8.57,39.85,66.24,"12,525,169","5,290,726",17.32,"126,667,509","75,106,271","98,941,745"
A348370,엔켐,12,2021,Annual,27.93,0.04,10.51,46.84,88.10,"-25,966,630","3,297,754",20.01,"242,074,061","140,020,564","179,104,720"
A348370,엔켐,12,2022,Annual,28.63,0.44,6.96,56.88,131.88,"15,362,754","21,779,000",4.90,"342,244,958","250,972,697","214,652,759"
A068760,셀트리온제약,12,2011,Annual,22.72,16.12,54.97,40.64,68.46,"6,114,028","711,858",1.71,"101,245,035","54,309,826","51,447,974"
A068760,셀트리온제약,12,2012,Annual,34.96,12.68,56.90,52.50,110.53,"5,079,202","887,164",1.66,"143,045,691","108,808,947","58,673,605"
A068760,셀트리온제약,12,2013,Annual,40.30,12.80,53.33,53.39,114.56,"7,493,294","1,443,521",3.22,"140,894,912","26,622,023","58,579,450"
A068760,셀트리온제약,12,2014,Annual,47.70,13.80,52.29,47.85,91.75,"8,349,704","3,075,760",0.87,"146,423,716","111,559,887","70,498,194"
A068760,셀트리온제약,12,2015,Annual,51.83,9.18,82.18,54.52,119.88,"-13,524,205","8,733,146",2.29,"149,349,688","112,489,636","75,607,434"
A068760,셀트리온제약,12,2016,Annual,47.47,9.16,54.35,37.41,59.77,"-15,004,816","8,459,377",2.31,"171,842,934","72,387,460","105,971,185"
A068760,셀트리온제약,12,2017,Annual,42.50,8.49,36.52,37.56,60.16,"8,670,526","5,475,450",1.20,"211,106,672","124,290,303","145,864,011"
A068760,셀트리온제약,12,2018,Annual,43.22,7.92,25.20,40.32,67.55,"3,569,376","5,965,232",2.02,"199,960,536","145,034,436","157,943,116"
A068760,셀트리온제약,12,2019,Annual,45.86,7.72,27.51,40.54,68.19,"14,735,270","5,244,007",2.29,"188,855,498","149,138,502","155,753,651"
A068760,셀트리온제약,12,2020,Annual,45.10,6.94,21.21,45.16,82.35,"23,629,562","4,583,305",4.70,"230,954,115","184,926,886","175,940,215"
A068760,셀트리온제약,12,2021,Annual,37.78,6.18,17.92,47.96,92.15,"47,797,892","5,357,750",12.57,"331,139,865","259,914,245","267,252,958"
A068760,셀트리온제약,12,2022,Annual,37.98,6.89,19.33,40.51,68.09,"38,169,582","6,216,884",5.23,"311,917,985","211,998,455","242,741,273"
A058470,리노공업,12,2011,Annual,22.81,0.76,8.95,6.99,7.52,"23,432,594",0,18.98,"75,806,902","7,495,807","72,996,535"
