Symbol,Name,결산월,회계년,주기,현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/총자본(%),현금흐름/영업수익(%)
A247540,에코프로비엠,12,2011,Annual,,,,
A247540,에코프로비엠,12,2012,Annual,,,,
A247540,에코프로비엠,12,2013,Annual,,,,
A247540,에코프로비엠,12,2014,Annual,,,,
A247540,에코프로비엠,12,2015,Annual,,,,
A247540,에코프로비엠,12,2016,Annual,,,,15.96
A247540,에코프로비엠,12,2017,Annual,20.84,26.19,30.20,11.18
A247540,에코프로비엠,12,2018,Annual,24.47,35.24,43.03,10.07
A247540,에코프로비엠,12,2019,Annual,21.79,32.09,23.98,10.33
A247540,에코프로비엠,12,2020,Annual,27.39,41.51,20.01,9.80
A247540,에코프로비엠,12,2021,Annual,24.84,38.45,27.12,9.71
A247540,에코프로비엠,12,2022,Annual,21.88,39.58,28.51,5.55
A086520,에코프로,12,2011,Annual,10.68,12.52,15.19,11.41
A086520,에코프로,12,2012,Annual,10.74,11.94,14.31,13.15
A086520,에코프로,12,2013,Annual,4.73,5.34,6.28,7.85
A086520,에코프로,12,2014,Annual,14.96,16.90,20.73,18.84
A086520,에코프로,12,2015,Annual,13.87,16.09,17.70,14.72
A086520,에코프로,12,2016,Annual,6.73,8.31,7.12,5.75
A086520,에코프로,12,2017,Annual,7.41,9.42,9.03,4.91
A086520,에코프로,12,2018,Annual,20.05,28.59,33.69,10.48
A086520,에코프로,12,2019,Annual,13.65,19.08,18.43,8.91
A086520,에코프로,12,2020,Annual,12.84,18.50,14.57,8.87
A086520,에코프로,12,2021,Annual,25.26,40.64,26.51,20.14
A086520,에코프로,12,2022,Annual,6.90,11.67,7.41,2.77
A028300,HLB,12,2011,Annual,-15.71,-21.84,-24.75,-8.14
A028300,HLB,12,2012,Annual,-14.78,-21.86,-21.23,-8.79
A028300,HLB,12,2013,Annual,-25.66,-40.40,-33.90,-30.21
A028300,HLB,12,2014,Annual,-4.27,-6.09,-5.74,-2.98
A028300,HLB,12,2015,Annual,28.22,63.15,20.95,37.42
A028300,HLB,12,2016,Annual,-17.41,-64.54,-9.74,-38.54
A028300,HLB,12,2017,Annual,-21.73,-60.51,-12.54,-64.78
A028300,HLB,12,2018,Annual,31.61,58.80,16.53,73.82
A028300,HLB,12,2019,Annual,-31.51,-58.78,-21.17,-109.87
A028300,HLB,12,2020,Annual,-43.18,-96.92,-18.64,-123.90
A028300,HLB,12,2021,Annual,-45.24,-127.97,-16.10,-123.29
A028300,HLB,12,2022,Annual,-24.74,-59.06,-10.21,-34.41
A196170,알테오젠,12,2011,Annual,,,,
A196170,알테오젠,12,2012,Annual,,,,37.03
A196170,알테오젠,12,2013,Annual,82.59,141.50,35.22,31.35
A196170,알테오젠,12,2014,Annual,49.74,105.30,5.24,15.58
A196170,알테오젠,12,2015,Annual,95.82,377.44,3.82,30.09
A196170,알테오젠,12,2016,Annual,-181.97,,-7.72,-47.27
A196170,알테오젠,12,2017,Annual,-238.60,,-16.52,-58.04
A196170,알테오젠,12,2018,Annual,-160.94,-702.11,-11.86,-46.11
A196170,알테오젠,12,2019,Annual,2.61,6.99,0.39,0.91
A196170,알테오젠,12,2020,Annual,-24.39,-29.14,-21.34,-32.89
A196170,알테오젠,12,2021,Annual,-3.66,-4.03,-4.29,-10.64
A196170,알테오젠,12,2022,Annual,-4.84,-5.49,-3.97,-19.06
A348370,엔켐,12,2011,Annual,,,,
A348370,엔켐,12,2012,Annual,,,,
A348370,엔켐,12,2013,Annual,,,,-34.42
A348370,엔켐,12,2014,Annual,-3.68,-4.06,-15.39,-6.17
A348370,엔켐,12,2015,Annual,6.94,7.97,12.84,6.83
A348370,엔켐,12,2016,Annual,17.92,27.68,10.65,5.45
A348370,엔켐,12,2017,Annual,8.94,15.62,4.56,3.77
A348370,엔켐,12,2018,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),-1.71
A348370,엔켐,12,2019,Annual,-0.01,-0.01,-0.04,0.00
A348370,엔켐,12,2020,Annual,3.97,6.27,4.83,2.59
A348370,엔켐,12,2021,Annual,-11.11,-21.64,-8.93,-7.00
A348370,엔켐,12,2022,Annual,9.29,18.64,10.53,5.26
A068760,셀트리온제약,12,2011,Annual,7.11,15.29,4.03,10.93
A068760,셀트리온제약,12,2012,Annual,3.60,7.63,3.30,10.03
A068760,셀트리온제약,12,2013,Annual,2.00,2.69,2.25,6.96
A068760,셀트리온제약,12,2014,Annual,3.62,3.99,3.69,10.57
A068760,셀트리온제약,12,2015,Annual,-5.04,-5.60,-5.29,-14.41
A068760,셀트리온제약,12,2016,Annual,-4.57,-5.10,-3.85,-8.62
A068760,셀트리온제약,12,2017,Annual,8.74,10.57,5.24,11.00
A068760,셀트리온제약,12,2018,Annual,1.85,2.28,1.18,2.26
A068760,셀트리온제약,12,2019,Annual,11.58,14.00,7.86,12.46
A068760,셀트리온제약,12,2020,Annual,15.70,19.39,11.85,14.73
A068760,셀트리온제약,12,2021,Annual,18.41,27.25,16.11,12.78
A068760,셀트리온제약,12,2022,Annual,15.81,25.39,12.60,11.24
A058470,리노공업,12,2011,Annual,292.41,,23.24,34.53
A058470,리노공업,12,2012,Annual,343.71,,25.22,37.90
A058470,리노공업,12,2013,Annual,349.93,,23.03,37.27
A058470,리노공업,12,2014,Annual,382.96,,24.29,38.45
A058470,리노공업,12,2015,Annual,373.96,,22.93,38.55
A058470,리노공업,12,2016,Annual,323.43,,22.17,37.26
A058470,리노공업,12,2017,Annual,278.70,,22.31,33.81
A058470,리노공업,12,2018,Annual,298.43,,23.30,38.02
A058470,리노공업,12,2019,Annual,270.07,"48,150.19",21.74,35.93
A058470,리노공업,12,2020,Annual,263.57,"30,069.40",20.56,32.55
A058470,리노공업,12,2021,Annual,318.81,"53,037.39",30.76,41.45
A058470,리노공업,12,2022,Annual,295.30,"51,532.03",28.20,39.83
A403870,HPSP,12,2011,Annual,,,,
A403870,HPSP,12,2012,Annual,,,,
A403870,HPSP,12,2013,Annual,,,,
A403870,HPSP,12,2014,Annual,,,,
A403870,HPSP,12,2015,Annual,,,,
A403870,HPSP,12,2016,Annual,,,,
A403870,HPSP,12,2017,Annual,,,,37.20
A403870,HPSP,12,2018,Annual,-66.24,,-13.48,-96.00
A403870,HPSP,12,2019,Annual,242.02,,52.85,34.12
A403870,HPSP,12,2020,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),30.07
A403870,HPSP,12,2021,Annual,126.84,"1,949.60",83.25,39.53
A403870,HPSP,12,2022,Annual,128.52,"2,448.06",54.09,42.12
A277810,레인보우로보틱스,12,2011,Annual,,,,
A277810,레인보우로보틱스,12,2012,Annual,,,,
A277810,레인보우로보틱스,12,2013,Annual,,,,
A277810,레인보우로보틱스,12,2014,Annual,,,,
A277810,레인보우로보틱스,12,2015,Annual,,,,
A277810,레인보우로보틱스,12,2016,Annual,,,,21.22
A277810,레인보우로보틱스,12,2017,Annual,91.24,"2,490.66",8.30,17.85
A277810,레인보우로보틱스,12,2018,Annual,-384.12,"-7,026.48",-23.10,-285.40
A277810,레인보우로보틱스,12,2019,Annual,-523.16,"-15,909.73",-51.56,-300.08
A277810,레인보우로보틱스,12,2020,Annual,-30.62,-57.72,-12.55,-16.93
A277810,레인보우로보틱스,12,2021,Annual,-69.92,-84.55,-26.67,-81.03
A277810,레인보우로보틱스,12,2022,Annual,42.61,61.39,11.93,47.92
A039030,이오테크닉스,12,2011,Annual,34.66,72.74,15.06,16.79
A039030,이오테크닉스,12,2012,Annual,41.86,71.93,20.60,20.72
A039030,이오테크닉스,12,2013,Annual,44.56,66.06,22.57,21.48
A039030,이오테크닉스,12,2014,Annual,55.08,85.04,22.79,19.53
A039030,이오테크닉스,12,2015,Annual,46.30,79.61,13.24,14.35
A039030,이오테크닉스,12,2016,Annual,45.44,95.97,11.17,11.39
A039030,이오테크닉스,12,2017,Annual,69.24,206.54,16.56,14.00
A039030,이오테크닉스,12,2018,Annual,54.47,127.46,9.33,11.74
A039030,이오테크닉스,12,2019,Annual,51.51,125.70,6.82,12.76
A039030,이오테크닉스,12,2020,Annual,55.80,269.55,8.61,10.64
A039030,이오테크닉스,12,2021,Annual,108.45,679.34,18.50,21.17
A039030,이오테크닉스,12,2022,Annual,109.13,693.99,16.84,19.28
A065350,신성델타테크,12,2011,Annual,3.00,5.38,5.38,1.53
A065350,신성델타테크,12,2012,Annual,7.84,13.36,14.34,4.20
A065350,신성델타테크,12,2013,Annual,9.00,14.68,15.73,4.87
A065350,신성델타테크,12,2014,Annual,6.08,9.42,11.19,3.76
A065350,신성델타테크,12,2015,Annual,8.32,12.73,16.77,4.45
A065350,신성델타테크,12,2016,Annual,4.40,6.93,9.91,2.55
A065350,신성델타테크,12,2017,Annual,10.19,17.45,21.18,4.98
A065350,신성델타테크,12,2018,Annual,6.95,12.71,12.40,3.39
A065350,신성델타테크,12,2019,Annual,8.26,14.74,13.77,3.91
A065350,신성델타테크,12,2020,Annual,8.78,15.78,13.78,4.14
A065350,신성델타테크,12,2021,Annual,13.73,26.39,21.92,5.32
A065350,신성델타테크,12,2022,Annual,9.19,16.75,16.48,4.26
A005290,동진쎄미켐,12,2011,Annual,4.24,4.88,12.23,3.65
A005290,동진쎄미켐,12,2012,Annual,7.97,9.15,26.19,6.14
A005290,동진쎄미켐,12,2013,Annual,7.51,8.73,25.97,5.41
A005290,동진쎄미켐,12,2014,Annual,9.17,10.76,32.12,6.65
A005290,동진쎄미켐,12,2015,Annual,11.36,13.46,35.78,7.80
A005290,동진쎄미켐,12,2016,Annual,21.08,25.51,54.27,13.03
A005290,동진쎄미켐,12,2017,Annual,20.05,24.97,37.12,10.98
A005290,동진쎄미켐,12,2018,Annual,19.50,25.07,29.04,10.06
A005290,동진쎄미켐,12,2019,Annual,21.49,28.35,30.15,11.48
A005290,동진쎄미켐,12,2020,Annual,26.19,35.18,32.91,14.01
A005290,동진쎄미켐,12,2021,Annual,26.51,36.95,30.46,13.10
A005290,동진쎄미켐,12,2022,Annual,32.28,46.26,33.22,14.38
A214150,클래시스,12,2011,Annual,,,,
A214150,클래시스,12,2012,Annual,,,,-1.41
A214150,클래시스,12,2013,Annual,,,,
A214150,클래시스,12,2014,Annual,,,,
A214150,클래시스,12,2015,Annual,,,,31.87
A214150,클래시스,12,2016,Annual,160.67,"43,318.01",56.20,26.38
A214150,클래시스,12,2017,Annual,-29.05,-47.04,-19.08,-14.07
A214150,클래시스,12,2018,Annual,59.29,86.08,36.28,32.90
