Symbol,Name,결산월,회계년,주기,총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),매출채권(천원),매출액(천원),매출원가(천원),재고자산(천원)
A247540,에코프로비엠,12,2011,Annual,,,,,,,,
A247540,에코프로비엠,12,2012,Annual,,,,,,,,
A247540,에코프로비엠,12,2013,Annual,,,,,,,,
A247540,에코프로비엠,12,2014,Annual,,,,,,,,
A247540,에코프로비엠,12,2015,Annual,,,,,,,,
A247540,에코프로비엠,12,2016,Annual,,,,,"25,039,163","99,849,156","81,978,326","47,626,075"
A247540,에코프로비엠,12,2017,Annual,1.10,1.86,2.70,37.40,0,"289,870,411","245,197,734","63,007,222"
A247540,에코프로비엠,12,2018,Annual,1.55,2.43,4.27,74.23,"49,271,859","589,185,698","509,610,875","138,721,495"
A247540,에코프로비엠,12,2019,Annual,1.11,2.11,2.32,66.95,"56,895,445","616,085,055","542,997,888","158,862,987"
A247540,에코프로비엠,12,2020,Annual,1.18,2.79,2.04,82.20,"79,193,560","854,748,844","749,175,488","156,816,260"
A247540,에코프로비엠,12,2021,Annual,1.34,2.56,2.79,135.20,"247,398,853","1,485,628,624","1,295,494,963","339,395,879"
A247540,에코프로비엠,12,2022,Annual,2.23,3.95,5.14,177.40,"877,390,703","5,357,607,239","4,841,442,892","856,392,214"
A086520,에코프로,12,2011,Annual,0.55,0.94,1.33,14.49,"8,435,656","87,620,611","74,547,399","32,834,986"
A086520,에코프로,12,2012,Annual,0.47,0.82,1.09,12.44,"15,375,710","79,761,920","66,225,089","33,360,126"
A086520,에코프로,12,2013,Annual,0.34,0.60,0.80,8.83,"13,400,414","59,580,666","49,010,896","30,063,924"
A086520,에코프로,12,2014,Annual,0.46,0.79,1.10,11.87,"15,255,723","83,223,658","64,567,440","32,570,046"
A086520,에코프로,12,2015,Annual,0.53,0.94,1.20,13.85,"22,194,551","107,266,374","89,163,970","31,528,524"
A086520,에코프로,12,2016,Annual,0.60,1.17,1.24,17.79,"32,079,244","170,483,368","141,696,621","60,581,411"
A086520,에코프로,12,2017,Annual,0.83,1.51,1.84,30.29,"41,666,799","329,012,475","273,769,149","75,677,762"
A086520,에코프로,12,2018,Annual,1.20,1.91,3.22,60.61,"73,488,129","669,407,171","561,195,376","165,204,748"
A086520,에코프로,12,2019,Annual,0.88,1.53,2.07,63.58,"64,676,184","702,272,501","592,082,563","231,243,997"
A086520,에코프로,12,2020,Annual,0.77,1.45,1.64,77.03,"98,996,200","850,811,989","723,868,960","226,880,894"
A086520,에코프로,12,2021,Annual,0.64,1.25,1.32,130.61,"285,512,990","1,504,191,411","1,272,411,327","467,391,658"
A086520,에코프로,12,2022,Annual,1.29,2.49,2.67,458.21,"952,161,152","5,639,741,327","4,844,673,247","1,270,354,915"
A028300,HLB,12,2011,Annual,1.18,1.93,3.04,7.64,"8,072,792","69,517,785","57,237,543","6,943,070"
A028300,HLB,12,2012,Annual,0.99,1.68,2.41,5.01,"8,500,363","51,641,815","44,535,222","7,565,256"
A028300,HLB,12,2013,Annual,0.48,0.85,1.12,1.76,"5,654,339","20,807,718","18,264,543","4,540,528"
A028300,HLB,12,2014,Annual,0.82,1.43,1.93,2.82,"7,970,097","37,185,748","31,214,556","7,673,624"
A028300,HLB,12,2015,Annual,0.32,0.75,0.56,2.46,"4,804,069","38,460,684","32,431,195","5,305,831"
A028300,HLB,12,2016,Annual,0.16,0.45,0.25,1.72,"2,929,114","30,138,867","25,867,915","3,854,580"
A028300,HLB,12,2017,Annual,0.12,0.34,0.19,1.27,"3,241,079","23,006,912","20,815,764","4,142,909"
A028300,HLB,12,2018,Annual,0.15,0.43,0.22,1.92,"6,528,554","36,185,983","29,700,114","3,860,254"
A028300,HLB,12,2019,Annual,0.12,0.29,0.19,1.88,"6,583,621","38,420,748","34,484,127","4,918,446"
A028300,HLB,12,2020,Annual,0.11,0.35,0.15,2.35,"11,746,776","56,177,401","45,869,164","4,874,065"
A028300,HLB,12,2021,Annual,0.10,0.37,0.13,1.75,"34,034,508","69,825,991","48,758,568","13,810,969"
A028300,HLB,12,2022,Annual,0.21,0.72,0.30,3.22,"15,140,287","179,707,913","113,463,199","12,343,614"
A196170,알테오젠,12,2011,Annual,,,,,,,,
A196170,알테오젠,12,2012,Annual,,,,,"1,113,637","3,959,774","541,693",0
A196170,알테오젠,12,2013,Annual,0.79,2.63,1.12,6.21,"278,093","5,527,341","1,751,680",0
A196170,알테오젠,12,2014,Annual,0.30,3.19,0.34,3.41,"687,404","7,042,578","3,166,893",0
A196170,알테오젠,12,2015,Annual,0.12,3.18,0.13,1.65,0,"4,726,609","1,266,965",0
A196170,알테오젠,12,2016,Annual,0.16,3.85,0.16,2.25,"1,370,620","6,843,720","6,214,361","195,069"
A196170,알테오젠,12,2017,Annual,0.27,4.11,0.28,2.57,"1,326,210","12,104,356","11,069,372","216,147"
A196170,알테오젠,12,2018,Annual,0.24,3.49,0.26,2.08,"1,805,320","13,703,079","11,745,869","475,788"
A196170,알테오젠,12,2019,Annual,0.37,2.86,0.43,4.23,"996,034","29,229,182","18,129,093","881,574"
A196170,알테오젠,12,2020,Annual,0.35,0.74,0.65,4.04,"1,556,220","42,425,842","23,670,122","459,663"
A196170,알테오젠,12,2021,Annual,0.19,0.34,0.40,2.18,"2,075,504","38,745,944","32,956,780","1,048,885"
A196170,알테오젠,12,2022,Annual,0.11,0.25,0.21,1.21,"7,307,825","28,806,344","24,275,250","1,574,690"
A348370,엔켐,12,2011,Annual,,,,,,,,
A348370,엔켐,12,2012,Annual,,,,,,,,
A348370,엔켐,12,2013,Annual,,,,,"484,947","2,048,729","2,338,167","860,843"
A348370,엔켐,12,2014,Annual,0.48,0.60,2.49,3.76,"1,374,344","4,981,346","4,855,075","993,528"
A348370,엔켐,12,2015,Annual,0.66,1.02,1.88,4.45,"1,961,468","6,616,003","5,831,461","2,119,049"
A348370,엔켐,12,2016,Annual,1.23,3.29,1.96,10.21,"3,585,407","20,695,242","18,381,587","6,560,099"
A348370,엔켐,12,2017,Annual,0.80,2.37,1.21,8.68,"3,342,147","22,095,964","19,302,924","6,894,028"
A348370,엔켐,12,2018,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),"7,350,831","36,860,147","31,025,080","12,353,927"
A348370,엔켐,12,2019,Annual,0.93,1.07,7.26,47.61,"26,287,700","88,067,600","69,578,820","24,002,541"
A348370,엔켐,12,2020,Annual,0.84,1.53,1.86,32.30,"42,471,809","138,887,788","114,453,713","27,725,764"
A348370,엔켐,12,2021,Annual,0.71,1.59,1.27,31.70,"63,100,239","214,329,714","217,770,724","62,969,341"
A348370,엔켐,12,2022,Annual,0.94,1.76,2.00,65.76,"122,896,363","509,792,825","458,951,312","127,592,199"
A068760,셀트리온제약,12,2011,Annual,0.24,0.65,0.37,7.57,"26,168,195","46,494,422","14,823,302","49,797,061"
A068760,셀트리온제약,12,2012,Annual,0.17,0.36,0.33,7.11,"29,789,827","46,967,596","15,166,127","84,372,086"
A068760,셀트리온제약,12,2013,Annual,0.15,0.29,0.32,7.38,"34,685,001","52,657,248","17,083,909","82,315,462"
A068760,셀트리온제약,12,2014,Annual,0.17,0.34,0.35,8.02,"39,657,294","66,744,354","23,495,314","75,925,522"
A068760,셀트리온제약,12,2015,Annual,0.18,0.35,0.37,7.52,"42,799,356","74,732,429","26,840,810","73,742,254"
A068760,셀트리온제약,12,2016,Annual,0.24,0.53,0.45,7.98,"80,707,818","104,811,184","62,850,592","65,871,749"
A068760,셀트리온제약,12,2017,Annual,0.30,0.79,0.48,8.36,"123,466,411","135,860,256","77,574,644","65,242,661"
A068760,셀트리온제약,12,2018,Annual,0.32,0.82,0.52,8.72,"132,727,504","146,880,154","106,290,937","42,017,420"
A068760,셀트리온제약,12,2019,Annual,0.38,0.93,0.63,10.18,"138,776,342","173,512,797","111,045,996","33,101,847"
A068760,셀트리온제약,12,2020,Annual,0.46,1.07,0.80,13.37,"140,466,170","233,568,478","160,404,142","55,013,900"
A068760,셀트리온제약,12,2021,Annual,0.67,1.44,1.26,22.04,"172,429,070","398,738,209","279,484,977","63,886,907"
A068760,셀트리온제약,12,2022,Annual,0.62,1.41,1.12,20.80,"185,765,541","386,039,613","273,265,650","69,176,711"
A058470,리노공업,12,2011,Annual,0.62,8.47,0.67,16.47,"11,071,199","66,049,988","36,704,497","2,810,367"
A058470,리노공업,12,2012,Annual,0.62,9.07,0.67,18.75,"12,863,660","75,222,218","40,811,073","2,856,314"
A058470,리노공업,12,2013,Annual,0.58,9.39,0.62,13.86,"13,544,143","80,639,505","43,843,381","3,981,318"
A058470,리노공업,12,2014,Annual,0.59,9.96,0.63,12.26,"15,852,810","93,421,913","51,138,162","4,540,765"
A058470,리노공업,12,2015,Annual,0.56,9.70,0.59,13.05,"14,247,682","99,475,355","53,890,367","4,600,574"
A058470,리노공업,12,2016,Annual,0.56,8.68,0.60,14.80,"17,047,901","112,788,734","63,758,360","5,565,005"
A058470,리노공업,12,2017,Annual,0.61,8.24,0.66,18.57,"23,889,621","141,510,913","81,881,083","7,954,992"
A058470,리노공업,12,2018,Annual,0.57,7.85,0.61,19.73,"27,108,745","150,354,373","82,354,588","9,434,984"
A058470,리노공업,12,2019,Annual,0.56,7.52,0.60,22.35,"42,352,717","170,307,405","96,152,845","11,123,165"
A058470,리노공업,12,2020,Annual,0.59,8.10,0.63,26.42,"29,113,650","201,335,459","112,557,858","12,348,852"
A058470,리노공업,12,2021,Annual,0.68,7.69,0.74,36.76,"35,370,079","280,166,833","148,928,526","11,596,904"
A058470,리노공업,12,2022,Annual,0.65,7.41,0.71,42.31,"39,326,047","322,422,803","167,794,521","13,111,076"
A403870,HPSP,12,2011,Annual,,,,,,,,
A403870,HPSP,12,2012,Annual,,,,,,,,
A403870,HPSP,12,2013,Annual,,,,,,,,
A403870,HPSP,12,2014,Annual,,,,,,,,
A403870,HPSP,12,2015,Annual,,,,,,,,
A403870,HPSP,12,2016,Annual,,,,,,,,
A403870,HPSP,12,2017,Annual,,,,,"2,938,137","28,203,402","9,744,612","2,007,100"
A403870,HPSP,12,2018,Annual,0.12,0.69,0.14,1.17,"222,727","2,362,335","1,747,880","4,777,547"
A403870,HPSP,12,2019,Annual,1.27,7.09,1.55,12.40,"3,512,683","25,114,953","10,356,025","5,624,761"
A403870,HPSP,12,2020,Annual,N/A(IFRS),N/A(IFRS),N/A(IFRS),N/A(IFRS),"532,364","61,174,375","20,167,710","8,473,400"
