Symbol,Name,결산월,회계년,주기,총자본(천원),총부채(천원)
A005930,삼성전자,12,2011,Annual,"101,313,630,000","54,486,633,000"
A005930,삼성전자,12,2012,Annual,"121,480,206,000","59,591,364,000"
A005930,삼성전자,12,2013,Annual,"150,016,010,000","64,059,008,000"
A005930,삼성전자,12,2014,Annual,"168,088,188,000","62,334,770,000"
A005930,삼성전자,12,2015,Annual,"179,059,805,000","63,119,716,000"
A005930,삼성전자,12,2016,Annual,"192,963,033,000","69,211,291,000"
A005930,삼성전자,12,2017,Annual,"214,491,428,000","87,260,662,000"
A005930,삼성전자,12,2018,Annual,"247,753,177,000","91,604,067,000"
A005930,삼성전자,12,2019,Annual,"262,880,421,000","89,684,076,000"
A005930,삼성전자,12,2020,Annual,"275,948,016,000","102,287,702,000"
A005930,삼성전자,12,2021,Annual,"304,899,931,000","121,721,227,000"
A005930,삼성전자,12,2022,Annual,"354,749,604,000","93,674,903,000"
A000660,SK하이닉스,12,2011,Annual,"7,875,271,000","9,362,877,000"
A000660,SK하이닉스,12,2012,Annual,"9,739,442,000","8,909,251,000"
A000660,SK하이닉스,12,2013,Annual,"13,066,859,000","7,730,439,000"
A000660,SK하이닉스,12,2014,Annual,"18,036,303,000","8,846,975,000"
A000660,SK하이닉스,12,2015,Annual,"21,387,703,000","8,290,203,000"
A000660,SK하이닉스,12,2016,Annual,"24,023,530,000","8,192,496,000"
A000660,SK하이닉스,12,2017,Annual,"33,820,919,000","11,597,545,000"
A000660,SK하이닉스,12,2018,Annual,"46,852,331,000","16,806,004,000"
A000660,SK하이닉스,12,2019,Annual,"47,935,882,000","17,312,468,000"
A000660,SK하이닉스,12,2020,Annual,"51,909,097,000","19,264,756,000"
A000660,SK하이닉스,12,2021,Annual,"62,191,058,000","34,155,467,000"
A000660,SK하이닉스,12,2022,Annual,"63,290,542,000","40,580,970,000"
A373220,LG에너지솔루션,12,2011,Annual,,
A373220,LG에너지솔루션,12,2012,Annual,,
A373220,LG에너지솔루션,12,2013,Annual,,
A373220,LG에너지솔루션,12,2014,Annual,,
A373220,LG에너지솔루션,12,2015,Annual,,
A373220,LG에너지솔루션,12,2016,Annual,,
A373220,LG에너지솔루션,12,2017,Annual,,
A373220,LG에너지솔루션,12,2018,Annual,,
A373220,LG에너지솔루션,12,2019,Annual,,
A373220,LG에너지솔루션,12,2020,Annual,"7,565,405,000","12,376,390,000"
A373220,LG에너지솔루션,12,2021,Annual,"8,742,373,000","15,021,764,000"
A373220,LG에너지솔루션,12,2022,Annual,"20,593,762,000","17,705,683,000"
A207940,삼성바이오로직스,12,2011,Annual,"142,006,147","42,341,620"
A207940,삼성바이오로직스,12,2012,Annual,"456,382,283","113,896,302"
A207940,삼성바이오로직스,12,2013,Annual,"400,095,798","253,329,866"
A207940,삼성바이오로직스,12,2014,Annual,"662,114,006","695,181,201"
A207940,삼성바이오로직스,12,2015,Annual,"2,774,834,159","3,185,659,558"
A207940,삼성바이오로직스,12,2016,Annual,"4,082,379,460","3,450,636,647"
A207940,삼성바이오로직스,12,2017,Annual,"3,976,450,892","3,206,640,270"
A207940,삼성바이오로직스,12,2018,Annual,"4,155,468,451","1,824,940,197"
A207940,삼성바이오로직스,12,2019,Annual,"4,354,453,745","1,557,172,767"
A207940,삼성바이오로직스,12,2020,Annual,"4,598,783,172","1,825,417,993"
A207940,삼성바이오로직스,12,2021,Annual,"4,991,102,141","2,978,908,646"
A207940,삼성바이오로직스,12,2022,Annual,"8,984,474,395","7,597,575,863"
A005380,현대차,12,2011,Annual,"40,327,702,000","69,152,273,000"
A005380,현대차,12,2012,Annual,"47,917,575,000","73,620,239,000"
