Symbol,Name,결산월,회계년,주기,매출액(천원),매출채권(천원),매출원가(천원),유동자산(천원),재고자산(천원),유형자산(천원),총자산(천원),판매비와관리비(천원),당기순이익(천원),유동부채(천원),비유동부채(천원),영업활동으로인한현금흐름(천원),영업이익(천원),유무형자산상각비(천원)
A005930,삼성전자,12,2011,Annual,"165,001,771,000","21,882,127,000","112,145,120,000","71,502,063,000","15,716,715,000","62,043,951,000","155,800,263,000","37,212,360,000","13,759,043,000","44,319,014,000","10,167,619,000","22,917,901,000","15,644,291,000","668,620,000"
A005930,삼성전자,12,2012,Annual,"201,103,613,000","23,861,235,000","126,651,931,000","87,269,017,000","17,747,413,000","68,484,743,000","181,071,570,000","45,402,344,000","23,845,285,000","46,933,052,000","12,658,312,000","37,972,809,000","29,049,338,000","795,989,000"
A005930,삼성전자,12,2013,Annual,"228,692,667,000","24,988,532,000","137,696,309,000","110,760,271,000","19,134,868,000","75,496,388,000","214,075,018,000","54,211,345,000","30,474,764,000","51,315,409,000","12,743,599,000","46,707,440,000","36,785,013,000","957,931,000"
A005930,삼성전자,12,2014,Annual,"206,205,987,000","24,694,610,000","128,278,800,000","115,146,026,000","17,317,504,000","80,872,950,000","230,422,958,000","52,902,116,000","23,394,358,000","52,013,913,000","10,320,857,000","36,975,389,000","25,025,071,000","1,070,426,000"
A005930,삼성전자,12,2015,Annual,"200,653,482,000","25,168,026,000","123,482,118,000","124,814,725,000","18,811,794,000","86,477,110,000","242,179,521,000","50,757,922,000","19,060,144,000","50,502,909,000","12,616,807,000","40,061,761,000","26,413,442,000","970,591,000"
A005930,삼성전자,12,2016,Annual,"201,866,745,000","24,279,211,000","120,277,715,000","141,429,704,000","18,353,503,000","91,473,041,000","262,174,324,000","52,348,358,000","22,726,092,000","54,704,095,000","14,507,196,000","47,385,644,000","29,240,672,000","1,001,816,000"
A005930,삼성전자,12,2017,Annual,"239,575,376,000","27,695,995,000","129,290,661,000","146,982,464,000","24,983,355,000","111,665,648,000","301,752,090,000","56,639,677,000","42,186,747,000","67,175,114,000","20,085,548,000","62,162,041,000","53,645,038,000","1,336,620,000"
A005930,삼성전자,12,2018,Annual,"243,771,415,000","33,867,733,000","132,394,411,000","174,697,424,000","28,984,704,000","115,416,724,000","339,357,244,000","52,490,335,000","44,344,857,000","69,081,510,000","22,522,557,000","67,031,863,000","58,886,669,000","1,447,690,000"
A005930,삼성전자,12,2019,Annual,"230,400,881,000","35,131,343,000","147,239,549,000","181,385,260,000","26,766,464,000","119,825,474,000","352,564,497,000","55,392,823,000","21,738,865,000","63,782,764,000","25,901,312,000","45,382,915,000","27,768,509,000","2,040,817,000"
A005930,삼성전자,12,2020,Annual,"236,806,988,000","30,965,058,000","144,488,296,000","198,215,579,000","32,043,145,000","128,952,892,000","378,235,718,000","56,324,816,000","26,407,832,000","75,604,351,000","26,683,351,000","65,287,009,000","35,993,876,000","2,085,679,000"
