Symbol,Name,결산월,회계년,주기,고정자산회전율,매출액(천원),비유동자산(천원)
A005930,삼성전자,12,2011,Annual,1.957358176,1.65E+11,84298200000
A005930,삼성전자,12,2012,Annual,2.143903407,2.01E+11,93802553000
A005930,삼성전자,12,2013,Annual,2.213552989,2.29E+11,1.03E+11
A005930,삼성전자,12,2014,Annual,1.788787951,2.06E+11,1.15E+11
A005930,삼성전자,12,2015,Annual,1.709656463,2.01E+11,1.17E+11
A005930,삼성전자,12,2016,Annual,1.671848775,2.02E+11,1.21E+11
A005930,삼성전자,12,2017,Annual,1.547948278,2.40E+11,1.55E+11
A005930,삼성전자,12,2018,Annual,1.480454764,2.44E+11,1.65E+11
A005930,삼성전자,12,2019,Annual,1.345962776,2.30E+11,1.71E+11
A005930,삼성전자,12,2020,Annual,1.315447201,2.37E+11,1.80E+11
A005930,삼성전자,12,2021,Annual,1.341300575,2.80E+11,2.08E+11
A005930,삼성전자,12,2022,Annual,1.314312677,3.02E+11,2.30E+11
A000660,SK하이닉스,12,2011,Annual,0.845098704,10395811000,12301298000
A000660,SK하이닉스,12,2012,Annual,0.762063633,10162210000,13335120000
A000660,SK하이닉스,12,2013,Annual,1.00147962,14165102000,14144174000
A000660,SK하이닉스,12,2014,Annual,1.036671347,17125566000,16519764000
A000660,SK하이닉스,12,2015,Annual,0.94377523,18797998000,19917876000
A000660,SK하이닉스,12,2016,Annual,0.768554372,17197975000,22377044000
A000660,SK하이닉스,12,2017,Annual,1.071204375,30109434000,28108020000
A000660,SK하이닉스,12,2018,Annual,0.924158928,40445066000,43764189000
A000660,SK하이닉스,12,2019,Annual,0.531410425,26990733000,50790748000
A000660,SK하이닉스,12,2020,Annual,0.58422571,31900418000,54602900000
A000660,SK하이닉스,12,2021,Annual,0.619212739,42997792000,69439450000
A000660,SK하이닉스,12,2022,Annual,0.593860112,44621568000,75138180000
A373220,LG에너지솔루션,12,2011,Annual,,,
A373220,LG에너지솔루션,12,2012,Annual,,,
A373220,LG에너지솔루션,12,2013,Annual,,,
A373220,LG에너지솔루션,12,2014,Annual,,,
A373220,LG에너지솔루션,12,2015,Annual,,,
A373220,LG에너지솔루션,12,2016,Annual,,,
A373220,LG에너지솔루션,12,2017,Annual,,,
A373220,LG에너지솔루션,12,2018,Annual,,,
A373220,LG에너지솔루션,12,2019,Annual,,,
A373220,LG에너지솔루션,12,2020,Annual,0.134585116,1461068000,10856089000
A373220,LG에너지솔루션,12,2021,Annual,1.254675081,17851906000,14228310000
A373220,LG에너지솔루션,12,2022,Annual,1.313074014,25598609000,19495176000
A207940,삼성바이오로직스,12,2011,Annual,0,0,87367707
A207940,삼성바이오로직스,12,2012,Annual,0,0,335240573
A207940,삼성바이오로직스,12,2013,Annual,0.084019568,43747005,520676387
A207940,삼성바이오로직스,12,2014,Annual,0.089450588,105399040,1178293432
A207940,삼성바이오로직스,12,2015,Annual,0.015825889,91278029,5767639822
A207940,삼성바이오로직스,12,2016,Annual,0.048524682,294622021,6071590930
A207940,삼성바이오로직스,12,2017,Annual,0.070805019,464629334,6562096028
A207940,삼성바이오로직스,12,2018,Annual,0.121698677,535805801,4402724933
A207940,삼성바이오로직스,12,2019,Annual,0.154014417,701591860,4555364848
A207940,삼성바이오로직스,12,2020,Annual,0.24926456,1164776874,4672853917
A207940,삼성바이오로직스,12,2021,Annual,0.304654567,1568006928,5146835462
A207940,삼성바이오로직스,12,2022,Annual,0.296441969,3001295198,10124393691
A005380,현대차,12,2011,Annual,1.805005983,77797895000,43101184000
A005380,현대차,12,2012,Annual,1.757462196,84469721000,48063464000
A005380,현대차,12,2013,Annual,1.595232321,87307636000,54730358000
A005380,현대차,12,2014,Annual,1.470367003,89256319000,60703429000
A005380,현대차,12,2015,Annual,1.254902042,91958736000,73279613000
A005380,현대차,12,2016,Annual,1.178444759,93649024000,79468319000
A005380,현대차,12,2017,Annual,1.226288103,96376079000,78591710000
A005380,현대차,12,2018,Annual,1.225312027,96812609000,79010576000
A005380,현대차,12,2019,Annual,1.224640919,1.06E+11,86348921000
A005380,현대차,12,2020,Annual,1.173937585,1.04E+11,88588697000
A005380,현대차,12,2021,Annual,1.180775957,1.18E+11,99604523000
A005380,현대차,12,2022,Annual,1.328186839,1.42E+11,1.07E+11
A000270,기아,12,2011,Annual,2.25187487,43190942000,19179992000
A000270,기아,12,2012,Annual,2.222267782,47242933000,21258884000
A000270,기아,12,2013,Annual,2.095932285,47597897000,22709654000
A000270,기아,12,2014,Annual,1.931093251,47097049000,24388801000
A000270,기아,12,2015,Annual,1.794949308,49521447000,27589329000
A000270,기아,12,2016,Annual,1.75844272,52712906000,29977039000
A000270,기아,12,2017,Annual,1.746543553,53535680000,30652359000
A000270,기아,12,2018,Annual,1.688858211,54169813000,32074814000
A000270,기아,12,2019,Annual,1.720835232,58145959000,33789382000
