Symbol,Name,결산월,회계년,주기,총부채(천원)
A005930,삼성전자,12,2011,Annual,"54,486,633,000"
A005930,삼성전자,12,2012,Annual,"59,591,364,000"
A005930,삼성전자,12,2013,Annual,"64,059,008,000"
A005930,삼성전자,12,2014,Annual,"62,334,770,000"
A005930,삼성전자,12,2015,Annual,"63,119,716,000"
A005930,삼성전자,12,2016,Annual,"69,211,291,000"
A005930,삼성전자,12,2017,Annual,"87,260,662,000"
A005930,삼성전자,12,2018,Annual,"91,604,067,000"
A005930,삼성전자,12,2019,Annual,"89,684,076,000"
A005930,삼성전자,12,2020,Annual,"102,287,702,000"
A005930,삼성전자,12,2021,Annual,"121,721,227,000"
A005930,삼성전자,12,2022,Annual,"93,674,903,000"
A000660,SK하이닉스,12,2011,Annual,"9,362,877,000"
A000660,SK하이닉스,12,2012,Annual,"8,909,251,000"
A000660,SK하이닉스,12,2013,Annual,"7,730,439,000"
A000660,SK하이닉스,12,2014,Annual,"8,846,975,000"
A000660,SK하이닉스,12,2015,Annual,"8,290,203,000"
A000660,SK하이닉스,12,2016,Annual,"8,192,496,000"
A000660,SK하이닉스,12,2017,Annual,"11,597,545,000"
A000660,SK하이닉스,12,2018,Annual,"16,806,004,000"
A000660,SK하이닉스,12,2019,Annual,"17,312,468,000"
A000660,SK하이닉스,12,2020,Annual,"19,264,756,000"
A000660,SK하이닉스,12,2021,Annual,"34,155,467,000"
A000660,SK하이닉스,12,2022,Annual,"40,580,970,000"
A373220,LG에너지솔루션,12,2011,Annual,
A373220,LG에너지솔루션,12,2012,Annual,
A373220,LG에너지솔루션,12,2013,Annual,
A373220,LG에너지솔루션,12,2014,Annual,
A373220,LG에너지솔루션,12,2015,Annual,
A373220,LG에너지솔루션,12,2016,Annual,
A373220,LG에너지솔루션,12,2017,Annual,
A373220,LG에너지솔루션,12,2018,Annual,
A373220,LG에너지솔루션,12,2019,Annual,
A373220,LG에너지솔루션,12,2020,Annual,"12,376,390,000"
A373220,LG에너지솔루션,12,2021,Annual,"15,021,764,000"
A373220,LG에너지솔루션,12,2022,Annual,"17,705,683,000"
A207940,삼성바이오로직스,12,2011,Annual,"42,341,620"
A207940,삼성바이오로직스,12,2012,Annual,"113,896,302"
A207940,삼성바이오로직스,12,2013,Annual,"253,329,866"
A207940,삼성바이오로직스,12,2014,Annual,"695,181,201"
A207940,삼성바이오로직스,12,2015,Annual,"3,185,659,558"
A207940,삼성바이오로직스,12,2016,Annual,"3,450,636,647"
A207940,삼성바이오로직스,12,2017,Annual,"3,206,640,270"
A207940,삼성바이오로직스,12,2018,Annual,"1,824,940,197"
A207940,삼성바이오로직스,12,2019,Annual,"1,557,172,767"
A207940,삼성바이오로직스,12,2020,Annual,"1,825,417,993"
A207940,삼성바이오로직스,12,2021,Annual,"2,978,908,646"
A207940,삼성바이오로직스,12,2022,Annual,"7,597,575,863"
A005380,현대차,12,2011,Annual,"69,152,273,000"
A005380,현대차,12,2012,Annual,"73,620,239,000"
A005380,현대차,12,2013,Annual,"76,838,690,000"
A005380,현대차,12,2014,Annual,"84,604,552,000"
A005380,현대차,12,2015,Annual,"98,486,545,000"
A005380,현대차,12,2016,Annual,"106,491,350,000"
A005380,현대차,12,2017,Annual,"103,442,100,000"
A005380,현대차,12,2018,Annual,"106,759,742,000"
A005380,현대차,12,2019,Annual,"118,146,466,000"
A005380,현대차,12,2020,Annual,"133,003,242,000"
A005380,현대차,12,2021,Annual,"151,330,626,000"
A005380,현대차,12,2022,Annual,"164,845,917,000"
A000270,기아,12,2011,Annual,"16,745,469,000"
A000270,기아,12,2012,Annual,"15,550,252,000"
A000270,기아,12,2013,Annual,"15,927,245,000"
A000270,기아,12,2014,Annual,"18,560,337,000"
A000270,기아,12,2015,Annual,"21,776,082,000"
A000270,기아,12,2016,Annual,"24,309,836,000"
A000270,기아,12,2017,Annual,"25,433,261,000"
A000270,기아,12,2018,Annual,"24,543,141,000"
A000270,기아,12,2019,Annual,"26,366,660,000"
A000270,기아,12,2020,Annual,"30,598,771,000"
A000270,기아,12,2021,Annual,"31,937,441,000"
A000270,기아,12,2022,Annual,"34,367,884,000"
A068270,셀트리온,12,2011,Annual,"507,766,814"
A068270,셀트리온,12,2012,Annual,"682,765,148"
A068270,셀트리온,12,2013,Annual,"891,376,234"
A068270,셀트리온,12,2014,Annual,"974,603,694"
A068270,셀트리온,12,2015,Annual,"938,389,810"
A068270,셀트리온,12,2016,Annual,"822,974,207"
A068270,셀트리온,12,2017,Annual,"883,598,311"
A068270,셀트리온,12,2018,Annual,"907,848,812"
A068270,셀트리온,12,2019,Annual,"986,733,418"
A068270,셀트리온,12,2020,Annual,"1,592,540,900"
A068270,셀트리온,12,2021,Annual,"1,623,747,846"
A068270,셀트리온,12,2022,Annual,"1,617,448,041"
A005490,POSCO홀딩스,12,2011,Annual,"37,678,917,498"
A005490,POSCO홀딩스,12,2012,Annual,"36,836,432,389"
A005490,POSCO홀딩스,12,2013,Annual,"38,633,376,655"
A005490,POSCO홀딩스,12,2014,Annual,"39,960,808,435"
A005490,POSCO홀딩스,12,2015,Annual,"35,338,537,276"
A005490,POSCO홀딩스,12,2016,Annual,"33,924,600,214"
A005490,POSCO홀딩스,12,2017,Annual,"31,560,950,539"
A005490,POSCO홀딩스,12,2018,Annual,"31,488,714,346"
