Symbol,Name,결산월,회계년,주기,매출액증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%)
A005930,삼성전자,12,2011,Annual,6.71,13.39,17.14,-5.88,-14.79
A005930,삼성전자,12,2012,Annual,21.88,19.91,10.38,85.69,73.31
A005930,삼성전자,12,2013,Annual,13.72,23.49,10.24,26.63,27.8
A005930,삼성전자,12,2014,Annual,-9.83,12.05,7.12,-31.97,-23.23
A005930,삼성전자,12,2015,Annual,-2.69,6.53,6.93,5.55,-18.53
A005930,삼성전자,12,2016,Annual,0.6,7.76,5.78,10.7,19.23
A005930,삼성전자,12,2017,Annual,18.68,11.16,22.07,83.46,85.63
A005930,삼성전자,12,2018,Annual,1.75,15.51,3.36,9.77,5.12
A005930,삼성전자,12,2019,Annual,-5.48,6.11,3.82,-52.84,-50.98
A005930,삼성전자,12,2020,Annual,2.78,4.97,7.62,29.62,21.48
A005930,삼성전자,12,2021,Annual,18.07,10.49,16.27,43.45,51.12
A005930,삼성전자,12,2022,Annual,8.09,16.35,12.08,-15.99,39.46
A000660,SK하이닉스,12,2011,Annual,-14.13,-0.41,2.92,-87.7,적전
A000660,SK하이닉스,12,2012,Annual,-2.25,23.67,6.3,적전,적지
A000660,SK하이닉스,12,2013,Annual,39.39,34.16,4.69,흑전,흑전
A000660,SK하이닉스,12,2014,Annual,20.9,38.03,16.16,51.18,46.03
A000660,SK하이닉스,12,2015,Annual,9.77,18.58,20.41,4.44,3.06
A000660,SK하이닉스,12,2016,Annual,-8.51,12.32,10.68,-38.59,-31.53
A000660,SK하이닉스,12,2017,Annual,75.08,40.78,28.15,318.75,259.48
A000660,SK하이닉스,12,2018,Annual,34.33,38.53,45.26,51.91,46.02
A000660,SK하이닉스,12,2019,Annual,-33.27,2.31,14.3,-86.95,-87.07
A000660,SK하이닉스,12,2020,Annual,18.19,8.29,3.21,84.34,136.87
A000660,SK하이닉스,12,2021,Annual,34.79,19.81,29.09,147.58,102.07
A000660,SK하이닉스,12,2022,Annual,3.78,1.77,13.16,-45.13,-76.69
A373220,LG에너지솔루션,12,2011,Annual,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,
