Symbol,Name,결산월,회계년,주기,당기순이익률(%),매출총이익률(%),영업이익률(%),자본금영업이익률(%),자본금세전계속사업이익률(%),*영업수익/영업비용(%),ROE(세전계속사업이익)(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%)
A005930,삼성전자,12,2011,Annual,8.34,32.03,9.48,"1,743.07","1,915.50",110.47,18.03,"1,915.50","1,491.08"
A005930,삼성전자,12,2012,Annual,11.86,37.02,14.44,"3,236.64","3,333.10",116.88,26.85,"3,333.10","2,583.29"
A005930,삼성전자,12,2013,Annual,13.33,39.79,16.08,"4,098.54","4,274.50",119.17,28.26,"4,274.50","3,322.65"
A005930,삼성전자,12,2014,Annual,11.35,37.79,12.14,"2,788.27","3,105.80",113.81,17.53,"3,105.80","2,571.83"
A005930,삼성전자,12,2015,Annual,9.50,38.46,13.16,"2,942.96","2,892.54",115.16,14.96,"2,892.54","2,082.93"
A005930,삼성전자,12,2016,Annual,11.26,40.42,14.49,"3,257.96","3,422.08",116.94,16.51,"3,422.08","2,497.53"
A005930,삼성전자,12,2017,Annual,17.61,46.03,22.39,"5,977.07","6,261.29",128.85,27.58,"6,261.29","4,606.57"
A005930,삼성전자,12,2018,Annual,18.19,45.69,24.16,"6,561.09","6,814.37",131.85,26.46,"6,814.37","4,890.27"
A005930,삼성전자,12,2019,Annual,9.44,36.09,12.05,"3,093.94","3,390.72",113.70,11.92,"3,390.72","2,396.07"
A005930,삼성전자,12,2020,Annual,11.15,38.98,15.20,"4,010.40","4,049.53",117.92,13.49,"4,049.53","2,907.01"
A005930,삼성전자,12,2021,Annual,14.27,40.48,18.47,"5,752.99","5,944.40",122.65,18.37,"5,944.40","4,372.50"
A005930,삼성전자,12,2022,Annual,18.41,37.12,14.35,"4,832.98","5,174.35",116.76,14.08,"5,174.35","6,097.96"
A000660,SK하이닉스,12,2011,Annual,-0.54,16.27,3.55,12.41,1.52,103.68,0.57,1.52,-1.90
A000660,SK하이닉스,12,2012,Annual,-1.56,15.86,-2.24,-7.03,-6.16,97.81,-2.26,-6.16,-4.91
A000660,SK하이닉스,12,2013,Annual,20.28,37.42,23.86,95.78,87.14,131.34,26.97,87.14,81.41
A000660,SK하이닉스,12,2014,Annual,24.50,44.75,29.84,141.41,139.70,142.52,32.46,139.70,116.12
A000660,SK하이닉스,12,2015,Annual,23.00,44.06,28.39,145.89,144.06,139.64,26.73,144.06,118.17
A000660,SK하이닉스,12,2016,Annual,17.21,37.28,19.05,89.59,87.94,123.54,14.17,87.94,80.76
A000660,SK하이닉스,12,2017,Annual,35.35,57.81,45.57,375.14,367.44,183.73,46.47,367.44,290.94
A000660,SK하이닉스,12,2018,Annual,38.42,62.47,51.54,569.87,583.46,206.34,52.91,583.46,424.87
A000660,SK하이닉스,12,2019,Annual,7.44,30.28,10.07,74.34,66.51,111.20,5.13,66.51,54.84
A000660,SK하이닉스,12,2020,Annual,14.92,33.89,15.71,137.04,170.52,118.64,12.49,170.52,130.00
A000660,SK하이닉스,12,2021,Annual,22.36,44.08,28.86,339.30,366.79,140.57,23.52,366.79,262.53
A000660,SK하이닉스,12,2022,Annual,5.02,35.02,15.26,186.17,109.44,118.01,6.38,109.44,60.96
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,-30.92,15.33,-32.52,,,75.46,,,
A373220,LG에너지솔루션,12,2021,Annual,5.21,21.84,4.30,768.47,777.18,104.50,9.53,777.18,792.52
A373220,LG에너지솔루션,12,2022,Annual,3.05,16.76,4.74,"1,118.64",917.34,104.98,6.79,917.34,707.13
A207940,삼성바이오로직스,12,2011,Annual,,,,,,0.00,,,
A207940,삼성바이오로직스,12,2012,Annual,,,,-251.46,-217.96,0.00,-24.17,-217.96,-206.49
A207940,삼성바이오로직스,12,2013,Annual,-321.76,-72.79,-334.55,-264.18,-254.09,23.01,-32.87,-254.09,-232.91
A207940,삼성바이오로직스,12,2014,Annual,-79.64,-13.24,-99.81,-130.46,-104.10,50.05,-15.80,-104.10,-101.56
A207940,삼성바이오로직스,12,2015,Annual,"2,086.97",-25.75,-223.10,-169.93,"2,076.18",30.95,144.78,"2,076.18","1,589.60"
A207940,삼성바이오로직스,12,2016,Annual,-60.02,9.01,-10.33,-20.06,-152.28,90.64,-6.73,-152.28,-116.62
A207940,삼성바이오로직스,12,2017,Annual,-20.87,28.37,14.20,39.89,-70.12,116.55,-2.88,-70.12,-58.62
A207940,삼성바이오로직스,12,2018,Annual,41.83,27.09,10.39,33.66,183.16,111.60,7.45,183.16,135.49
A207940,삼성바이오로직스,12,2019,Annual,28.92,27.37,13.08,55.46,93.97,115.04,3.65,93.97,122.67
A207940,삼성바이오로직스,12,2020,Annual,20.69,35.72,25.14,177.00,160.81,133.58,5.94,160.81,145.68
A207940,삼성바이오로직스,12,2021,Annual,25.10,46.33,34.27,324.83,339.32,152.13,11.71,339.32,237.94
A207940,삼성바이오로직스,12,2022,Annual,26.59,48.93,32.77,572.96,587.76,148.75,14.44,587.76,464.87
A005380,현대차,12,2011,Annual,10.42,24.29,10.32,539.21,701.62,111.51,28.54,701.62,514.16
A005380,현대차,12,2012,Annual,10.73,23.09,9.99,566.87,779.75,111.10,26.31,779.75,575.33
A005380,현대차,12,2013,Annual,10.30,22.28,9.52,558.46,785.54,110.53,22.39,785.54,573.67
A005380,현대차,12,2014,Annual,8.57,21.43,8.46,507.05,668.32,109.24,16.70,668.32,493.41
A005380,현대차,12,2015,Annual,7.08,19.85,6.91,426.99,568.13,107.43,13.06,568.13,430.98
A005380,현대차,12,2016,Annual,6.11,18.89,5.55,348.79,490.74,105.87,10.50,490.74,363.09
A005380,현대차,12,2017,Annual,4.72,18.24,4.75,307.23,298.09,104.98,6.03,298.09,270.84
A005380,현대차,12,2018,Annual,1.70,15.64,2.50,162.67,169.89,102.57,3.40,169.89,101.28
A005380,현대차,12,2019,Annual,3.01,16.70,3.41,242.14,279.64,103.53,5.54,279.64,200.14
A005380,현대차,12,2020,Annual,1.85,17.77,2.30,160.82,140.58,102.36,2.74,140.58,95.66
A005380,현대차,12,2021,Annual,4.84,18.65,5.68,448.55,534.56,106.02,10.01,534.56,331.93
A005380,현대차,12,2022,Annual,5.62,19.89,6.91,659.84,750.94,107.42,12.89,750.94,494.59
A000270,기아,12,2011,Annual,8.15,23.27,8.10,165.28,223.02,108.82,39.75,223.02,161.33
A000270,기아,12,2012,Annual,8.18,22.66,7.46,164.91,241.78,108.06,34.02,241.78,180.94
A000270,기아,12,2013,Annual,8.02,21.19,6.67,148.51,225.71,107.15,26.03,225.71,178.42
A000270,기아,12,2014,Annual,6.36,19.84,5.46,120.25,178.39,105.78,17.86,178.39,139.93
A000270,기아,12,2015,Annual,5.31,19.93,4.75,110.05,144.92,104.99,13.28,144.92,122.96
A000270,기아,12,2016,Annual,5.23,19.79,4.67,115.06,160.89,104.90,13.56,160.89,128.76
A000270,기아,12,2017,Annual,1.81,16.66,1.24,30.96,53.29,101.25,4.27,53.29,45.25
A000270,기아,12,2018,Annual,2.13,14.75,2.14,54.10,68.65,102.18,5.43,68.65,54.03
A000270,기아,12,2019,Annual,3.14,16.13,3.46,93.94,118.31,103.58,9.00,118.31,85.39
A000270,기아,12,2020,Annual,2.51,16.81,3.49,96.59,86.07,103.62,6.26,86.07,69.54
A000270,기아,12,2021,Annual,6.81,18.50,7.25,236.79,298.87,107.82,19.73,298.87,222.52
A000270,기아,12,2022,Annual,6.25,20.82,8.36,338.10,350.67,109.12,20.21,350.67,252.86
A068270,셀트리온,12,2011,Annual,60.14,81.27,64.03,307.35,315.49,277.97,21.83,315.49,288.69
A068270,셀트리온,12,2012,Annual,49.81,73.18,55.81,268.51,257.68,226.30,19.24,257.68,239.63
A068270,셀트리온,12,2013,Annual,45.29,69.64,44.14,106.32,123.16,179.02,10.82,123.16,109.10
A068270,셀트리온,12,2014,Annual,24.94,72.42,42.77,197.45,146.13,174.74,12.25,146.13,110.43
A068270,셀트리온,12,2015,Annual,23.04,61.77,40.15,224.34,132.73,167.09,9.40,132.73,135.58
A068270,셀트리온,12,2016,Annual,22.28,58.26,32.99,193.20,172.41,149.24,10.49,172.41,138.81
A068270,셀트리온,12,2017,Annual,39.80,73.53,52.64,417.60,403.80,211.14,21.61,403.80,307.79
A068270,셀트리온,12,2018,Annual,24.18,56.10,32.90,260.46,243.14,149.04,12.05,243.14,198.09
A068270,셀트리온,12,2019,Annual,26.71,56.14,33.81,300.66,301.06,151.08,13.97,301.06,237.22
A068270,셀트리온,12,2020,Annual,28.43,55.58,38.86,545.75,499.10,163.56,20.86,499.10,393.23
A068270,셀트리온,12,2021,Annual,31.47,57.44,39.30,545.29,541.23,164.75,19.75,541.23,424.60
A068270,셀트리온,12,2022,Annual,23.76,45.22,28.34,464.35,449.27,139.54,15.04,449.27,385.89
