Symbol,Name,결산월,회계년,주기,유형자산구성비율(%),무형자산구성비율(%),*판관비율(%),타인자본비율(%),부채비율(%),현금및현금성자산구성비율(%),영업이익(천원),이자비용(천원),유동자산(천원),유동부채(천원),당좌자산(천원)
A005930,삼성전자,12,2011,Annual,39.82,2.15,22.55,34.97,53.78,9.43,"15,644,291,000",0,"71,502,063,000","44,319,014,000","55,785,348,000"
A005930,삼성전자,12,2012,Annual,37.82,2.06,22.58,32.91,49.05,10.38,"29,049,338,000",0,"87,269,017,000","46,933,052,000","69,521,604,000"
A005930,삼성전자,12,2013,Annual,35.27,1.86,23.7,29.92,42.7,7.61,"36,785,013,000",0,"110,760,271,000","51,315,409,000","91,625,403,000"
A005930,삼성전자,12,2014,Annual,35.1,2.08,25.65,27.05,37.08,7.31,"25,025,071,000",0,"115,146,026,000","52,013,913,000","97,828,522,000"
A005930,삼성전자,12,2015,Annual,35.71,2.23,25.3,26.06,35.25,9.35,"26,413,442,000",0,"124,814,725,000","50,502,909,000","106,002,931,000"
A005930,삼성전자,12,2016,Annual,34.89,2.04,25.93,26.4,35.87,12.25,"29,240,672,000",0,"141,429,704,000","54,704,095,000","123,076,201,000"
A005930,삼성전자,12,2017,Annual,37.01,4.89,23.64,28.92,40.68,10.12,"53,645,038,000",0,"146,982,464,000","67,175,114,000","121,999,109,000"
A005930,삼성전자,12,2018,Annual,34.01,4.39,21.53,26.99,36.97,8.94,"58,886,669,000",0,"174,697,424,000","69,081,510,000","145,712,720,000"
A005930,삼성전자,12,2019,Annual,33.99,5.87,24.04,25.44,34.12,7.63,"27,768,509,000",0,"181,385,260,000","63,782,764,000","154,618,796,000"
A005930,삼성전자,12,2020,Annual,34.09,4.88,23.79,27.04,37.07,7.77,"35,993,876,000",0,"198,215,579,000","75,604,351,000","166,172,434,000"
A005930,삼성전자,12,2021,Annual,35.14,4.74,22.02,28.53,39.92,9.15,"51,633,856,000",0,"218,163,185,000","88,117,133,000","176,778,781,000"
A005930,삼성전자,12,2022,Annual,37.47,4.51,22.77,20.89,26.41,11.08,"43,376,630,000",0,"218,470,581,000","78,344,852,000","166,282,715,000"
A000660,SK하이닉스,12,2011,Annual,63.23,4.11,12.71,54.31,118.89,7.22,"369,095,000","310,397,000","4,936,850,000","4,817,286,000","3,753,242,000"
A000660,SK하이닉스,12,2012,Annual,62.13,5.27,18.09,47.77,91.48,3.53,"-227,349,000","317,926,000","5,313,573,000","4,441,180,000","3,804,242,000"
A000660,SK하이닉스,12,2013,Annual,58.32,5.34,13.56,37.17,59.16,3.04,"3,379,785,000","256,623,000","6,653,124,000","3,078,239,000","5,474,824,000"
A000660,SK하이닉스,12,2014,Annual,52.41,4.97,14.92,32.91,49.05,1.62,"5,109,466,000","170,363,000","10,363,514,000","5,765,304,000","8,865,951,000"
A000660,SK하이닉스,12,2015,Annual,57.17,5.74,15.67,27.93,38.76,3.96,"5,336,100,000","118,505,000","9,760,030,000","4,840,698,000","7,836,654,000"
A000660,SK하이닉스,12,2016,Annual,58.29,5.95,18.22,25.43,34.1,1.91,"3,276,746,000","120,122,000","9,838,982,000","4,160,849,000","7,812,784,000"
A000660,SK하이닉스,12,2017,Annual,52.98,4.95,12.24,25.53,34.29,6.5,"13,721,326,000","123,918,000","17,310,444,000","8,116,133,000","14,670,005,000"
A000660,SK하이닉스,12,2018,Annual,54.91,4.21,10.93,26.4,35.87,3.69,"20,843,750,000","94,635,000","19,894,146,000","13,031,852,000","15,471,413,000"
A000660,SK하이닉스,12,2019,Annual,61.23,3.94,20.2,26.53,36.12,3.53,"2,719,179,000","245,440,000","14,457,602,000","7,961,966,000","9,161,767,000"
A000660,SK하이닉스,12,2020,Annual,57.93,4.78,18.18,27.07,37.11,4.18,"5,012,624,000","253,468,000","16,570,953,000","9,072,360,000","10,434,635,000"
A000660,SK하이닉스,12,2021,Annual,55.24,4.98,15.21,35.45,54.92,5.25,"12,410,340,000","259,960,000","26,907,075,000","14,735,395,000","17,956,988,000"
A000660,SK하이닉스,12,2022,Annual,57.98,3.38,19.76,39.07,64.12,4.79,"6,809,417,000","533,114,000","28,733,332,000","19,843,696,000","13,068,625,000"
A373220,LG에너지솔루션,12,2011,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,Annual,43.54,1.63,47.86,62.06,163.59,7.49,"-475,206,000",0,"9,085,706,000","6,889,227,000","6,042,568,000"
A373220,LG에너지솔루션,12,2021,Annual,46.5,1.92,17.53,63.21,171.83,5.4,"768,470,000",0,"9,535,827,000","9,474,017,000","5,640,024,000"
A373220,LG에너지솔루션,12,2022,Annual,40.03,1.68,12.02,46.23,85.98,15.5,"1,213,719,000",0,"18,804,269,000","11,444,923,000","11,808,640,000"
A207940,삼성바이오로직스,12,2011,Annual,44.35,0.53,,22.97,29.82,2.13,"-12,278,892","8,551","96,980,060","39,277,072","96,980,060"
A207940,삼성바이오로직스,12,2012,Annual,49.84,8,,19.97,24.96,33.58,"-83,437,488",76,"235,038,012","107,530,130","234,774,066"
A207940,삼성바이오로직스,12,2013,Annual,57.8,20.55,261.76,38.77,63.32,15.98,"-146,354,241","1,637,523","132,749,277","171,917,097","116,356,315"
A207940,삼성바이오로직스,12,2014,Annual,56.09,20.27,86.57,51.22,104.99,7.09,"-105,197,235","8,199,990","179,001,776","244,225,216","143,323,401"
A207940,삼성바이오로직스,12,2015,Annual,14.94,0.24,197.35,53.45,114.81,0.58,"-203,642,444","2,650,470","192,853,895","1,911,669,204","73,676,555"
A207940,삼성바이오로직스,12,2016,Annual,14.48,0.19,19.33,45.81,84.53,3.06,"-30,422,639","19,254,373","1,461,425,176","2,476,545,193","1,297,205,197"
A207940,삼성바이오로직스,12,2017,Annual,21.07,0.26,14.17,44.64,80.64,4.99,"65,979,402","5,683,983","620,995,135","2,287,442,106","411,008,418"
A207940,삼성바이오로직스,12,2018,Annual,28.72,0.33,16.7,30.52,43.92,0.29,"55,678,745","15,838,589","1,577,683,716","710,529,787","1,275,323,000"
A207940,삼성바이오로직스,12,2019,Annual,28.8,0.37,14.29,26.34,35.76,2.12,"91,742,387","25,614,722","1,356,261,664","690,505,243","903,791,737"
A207940,삼성바이오로직스,12,2020,Annual,27.03,0.36,10.58,28.41,39.69,0.45,"292,786,554","16,085,622","1,751,347,248","589,300,919","1,105,387,152"
A207940,삼성바이오로직스,12,2021,Annual,27.69,0.4,12.06,37.38,59.68,0.59,"537,309,408","14,707,182","2,823,175,325","1,107,294,649","1,810,304,534"
A207940,삼성바이오로직스,12,2022,Annual,20.6,35.95,16.15,45.82,84.56,5.37,"983,627,394","64,064,346","6,457,656,567","4,181,541,561","4,081,837,606"
A005380,현대차,12,2011,Annual,17.86,2.43,13.97,63.16,171.48,5.69,"8,028,829,000","35,989,000","29,268,662,000","33,163,508,000","23,030,910,000"
A005380,현대차,12,2012,Annual,17.06,2.37,13.1,60.57,153.64,5.56,"8,440,601,000",0,"33,980,119,000","32,835,699,000","27,207,255,000"
A005380,현대차,12,2013,Annual,16.09,2.35,12.75,57.59,135.8,5.15,"8,315,497,000",0,"37,677,514,000","31,919,682,000","30,604,398,000"
