Symbol,Name,결산월,회계년,주기,총자본(천원)
A005930,삼성전자,12,2011,Annual,"101,313,630,000"
A005930,삼성전자,12,2012,Annual,"121,480,206,000"
A005930,삼성전자,12,2013,Annual,"150,016,010,000"
A005930,삼성전자,12,2014,Annual,"168,088,188,000"
A005930,삼성전자,12,2015,Annual,"179,059,805,000"
A005930,삼성전자,12,2016,Annual,"192,963,033,000"
A005930,삼성전자,12,2017,Annual,"214,491,428,000"
A005930,삼성전자,12,2018,Annual,"247,753,177,000"
A005930,삼성전자,12,2019,Annual,"262,880,421,000"
A005930,삼성전자,12,2020,Annual,"275,948,016,000"
A005930,삼성전자,12,2021,Annual,"304,899,931,000"
A005930,삼성전자,12,2022,Annual,"354,749,604,000"
A000660,SK하이닉스,12,2011,Annual,"7,875,271,000"
A000660,SK하이닉스,12,2012,Annual,"9,739,442,000"
A000660,SK하이닉스,12,2013,Annual,"13,066,859,000"
A000660,SK하이닉스,12,2014,Annual,"18,036,303,000"
A000660,SK하이닉스,12,2015,Annual,"21,387,703,000"
A000660,SK하이닉스,12,2016,Annual,"24,023,530,000"
A000660,SK하이닉스,12,2017,Annual,"33,820,919,000"
A000660,SK하이닉스,12,2018,Annual,"46,852,331,000"
A000660,SK하이닉스,12,2019,Annual,"47,935,882,000"
A000660,SK하이닉스,12,2020,Annual,"51,909,097,000"
A000660,SK하이닉스,12,2021,Annual,"62,191,058,000"
A000660,SK하이닉스,12,2022,Annual,"63,290,542,000"
A373220,LG에너지솔루션,12,2011,Annual,
A373220,LG에너지솔루션,12,2012,Annual,
A373220,LG에너지솔루션,12,2013,Annual,
A373220,LG에너지솔루션,12,2014,Annual,
A373220,LG에너지솔루션,12,2015,Annual,
A373220,LG에너지솔루션,12,2016,Annual,
A373220,LG에너지솔루션,12,2017,Annual,
A373220,LG에너지솔루션,12,2018,Annual,
A373220,LG에너지솔루션,12,2019,Annual,
A373220,LG에너지솔루션,12,2020,Annual,"7,565,405,000"
A373220,LG에너지솔루션,12,2021,Annual,"8,742,373,000"
A373220,LG에너지솔루션,12,2022,Annual,"20,593,762,000"
A207940,삼성바이오로직스,12,2011,Annual,"142,006,147"
A207940,삼성바이오로직스,12,2012,Annual,"456,382,283"
A207940,삼성바이오로직스,12,2013,Annual,"400,095,798"
A207940,삼성바이오로직스,12,2014,Annual,"662,114,006"
A207940,삼성바이오로직스,12,2015,Annual,"2,774,834,159"
A207940,삼성바이오로직스,12,2016,Annual,"4,082,379,460"
A207940,삼성바이오로직스,12,2017,Annual,"3,976,450,892"
A207940,삼성바이오로직스,12,2018,Annual,"4,155,468,451"
A207940,삼성바이오로직스,12,2019,Annual,"4,354,453,745"
A207940,삼성바이오로직스,12,2020,Annual,"4,598,783,172"
A207940,삼성바이오로직스,12,2021,Annual,"4,991,102,141"
A207940,삼성바이오로직스,12,2022,Annual,"8,984,474,395"
A005380,현대차,12,2011,Annual,"40,327,702,000"
A005380,현대차,12,2012,Annual,"47,917,575,000"
A005380,현대차,12,2013,Annual,"56,582,789,000"
A005380,현대차,12,2014,Annual,"62,620,565,000"
