Symbol,Name,결산월,회계년,주기,현금흐름/총부채(%),현금흐름/총차입부채(%),현금흐름/영업수익(%),현금흐름/총자본(%)
A005930,삼성전자,12,2011,Annual,54.26,212.22,16.35,28.30
A005930,삼성전자,12,2012,Annual,68.04,262.73,19.30,34.84
A005930,삼성전자,12,2013,Annual,74.83,355.14,20.23,34.08
A005930,삼성전자,12,2014,Annual,65.09,366.86,19.95,25.86
A005930,삼성전자,12,2015,Annual,63.17,328.30,19.75,22.83
A005930,삼성전자,12,2016,Annual,65.18,306.35,21.36,23.19
A005930,삼성전자,12,2017,Annual,81.12,372.25,26.49,31.15
A005930,삼성전자,12,2018,Annual,78.69,420.37,28.87,30.45
A005930,삼성전자,12,2019,Annual,56.38,308.97,22.18,20.02
A005930,삼성전자,12,2020,Annual,58.79,292.14,23.83,20.94
A005930,삼성전자,12,2021,Annual,65.61,380.69,26.28,25.30
A005930,삼성전자,12,2022,Annual,87.13,653.34,31.05,28.45
A000660,SK하이닉스,12,2011,Annual,36.15,53.16,32.80,43.21
A000660,SK하이닉스,12,2012,Annual,33.33,45.96,29.96,34.57
A000660,SK하이닉스,12,2013,Annual,71.53,107.98,42.01,52.19
A000660,SK하이닉스,12,2014,Annual,92.17,175.12,44.61,49.12
A000660,SK하이닉스,12,2015,Annual,96.58,207.06,44.02,41.98
A000660,SK하이닉스,12,2016,Annual,89.92,181.74,43.09,32.64
A000660,SK하이닉스,12,2017,Annual,158.34,368.34,52.04,54.17
A000660,SK하이닉스,12,2018,Annual,154.69,464.78,54.32,54.46
A000660,SK하이닉스,12,2019,Annual,62.29,121.64,39.37,22.42
A000660,SK하이닉스,12,2020,Annual,79.43,115.82,45.54,29.10
A000660,SK하이닉스,12,2021,Annual,75.85,126.44,47.12,35.51
A000660,SK하이닉스,12,2022,Annual,43.84,74.56,36.71,26.11
A373220,LG에너지솔루션,12,2011,Annual,,,,
A373220,LG에너지솔루션,12,2012,Annual,,,,
A373220,LG에너지솔루션,12,2013,Annual,,,,
A373220,LG에너지솔루션,12,2014,Annual,,,,
A373220,LG에너지솔루션,12,2015,Annual,,,,
A373220,LG에너지솔루션,12,2016,Annual,,,,
A373220,LG에너지솔루션,12,2017,Annual,,,,
A373220,LG에너지솔루션,12,2018,Annual,,,,
A373220,LG에너지솔루션,12,2019,Annual,,,,
A373220,LG에너지솔루션,12,2020,Annual,,,-23.27,
A373220,LG에너지솔루션,12,2021,Annual,16.38,34.19,12.57,27.52
A373220,LG에너지솔루션,12,2022,Annual,15.95,34.62,10.20,17.79
A207940,삼성바이오로직스,12,2011,Annual,,,,
A207940,삼성바이오로직스,12,2012,Annual,-83.85,-261.92,,-21.89
A207940,삼성바이오로직스,12,2013,Annual,-63.74,-139.96,-267.51,-27.33
A207940,삼성바이오로직스,12,2014,Annual,-11.71,-18.55,-52.70,-10.46
A207940,삼성바이오로직스,12,2015,Annual,100.32,333.42,"2,132.58",113.27
A207940,삼성바이오로직스,12,2016,Annual,-3.52,-15.20,-39.60,-3.40
A207940,삼성바이오로직스,12,2017,Annual,-0.81,-3.89,-5.82,-0.67
A207940,삼성바이오로직스,12,2018,Annual,12.54,44.49,58.89,7.76
A207940,삼성바이오로직스,12,2019,Annual,19.86,44.00,47.86,7.89
A207940,삼성바이오로직스,12,2020,Annual,22.74,53.48,33.02,8.59
A207940,삼성바이오로직스,12,2021,Annual,23.12,53.46,35.42,11.58
A207940,삼성바이오로직스,12,2022,Annual,20.92,58.12,36.86,15.83
A005380,현대차,12,2011,Annual,15.26,24.37,12.84,27.29
A005380,현대차,12,2012,Annual,15.54,25.03,13.13,25.14
A005380,현대차,12,2013,Annual,14.75,23.80,12.71,21.23
A005380,현대차,12,2014,Annual,12.26,19.36,11.09,16.60
A005380,현대차,12,2015,Annual,10.06,15.46,10.02,14.23
A005380,현대차,12,2016,Annual,8.55,12.67,9.36,12.59
A005380,현대차,12,2017,Annual,7.20,10.40,7.85,10.28
A005380,현대차,12,2018,Annual,5.01,7.25,5.44,7.09
A005380,현대차,12,2019,Annual,6.06,8.76,6.44,9.07
A005380,현대차,12,2020,Annual,4.47,6.44,5.39,7.35
A005380,현대차,12,2021,Annual,6.68,9.46,8.08,11.95
A005380,현대차,12,2022,Annual,7.85,11.18,8.73,14.31
A000270,기아,12,2011,Annual,26.89,73.76,10.20,37.09
A000270,기아,12,2012,Annual,30.52,103.94,10.43,32.47
A000270,기아,12,2013,Annual,31.89,139.11,10.54,27.05
A000270,기아,12,2014,Annual,25.12,107.73,9.20,20.27
A000270,기아,12,2015,Annual,20.10,73.57,8.18,17.36
A000270,기아,12,2016,Annual,19.27,61.74,8.43,17.49
A000270,기아,12,2017,Annual,11.35,33.57,5.27,10.57
A000270,기아,12,2018,Annual,12.37,40.05,5.71,11.43
A000270,기아,12,2019,Annual,15.54,59.12,6.80,14.07
A000270,기아,12,2020,Annual,13.02,43.29,6.27,12.59
A000270,기아,12,2021,Annual,22.32,69.65,9.99,21.54
A000270,기아,12,2022,Annual,23.62,90.22,9.05,21.09
A068270,셀트리온,12,2011,Annual,42.62,52.80,66.22,21.99
A068270,셀트리온,12,2012,Annual,35.46,41.56,60.28,21.66
A068270,셀트리온,12,2013,Annual,19.08,22.27,66.38,14.05
A068270,셀트리온,12,2014,Annual,20.25,23.69,40.11,15.52
A068270,셀트리온,12,2015,Annual,23.84,27.79,37.79,14.95
A068270,셀트리온,12,2016,Annual,27.68,33.05,36.35,12.95
A068270,셀트리온,12,2017,Annual,54.63,70.64,49.12,20.85
A068270,셀트리온,12,2018,Annual,41.37,64.03,37.73,14.81
A068270,셀트리온,12,2019,Annual,48.01,89.88,40.30,16.63
A068270,셀트리온,12,2020,Annual,53.63,108.93,37.40,21.95
A068270,셀트리온,12,2021,Annual,49.35,104.51,41.92,21.23
A068270,셀트리온,12,2022,Annual,47.16,99.46,33.46,18.36
A005490,POSCO홀딩스,12,2011,Annual,17.25,24.62,8.58,14.92
A005490,POSCO홀딩스,12,2012,Annual,13.49,19.39,7.90,12.09
A005490,POSCO홀딩스,12,2013,Annual,10.76,15.85,6.57,9.21
A005490,POSCO홀딩스,12,2014,Annual,9.83,14.37,5.94,8.48
A005490,POSCO홀딩스,12,2015,Annual,9.03,12.89,5.84,7.52
A005490,POSCO홀딩스,12,2016,Annual,13.22,19.04,8.62,10.07
A005490,POSCO홀딩스,12,2017,Annual,18.59,27.69,10.04,13.05
A005490,POSCO홀딩스,12,2018,Annual,15.73,23.92,7.63,10.52
A005490,POSCO홀딩스,12,2019,Annual,16.88,25.57,8.23,11.20
A005490,POSCO홀딩스,12,2020,Annual,16.67,24.67,9.04,10.94
A005490,POSCO홀딩스,12,2021,Annual,29.96,46.61,13.36,19.90
A005490,POSCO홀딩스,12,2022,Annual,17.80,28.70,8.07,12.10
A035420,NAVER,12,2011,Annual,74.77,242.42,25.37,37.12
A035420,NAVER,12,2012,Annual,71.83,237.11,36.31,37.52
A035420,NAVER,12,2013,Annual,180.68,595.31,89.82,120.11
A035420,NAVER,12,2014,Annual,42.46,148.25,21.70,36.58
A035420,NAVER,12,2015,Annual,36.34,120.11,20.74,33.18
A035420,NAVER,12,2016,Annual,41.87,174.59,22.68,28.51
A035420,NAVER,12,2017,Annual,39.52,248.43,20.93,20.76
A035420,NAVER,12,2018,Annual,27.38,115.73,16.29,16.17
A035420,NAVER,12,2019,Annual,22.23,66.58,24.82,17.36
A035420,NAVER,12,2020,Annual,20.58,101.22,28.23,20.29
A035420,NAVER,12,2021,Annual,183.72,700.20,248.23,104.84
A035420,NAVER,12,2022,Annual,13.14,32.39,16.07,5.57
A006400,삼성SDI,12,2011,Annual,38.75,135.52,13.94,12.10
A006400,삼성SDI,12,2012,Annual,69.49,203.34,33.37,27.75
A006400,삼성SDI,12,2013,Annual,17.69,48.44,16.37,7.43
A006400,삼성SDI,12,2014,Annual,12.55,30.31,8.20,4.63
A006400,삼성SDI,12,2015,Annual,15.74,40.67,14.48,6.22
A006400,삼성SDI,12,2016,Annual,15.14,49.95,12.97,6.07
A006400,삼성SDI,12,2017,Annual,27.16,94.07,17.60,9.97
A006400,삼성SDI,12,2018,Annual,22.49,54.87,14.01,10.84
A006400,삼성SDI,12,2019,Annual,16.94,35.36,12.01,9.74
A006400,삼성SDI,12,2020,Annual,21.58,43.84,14.68,12.75
A006400,삼성SDI,12,2021,Annual,25.75,56.22,17.87,16.96
A006400,삼성SDI,12,2022,Annual,28.85,69.16,16.97,21.07
A105560,KB금융,12,2011,Annual,1.10,6.41,10.25,12.70
A105560,KB금융,12,2012,Annual,0.80,4.90,8.11,8.61
A105560,KB금융,12,2013,Annual,0.59,3.83,6.90,6.14
A105560,KB금융,12,2014,Annual,0.61,3.86,7.75,6.21
A105560,KB금융,12,2015,Annual,0.67,4.17,8.80,6.93
A105560,KB금융,12,2016,Annual,0.75,4.42,9.60,8.09
A105560,KB금융,12,2017,Annual,1.03,5.72,9.84,11.83
A105560,KB금융,12,2018,Annual,0.87,4.60,8.77,10.56
A105560,KB금융,12,2019,Annual,0.93,4.90,9.09,11.46
A105560,KB금융,12,2020,Annual,0.86,4.49,8.11,10.95
A105560,KB금융,12,2021,Annual,0.92,4.57,9.19,11.81
A105560,KB금융,12,2022,Annual,0.80,3.80,6.06,9.83
A051910,LG화학,12,2011,Annual,55.63,125.10,12.77,32.98
A051910,LG화학,12,2012,Annual,41.57,86.52,10.18,23.13
A051910,LG화학,12,2013,Annual,40.07,77.59,9.99,20.55
