Symbol,Name,결산월,회계년,주기,총자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),매출액(천원),매출채권(천원),매출원가(천원),재고자산(천원)
A005930,삼성전자,12,2011,Annual,1.14,3.32,1.73,183.84,"165,001,771,000","21,882,127,000","112,145,120,000","15,716,715,000"
A005930,삼성전자,12,2012,Annual,1.19,3.53,1.81,224.07,"201,103,613,000","23,861,235,000","126,651,931,000","17,747,413,000"
A005930,삼성전자,12,2013,Annual,1.16,3.70,1.68,254.81,"228,692,667,000","24,988,532,000","137,696,309,000","19,134,868,000"
A005930,삼성전자,12,2014,Annual,0.93,3.26,1.30,229.75,"206,205,987,000","24,694,610,000","128,278,800,000","17,317,504,000"
A005930,삼성전자,12,2015,Annual,0.85,3.20,1.16,223.57,"200,653,482,000","25,168,026,000","123,482,118,000","18,811,794,000"
A005930,삼성전자,12,2016,Annual,0.80,3.05,1.09,224.92,"201,866,745,000","24,279,211,000","120,277,715,000","18,353,503,000"
A005930,삼성전자,12,2017,Annual,0.85,3.06,1.18,266.93,"239,575,376,000","27,695,995,000","129,290,661,000","24,983,355,000"
A005930,삼성전자,12,2018,Annual,0.76,2.73,1.05,271.61,"243,771,415,000","33,867,733,000","132,394,411,000","28,984,704,000"
A005930,삼성전자,12,2019,Annual,0.67,2.54,0.90,256.71,"230,400,881,000","35,131,343,000","147,239,549,000","26,766,464,000"
A005930,삼성전자,12,2020,Annual,0.65,2.47,0.88,263.85,"236,806,988,000","30,965,058,000","144,488,296,000","32,043,145,000"
A005930,삼성전자,12,2021,Annual,0.69,2.50,0.96,311.53,"279,604,799,000","40,713,415,000","166,411,342,000","41,384,404,000"
A005930,삼성전자,12,2022,Annual,0.69,2.81,0.92,336.74,"302,231,360,000","35,721,563,000","190,041,770,000","52,187,866,000"
A000660,SK하이닉스,12,2011,Annual,0.60,1.10,1.32,3.50,"10,395,811,000","1,540,925,000","8,704,921,000","1,183,608,000"
A000660,SK하이닉스,12,2012,Annual,0.57,1.11,1.15,3.14,"10,162,210,000","1,719,521,000","8,550,989,000","1,509,331,000"
A000660,SK하이닉스,12,2013,Annual,0.72,1.70,1.24,4.01,"14,165,102,000","1,941,675,000","8,864,587,000","1,178,300,000"
A000660,SK하이닉스,12,2014,Annual,0.72,2.07,1.10,4.74,"17,125,566,000","3,732,926,000","9,461,725,000","1,497,563,000"
A000660,SK하이닉스,12,2015,Annual,0.66,2.19,0.95,5.14,"18,797,998,000","2,628,448,000","10,515,353,000","1,923,376,000"
A000660,SK하이닉스,12,2016,Annual,0.56,2.09,0.76,4.70,"17,197,975,000","3,251,652,000","10,787,139,000","2,026,198,000"
A000660,SK하이닉스,12,2017,Annual,0.78,3.04,1.04,8.23,"30,109,434,000","5,552,795,000","12,701,843,000","2,640,439,000"
A000660,SK하이닉스,12,2018,Annual,0.74,2.85,1.00,11.06,"40,445,066,000","6,319,994,000","15,180,838,000","4,422,733,000"
A000660,SK하이닉스,12,2019,Annual,0.42,1.58,0.57,7.38,"26,990,733,000","4,261,674,000","18,818,814,000","5,295,835,000"
A000660,SK하이닉스,12,2020,Annual,0.47,1.74,0.64,8.72,"31,900,418,000","4,931,322,000","21,089,789,000","6,136,318,000"
