구분,Name,회계년
코스닥,CNT85,2015
코스닥,CNT85,2016
코스닥,CNT85,2017
코스닥,CS,2014
코스닥,CSA 코스믹,2013
코스닥,CT&T,2011
코스닥,DGP,2011
코스닥,DGP,2012
코스닥,DGP,2013
코스닥,DGP,2014
코스닥,DGP,2015
코스닥,DGP,2016
유가증권,DRB동일,2015
유가증권,DRB동일,2016
코스닥,HB테크놀러지,2008
코스닥,HB테크놀러지,2009
코스닥,HB테크놀러지,2010
코스닥,HB테크놀러지,2011
유가증권,HJ중공업,2014
유가증권,HJ중공업,2015
코스닥,HLB이노베이션,2011
코스닥,HLB이노베이션,2012
유가증권,HS애드,2012
유가증권,HS애드,2013
유가증권,HS애드,2014
유가증권,HS애드,2015
유가증권,HS애드,2016
유가증권,HS애드,2017
유가증권,HS애드,2018
유가증권,HS애드,2019
유가증권,JW중외제약,2014
유가증권,JW중외제약,2015
코스닥,KG모빌리언스,2011
코스닥,KG모빌리언스,2012
코스닥,KG모빌리언스,2013
코스닥,KG모빌리언스,2014
코스닥,KG모빌리언스,2015
코스닥,KG이니시스,2014
코스닥,KG이니시스,2015
유가증권,KG케미칼,2015
유가증권,KT&G,2011
유가증권,KT&G,2012
유가증권,KT&G,2013
유가증권,KT&G,2014
유가증권,KT&G,2015
유가증권,KT&G,2016
유가증권,KT&G,2017
유가증권,KT&G,2018
코스닥,MIT,2014
코스닥,MIT,2015
코스닥,MIT,2016
코스닥,SBW생명과학,2015
코스닥,SBW생명과학,2018
코스닥,SBW생명과학,2019
유가증권,SHD,2009
유가증권,SHD,2010
유가증권,SHD,2011
유가증권,SHD,2012
유가증권,SHD,2013
유가증권,SHD,2014
유가증권,SHD,2015
유가증권,SHD,2016
유가증권,SHD,2017
유가증권,SHD,2018
유가증권,SJM,2012
유가증권,SJM,2013
유가증권,SJM,2014
유가증권,SJM,2015
유가증권,SJM,2016
유가증권,SJM홀딩스,2012
유가증권,SJM홀딩스,2013
유가증권,SJM홀딩스,2014
유가증권,SJM홀딩스,2015
유가증권,SJM홀딩스,2016
코스닥,TPC,2014
코스닥,TPC,2015
코스닥,TPC,2016
유가증권,TYM,2015
유가증권,TYM,2016
코스닥,경남제약,2011
코스닥,경남제약,2012
코스닥,경남제약,2013
유가증권,계룡건설,2011
유가증권,계룡건설,2012
유가증권,계룡건설,2013
유가증권,계양전기,2016
유가증권,계양전기,2017
유가증권,계양전기,2018
유가증권,계양전기,2019
유가증권,계양전기,2020
유가증권,계양전기,2021
코스닥,광림,2019
코스닥,광무,2011
코스닥,광무,2012
코스닥,광무,2013
코스닥,광무,2014
코스닥,광무,2015
코스닥,광무,2016
코스닥,광무,2017
코스닥,기가레인,2014
코스닥,기가레인,2015
코스닥,기가레인,2016
코스닥,기가레인,2017
코스닥,기가레인,2018
코스닥,기가레인,2019
코스닥,나노캠텍,2018
코스닥,나노캠텍,2019
코스닥,녹원씨엔아이,2015
코스닥,녹원씨엔아이,2016
코스닥,녹원씨엔아이,2017
코스닥,녹원씨엔아이,2018
코스닥,누리플랜,2011
코스닥,누리플랜,2012
코스닥,누리플랜,2013
코스닥,누리플랜,2014
코스닥,누리플랜,2015
코스닥,누리플랜,2016
코스닥,뉴보텍,2014
코스닥,뉴보텍,2015
코스닥,뉴보텍,2016
코스닥,뉴보텍,2017
코스닥,뉴보텍,2018
