Symbol,Name,회계년,매출총이익률(%),영업이익률(%),당기순이익률(%),자본금영업이익률(%),영업수익/영업비용(%),세전계속사업이익률(%),자본금세전계속사업이익률(%),자본금지배주주순이익률(%),매출액증가율(전년동기)(%),영업이익증가율(전년동기)(%),당기순이익증가율(전년동기)(%),총자본증가율(전년동기)(%),유형자산증가율(전년동기)(%),부채비율(%),유동비율(%),당좌비율(%),현금비율(%),유형자산구성비율(%),무형자산구성비율(%),판관비율(%),타인자본비율(%),총자산회전율(회),매출채권회전율(회),재고자산회전율(회),총부채회전율(회),총자본회전율(회),자본금회전율(회),현금흐름/총부채(%),현금흐름/영업수익(%),현금흐름/총자본(%),DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,manipulate
A095570,AJ네트웍스,2015,100.0,12.04,9.71,58.51,113.69,11.26,54.7,47.18,1.2,-9.95,3.38,63.16,20.71,133.62,41.21,37.25,16.36,51.35,1.08,87.96,57.2,0.36,7.58,29.38,0.58,0.93,4.86,24.3,41.7,38.73,1.29,1.0,0.87,1.01,0.18,1.02,0.86,0.1,0.0
A095570,AJ네트웍스,2016,100.0,11.77,6.52,61.59,113.34,8.26,43.22,34.1,24.65,21.83,-16.35,7.49,37.36,185.89,49.31,47.55,21.78,53.62,1.01,88.23,65.02,0.35,6.77,35.43,0.56,0.9,5.23,20.02,35.75,32.18,1.18,1.0,0.86,1.25,0.17,1.0,1.14,0.13,0.0
A095570,AJ네트웍스,2017,100.0,13.05,6.34,78.14,115.01,8.52,51.0,37.97,14.41,26.88,11.36,3.84,-85.26,232.81,40.27,37.75,7.19,6.54,0.84,86.95,69.95,0.31,5.95,35.07,0.46,0.98,5.99,17.18,36.95,36.03,1.04,1.0,2.59,1.14,0.14,0.99,1.08,0.14,0.0
A095570,AJ네트웍스,2018,100.0,10.99,-6.57,79.74,112.34,-5.01,-36.33,-47.71,21.24,2.05,-225.66,-9.09,-26.01,304.05,58.58,55.78,6.17,4.38,0.5,89.01,75.25,0.33,6.67,29.09,0.46,1.22,7.26,11.49,25.22,30.65,0.82,1.0,0.95,1.21,0.57,1.02,1.08,0.05,0.0
A095570,AJ네트웍스,2019,100.0,10.2,12.95,85.33,111.36,22.26,186.24,108.36,15.3,7.0,-327.12,16.62,15.61,296.71,53.15,49.99,8.68,4.43,0.35,89.8,74.79,0.34,7.85,27.35,0.45,1.36,8.37,19.78,43.69,59.36,0.84,1.0,1.03,1.15,0.7,1.01,0.99,0.04,0.0
A095570,AJ네트웍스,2020,100.0,11.09,3.77,107.4,112.47,4.65,45.08,36.57,15.77,25.87,-66.26,-3.87,4.97,303.47,39.93,35.48,2.68,4.75,0.3,88.91,75.22,0.37,8.7,23.76,0.5,1.49,9.69,17.04,34.31,51.12,0.98,1.0,1.08,1.16,0.69,0.99,1.01,0.08,0.0
A095570,AJ네트웍스,2021,100.0,11.63,15.25,120.61,113.16,18.47,191.53,158.18,7.05,12.3,332.6,24.91,0.82,221.42,32.78,30.58,3.91,4.81,0.37,88.37,68.89,0.4,8.88,31.68,0.56,1.45,10.37,24.28,43.29,62.63,0.91,1.0,1.07,1.07,0.71,0.99,0.92,0.05,0.0
A095570,AJ네트웍스,2022,100.0,12.88,-0.29,162.79,114.78,-0.02,-0.27,-3.69,21.92,34.97,-102.33,-1.93,5.76,275.82,30.62,28.05,12.84,4.44,0.43,87.12,73.39,0.46,10.12,41.17,0.65,1.6,12.64,14.85,23.0,36.87,0.95,1.0,0.93,1.22,0.7,0.99,1.07,0.06,0.0
A282330,BGF리테일,2018,17.62,3.3,2.67,1100.84,103.41,3.51,1171.37,891.83,454.9665000000008,612.28,522.66,36.87,17.91,190.47,89.75,75.98,4.49,29.72,3.43,14.32,65.57,4.33,118.79,58.67,6.38,13.5,334.08,30.34,4.76,64.25,0.14,1.02,0.85,5.547000000000004,0.05,0.95,0.93,-0.11,0.0
A282330,BGF리테일,2019,17.74,3.29,2.52,1130.78,103.4,3.35,1150.81,866.52,2.93,2.72,-2.84,20.08,8.15,256.17,77.3,67.71,2.02,21.83,2.23,14.45,71.92,3.35,131.8,61.78,4.83,10.93,343.87,38.67,8.01,87.51,1.0,0.99,1.86,1.03,0.22,1.01,1.1,-0.16,0.0
A282330,BGF리테일,2020,17.14,2.65,2.04,946.92,102.73,2.68,956.34,728.4,3.78,-16.26,-15.94,13.12,7.94,243.77,82.03,70.0,1.75,21.59,1.54,14.49,70.91,2.79,135.84,59.41,3.91,9.75,356.85,29.94,7.66,74.74,0.95,1.03,0.99,1.04,0.41,1.0,0.99,-0.15,0.0
A282330,BGF리테일,2021,17.33,2.92,2.16,1140.71,103.0,2.82,1101.39,845.98,9.64,20.47,16.14,16.48,5.17,222.57,79.04,68.43,4.78,20.77,1.25,14.42,69.0,2.8,124.52,60.88,4.0,9.3,391.24,30.85,7.7,71.68,1.29,0.99,1.11,1.1,0.41,1.0,0.97,-0.13,0.0
A282330,BGF리테일,2022,18.04,3.29,2.52,1441.93,103.4,3.31,1449.02,1103.34,12.06,26.41,30.42,19.07,13.63,206.8,80.07,68.91,23.67,20.84,1.24,14.75,67.41,2.82,84.62,67.91,4.13,8.85,438.43,32.83,7.94,70.26,1.62,0.96,1.02,1.12,0.42,1.02,0.98,-0.13,0.0
A027410,BGF,2014,23.38,3.4,2.95,456.43,103.52,3.88,519.56,395.96,7.38,19.04,59.78,174.82,-3.87,114.76,126.92,114.64,27.47,24.77,3.72,19.98,53.44,2.99,161.2150000000005,60.07,4.53,8.79,134.06,26.2,5.78,50.83,1.19,1.0,0.87,1.07,0.24,0.99,0.66,-0.11,0.0
A027410,BGF,2015,20.28,4.11,3.55,707.43,104.28,4.54,781.62,611.66,28.9,55.41,54.89,29.25,3.88,104.96,134.06,125.91,3.11,20.86,3.29,16.18,51.21,3.22,161.2150000000005,77.68,6.17,6.74,172.32,35.78,5.8,39.09,0.77,1.15,1.19,1.29,0.24,0.81,0.96,-0.13,0.0
A027410,BGF,2016,100.0,-123.12,428.49325000000283,-5.92,44.82,247.98,11.92,450.44,-99.96,-101.26,10.76,18.98,12.07,101.45,127.03,115.23,2.31,19.99,2.78,223.12,50.36,0.0,0.11,0.03,0.0,0.0,0.05,33.32,434.1897500000001,34.33,10.316250000000034,0.2,1.22,0.0,0.24,6.160750000000009,0.98,-0.19,0.0
A027410,BGF,2017,100.0,-28.17,428.49325000000283,-3.88,78.02,92.58,12.76,6958.273000000001,215.69,-27.77,1995.7,-24.22,-87.51,8.93,920.81,920.81,1.78,6.09,0.2,128.17,8.2,0.0,0.32,0.14,0.01,0.01,0.14,458.8342500000002,434.1897500000001,312.4902500000001,0.04,1.0,1.19,3.16,0.23,0.57,0.16,-0.51,0.0
A001460,BYC,2012,36.77,15.68,11.85,816.96,118.6,17.46,909.22,617.35,8.25,-6.55,-5.55,8.72,-6.58,49.13,181.45,25.78,0.17,8.6,0.07,21.08,32.95,0.45,13.15,1.77,1.31,0.68,52.09,19.68,15.08,10.2,1.06,1.08,1.05,1.08,0.1,0.97,0.93,0.01,0.0
A001460,BYC,2013,40.55,15.91,11.58,693.22,118.93,15.06,655.89,504.25,-16.37,-15.15,-18.32,6.02,32.47,47.44,84.59,18.01,0.2,10.87,0.04,24.64,32.18,0.36,11.67,2.03,1.09,0.53,43.56,17.09,15.64,8.25,0.92,0.91,1.18,0.84,0.14,1.17,0.98,-0.02,0.0
A001460,BYC,2014,40.96,15.49,10.92,658.39,118.32,14.22,604.38,464.36,-2.4,-5.02,-7.91,5.03,29.38,62.67,74.18,15.44,0.15,12.14,0.03,25.47,38.53,0.31,12.57,2.85,0.88,0.49,42.51,13.52,15.31,7.47,1.12,0.99,0.99,0.98,0.11,1.03,1.2,0.0,0.0
A001460,BYC,2015,38.94,11.99,7.98,518.38,113.62,10.5,454.08,344.91,1.73,-21.27,-25.72,3.81,-26.99,78.33,77.56,20.78,1.91,7.79,0.03,26.96,43.93,0.28,10.65,2.73,0.67,0.48,43.25,8.7,12.94,6.15,1.28,1.05,1.06,1.02,0.1,1.06,1.14,-0.01,0.0
A001460,BYC,2016,32.28,8.31,3.55,417.56,109.06,4.5,226.13,178.55,16.21,-19.45,-48.23,1.53,-3.17,82.69,76.56,30.33,12.44,7.25,0.04,23.97,45.26,0.3,10.74,3.13,0.67,0.54,50.26,5.64,8.44,4.54,0.89,1.21,0.98,1.16,0.14,0.89,1.03,-0.04,0.0
A001460,BYC,2017,35.29,8.77,4.05,408.05,109.62,5.44,253.12,188.54,-7.48,-2.28,5.59,1.75,5.18,83.57,93.15,43.71,16.2,7.46,0.04,26.52,45.52,0.27,9.39,3.02,0.59,0.49,46.5,5.75,9.75,4.78,1.17,0.91,0.99,0.93,0.16,1.11,1.01,-0.01,0.0
A001460,BYC,2018,36.52,10.03,3.67,470.98,111.15,8.72,409.03,172.4,0.93,15.42,-8.56,1.18,0.28,78.88,128.64,54.65,37.11,7.59,0.04,26.49,44.1,0.27,12.47,3.43,0.6,0.49,46.93,5.7,9.5,4.63,0.46,0.97,1.04,1.01,0.17,1.0,0.97,-0.04,0.0
A001460,BYC,2019,41.31,10.08,12.54,407.03,111.21,20.31,820.25,506.31,-13.95,-13.58,193.69,5.0,3.06,58.58,115.31,71.34,13.92,8.4,0.04,31.23,36.94,0.24,21.26,3.49,0.59,0.41,40.39,11.46,19.3,7.85,0.69,0.88,0.94,0.86,0.17,1.18,0.84,0.0,0.0
